biobank,cluster,n_publications,rank_cdf_ipf,term_cdf_ipf,cdf_ipf_score,df_score,ipf_score,rank_tfidf,term_tfidf,mean_tfidf_score
All of Us,0,76,1,retrospective_studies,0.6084993173676135,0.21052631578947367,2.8903717574961645,1,female,0.07009548906486955
All of Us,0,76,2,female,0.5327534782114932,0.5921052631578947,0.8997614298682997,2,male,0.05800318326553162
All of Us,0,76,3,female male,0.5324369026966619,0.18421052631578946,2.8903717574961645,3,retrospective_studies,0.05369312842182756
All of Us,0,76,4,humans female,0.5280119167019681,0.19736842105263158,2.6752603779566386,4,adult,0.05077855546177399
All of Us,0,76,5,risk_factors,0.5006156805002421,0.2236842105263158,2.238046571648141,5,middle_aged,0.04981873935935302
All of Us,1,37,1,biomedical_research,1.439137806075931,0.5945945945945946,2.4203681284004293,1,biomedical_research,0.16149788893643505
All of Us,1,37,2,electronic_health_records,1.2057541045926121,0.5135135135135135,2.3480474668382447,2,electronic_health_records,0.1441766832738721
All of Us,1,37,3,electronic_health_records humans,0.9515731632122517,0.24324324324324326,3.9120230043170348,3,electronic_health_records humans,0.08062875776996524
All of Us,1,37,4,research_personnel,0.5877309619691403,0.16216216216216217,3.6243409321430318,4,united_states,0.07656547302277128
All of Us,1,37,5,cohort_studies,0.5187476288386877,0.1891891891891892,2.7419517524330637,5,research_personnel,0.054237646562941694
All of Us,2,59,1,female humans,1.4211634415858547,0.5932203389830508,2.3956755158161553,1,humans male,0.12182521029031443
All of Us,2,59,2,male middle_aged,1.3792716644349001,0.5932203389830508,2.3250579486188316,2,female humans,0.12135289952446784
All of Us,2,59,3,humans male,1.3318850473669208,0.6610169491525424,2.014903020375598,3,male,0.11330743792556093
All of Us,2,59,4,adult aged,1.0097814307951745,0.3728813559322034,2.7080502007688767,4,male middle_aged,0.11020924451672015
All of Us,2,59,5,male,0.9352816268504209,0.9322033898305084,1.0033021088031788,5,female,0.10318958492068064
All of Us,3,30,1,casecontrol_studies,1.8728596487254408,0.7333333333333333,2.5538995209892374,1,casecontrol_studies,0.20117069866692444
All of Us,3,30,2,casecontrol_studies population_health,1.2081136440476772,0.3333333333333333,3.6243409321430318,2,population_health,0.13513217952787637
All of Us,3,30,3,comorbidity,1.1802544689146364,0.36666666666666664,3.218875824312645,3,comorbidity,0.10992534478837496
All of Us,3,30,4,dermatitis_atopic,0.9069859682654636,0.26666666666666666,3.4011973809954887,4,casecontrol_studies population_health,0.10868655639259761
All of Us,3,30,5,population_health,0.8135951093134761,0.8666666666666667,0.9387635876693955,5,dermatitis_atopic,0.08818124681769902
All of Us,4,39,1,crosssectional_studies population_health,1.5716539202896163,0.5128205128205128,3.064725144564752,1,crosssectional_studies population_health,0.14073789399205314
All of Us,4,39,2,crosssectional_studies,1.1786734629541116,0.6923076923076923,1.7025283353781613,2,crosssectional_studies,0.12891734048745776
All of Us,4,39,3,humans united_states,1.0099423084475725,0.358974358974359,2.813410716389666,3,humans united_states,0.11476486280634433
All of Us,4,39,4,psoriasis,0.7848917033066513,0.23076923076923078,3.4011973809954887,4,population_health,0.11132430502858927
All of Us,4,39,5,population_health prevalence,0.7613030377552623,0.20512820512820512,3.711352309056904,5,united_states,0.07982445074665065
All of Us,5,50,1,precision_medicine,1.5965476448037532,0.72,2.2174272844496574,1,precision_medicine,0.18306196695888702
All of Us,5,50,2,humans precision_medicine,0.761332497754064,0.2,3.8066624887703195,2,humans precision_medicine,0.0955150094573471
All of Us,5,50,3,population_health precision_medicine,0.4996004918736577,0.12,4.163337432280481,3,biomedical_research,0.04877598583926242
All of Us,5,50,4,precision_medicine united_states,0.4499809668330265,0.1,4.499809668330265,4,delivery_of_health_care,0.04022391868743548
All of Us,5,50,5,biomedical_research,0.43566626311207723,0.18,2.4203681284004293,5,population_health precision_medicine,0.03917952003654508
All of Us,6,31,1,depression,1.4536858561411945,0.45161290322580644,3.218875824312645,1,depression,0.10888925432111392
All of Us,6,31,2,covid19,1.1511303353808127,0.3870967741935484,2.973753366400433,2,covid19,0.0966690632760998
All of Us,6,31,3,anxiety,1.1357486141565585,0.2903225806451613,3.9120230043170348,3,population_health,0.09091273788129361
All of Us,6,31,4,sarscov2,1.0289898071226575,0.2903225806451613,3.544298224533598,4,glaucoma,0.07710069283706132
All of Us,6,31,5,glaucoma,0.9577683378211365,0.25806451612903225,3.711352309056904,5,sarscov2,0.07635427786747295
All of Us,7,35,1,genomics,2.1148093437217113,0.8,2.6435116796521387,1,genomics,0.22764997354119698
All of Us,7,35,2,genomics humans,1.1390785786735242,0.3142857142857143,3.6243409321430318,2,genetic_predisposition_to_disease,0.10042315306283893
All of Us,7,35,3,genetic_predisposition_to_disease,1.0887291078856227,0.37142857142857144,2.931193751999753,3,genomics humans,0.09779802962890508
All of Us,7,35,4,genomewide_association_study,0.8496438189715523,0.2857142857142857,2.973753366400433,4,genomewide_association_study,0.08900875745308752
All of Us,7,35,5,genetic_testing,0.7248681864286064,0.2,3.6243409321430318,5,genetic_testing,0.06022509620509564
All of Us,8,61,1,male female,1.3490576453379441,0.5573770491803278,2.4203681284004293,1,male female,0.12554653166331806
All of Us,8,61,2,adult middle_aged,1.1685045263763394,0.4098360655737705,2.851151044358268,2,male,0.11839857865920386
All of Us,8,61,3,middle_aged,1.0527934339445144,0.8852459016393442,1.1892666568632477,3,middle_aged,0.11810702876017863
All of Us,8,61,4,young_adult,1.0445821760155798,0.47540983606557374,2.1972245771362195,4,female,0.117008868707445
All of Us,8,61,5,adult,0.9493136225936091,0.9180327868852459,1.0340737674680385,5,adult,0.11442334269599982
All of Us,9,32,1,surveys_and_questionnaires,1.1429481035333018,0.40625,2.813410716389666,1,surveys_and_questionnaires,0.13381873320305213
All of Us,9,32,2,humans pandemics,0.8815200712138033,0.21875,4.029806039834529,2,population_health,0.11782194094109005
All of Us,9,32,3,pandemics,0.7440119270927632,0.21875,3.4011973809954887,3,humans population_health,0.07424810321458881
All of Us,9,32,4,population_health,0.674736328637378,0.71875,0.9387635876693955,4,humans pandemics,0.07389211424501284
All of Us,9,32,5,population_health surveys_and_questionnaires,0.6505214737938252,0.15625,4.163337432280481,5,computational_biology,0.07254478349334477
Estonian Biobank,0,70,1,male middle_aged,1.1034635848036547,0.5571428571428572,1.9805756650322008,1,middle_aged,0.1048786490596639
Estonian Biobank,0,70,2,middle_aged,1.098657275051723,0.7857142857142857,1.3982910773385566,2,male middle_aged,0.0934982963385259
Estonian Biobank,0,70,3,aged,0.9939155690662297,0.6,1.6565259484437163,3,male,0.09140853320439905
Estonian Biobank,0,70,4,humans male,0.8557928628108449,0.5,1.7115857256216898,4,aged,0.08787727140382147
Estonian Biobank,0,70,5,male,0.7130000320498124,0.8714285714285714,0.8181967580899486,5,female,0.08164514677400349
Estonian Biobank,1,27,1,biological_specimen_banks,1.5825912749543432,0.5555555555555556,2.8486642949178176,1,biological_specimen_banks,0.16439753491213716
Estonian Biobank,1,27,2,europe,1.1152527873416325,0.4074074074074074,2.7374386598385527,2,databases_factual,0.10997688566831684
Estonian Biobank,1,27,3,databases_factual,1.0865109979434724,0.2962962962962963,3.6669746180592195,3,europe,0.10807661568074997
Estonian Biobank,1,27,4,europe humans,1.0185034108740831,0.2222222222222222,4.583265348933375,4,biomedical_research,0.0944732103081752
Estonian Biobank,1,27,5,biomedical_research,1.0185034108740831,0.2222222222222222,4.583265348933375,5,europe humans,0.0805858213014275
Estonian Biobank,2,35,1,genetic_variation,2.1083227088510803,0.9714285714285714,2.1703322002878767,1,genetic_variation,0.2085440554513902
Estonian Biobank,2,35,2,genetic_variation genomewide_association_study,2.048267156363028,0.6571428571428571,3.116928281421999,2,genetic_variation genomewide_association_study,0.16402633022200996
