biobank,cluster,n_publications,rank_cdf_ipf,term_cdf_ipf,cdf_ipf_score,df_score,ipf_score,rank_tfidf,term_tfidf,mean_tfidf_score
Estonian Biobank,0,70,1,male middle_aged,1.1034635848036547,0.5571428571428572,1.9805756650322008,1,middle_aged,0.1048786490596639
Estonian Biobank,0,70,2,middle_aged,1.098657275051723,0.7857142857142857,1.3982910773385566,2,male middle_aged,0.0934982963385259
Estonian Biobank,0,70,3,aged,0.9939155690662297,0.6,1.6565259484437163,3,male,0.09140853320439905
Estonian Biobank,0,70,4,humans male,0.8557928628108449,0.5,1.7115857256216898,4,aged,0.08787727140382147
Estonian Biobank,0,70,5,male,0.7130000320498124,0.8714285714285714,0.8181967580899486,5,female,0.08164514677400349
Estonian Biobank,1,27,1,biological_specimen_banks,1.5825912749543432,0.5555555555555556,2.8486642949178176,1,biological_specimen_banks,0.16439753491213716
Estonian Biobank,1,27,2,europe,1.1152527873416325,0.4074074074074074,2.7374386598385527,2,databases_factual,0.10997688566831684
Estonian Biobank,1,27,3,databases_factual,1.0865109979434724,0.2962962962962963,3.6669746180592195,3,europe,0.10807661568074997
Estonian Biobank,1,27,4,europe humans,1.0185034108740831,0.2222222222222222,4.583265348933375,4,biomedical_research,0.0944732103081752
Estonian Biobank,1,27,5,biomedical_research,1.0185034108740831,0.2222222222222222,4.583265348933375,5,europe humans,0.0805858213014275
Estonian Biobank,2,35,1,genetic_variation,2.1083227088510803,0.9714285714285714,2.1703322002878767,1,genetic_variation,0.2085440554513902
Estonian Biobank,2,35,2,genetic_variation genomewide_association_study,2.048267156363028,0.6571428571428571,3.116928281421999,2,genetic_variation genomewide_association_study,0.16402633022200996
Estonian Biobank,2,35,3,genetic_predisposition_to_disease genetic_variation,1.9310243118709174,0.5714285714285714,3.3792925457741054,3,genetic_predisposition_to_disease genetic_variation,0.1535487429097538
Estonian Biobank,2,35,4,genetic_predisposition_to_disease,0.6981332715842936,0.5714285714285714,1.221733225272514,4,genetic_predisposition_to_disease,0.07860217426076059
Estonian Biobank,2,35,5,diabetes_mellitus_type_2,0.6870665445963701,0.2857142857142857,2.4047329060872955,5,genomewide_association_study,0.07278051952548917
Estonian Biobank,3,22,1,endometrium,1.249981458800011,0.2727272727272727,4.583265348933375,1,prospective_studies,0.11697681383253399
Estonian Biobank,3,22,2,prospective_studies,1.0307597374658704,0.3181818181818182,3.239530603464164,2,critical_illness,0.09149869663108
Estonian Biobank,3,22,3,multicenter_studies_as_topic,0.9070419011287647,0.18181818181818182,4.988730456208206,3,adult,0.09013356835393319
Estonian Biobank,3,22,4,menstrual_cycle,0.866470346435272,0.18181818181818182,4.765586905393996,4,endometrium,0.08823800503590615
Estonian Biobank,3,22,5,gene_expression_profiling humans,0.866470346435272,0.18181818181818182,4.765586905393996,5,transcriptome,0.08598803666586755
Estonian Biobank,4,82,1,young_adult,1.5514357965467864,0.6951219512195121,2.2318900932778334,1,adult,0.11584666276948274
Estonian Biobank,4,82,2,adult aged,1.419486880283735,0.6585365853658537,2.155517114504931,2,young_adult,0.11066883682459874
Estonian Biobank,4,82,3,adolescent adult,1.346824148572303,0.524390243902439,2.5683623298355545,3,adult aged,0.10497917081095098
