biobank,cluster,n_publications,rank_cdf_ipf,term_cdf_ipf,cdf_ipf_score,df_score,ipf_score,rank_tfidf,term_tfidf,mean_tfidf_score
Million Veteran Program,0,31,1,united_states_department_of_veterans_affairs,1.1907103430413146,0.41935483870967744,2.839386202636981,1,alleles,0.08956543763434952
Million Veteran Program,0,31,2,united_states united_states_department_of_veterans_affairs,1.170583995122337,0.3548387096774194,3.298918531708404,2,genotype,0.0869812828956536
Million Veteran Program,0,31,3,genotype,1.0991172397304443,0.3870967741935484,2.839386202636981,3,aged,0.08482297832374118
Million Veteran Program,0,31,4,united_states,0.9323148644452891,0.6129032258064516,1.521145305147577,4,united_states_department_of_veterans_affairs,0.08382117987215565
Million Veteran Program,0,31,5,aged,0.8956388810898076,0.7096774193548387,1.2620366051720016,5,united_states united_states_department_of_veterans_affairs,0.08148072195299794
Million Veteran Program,1,82,1,genetic_predisposition_to_disease genomewide_association_study,0.7582587791712279,0.4268292682926829,1.7764919969154482,1,genomewide_association_study,0.10942468446625471
Million Veteran Program,1,82,2,phenotype,0.7399847803915671,0.36585365853658536,2.022625066403617,2,polymorphism_single_nucleotide,0.09658746148374403
Million Veteran Program,1,82,3,genomewide_association_study humans,0.6415563966464549,0.4024390243902439,1.5941704401517969,3,genetic_predisposition_to_disease,0.0931888370607303
Million Veteran Program,1,82,4,genetic_predisposition_to_disease,0.6341530632857046,0.5853658536585366,1.0833448164464121,4,genetic_predisposition_to_disease genomewide_association_study,0.08809667344144645
Million Veteran Program,1,82,5,polymorphism_single_nucleotide,0.6229580777112874,0.6097560975609756,1.0216512474465114,5,genomewide_association_study humans,0.08513261732728095
Million Veteran Program,2,53,1,female humans,0.9440600718305515,0.39622641509433965,2.382627800334249,1,female humans,0.0942050152073125
Million Veteran Program,2,53,2,humans male,0.7378856023615906,0.4716981132075472,1.5643174770065722,2,male,0.09072205200245317
Million Veteran Program,2,53,3,male middle_aged,0.6640246819097834,0.33962264150943394,1.955183785623251,3,female,0.08699132091560124
Million Veteran Program,2,53,4,male,0.6022202977272115,0.7924528301886793,0.7599446614176716,4,humans male,0.08159499975008032
Million Veteran Program,2,53,5,female,0.5987260583295206,0.7169811320754716,0.8350652918806473,5,veterans,0.06751064160843442
Million Veteran Program,3,28,1,mendelian_randomization_analysis,2.046155563808274,1.0,2.046155563808274,1,mendelian_randomization_analysis,0.21256659892881025
Million Veteran Program,3,28,2,mendelian_randomization_analysis polymorphism_single_nucleotide,1.2433000315484615,0.35714285714285715,3.4812400883356918,2,mendelian_randomization_analysis polymorphism_single_nucleotide,0.10569691149064847
Million Veteran Program,3,28,3,humans mendelian_randomization_analysis,1.058395325542829,0.2857142857142857,3.7043836393999015,3,genomewide_association_study,0.10111638364720095
Million Veteran Program,3,28,4,triglycerides,0.8554426524503606,0.21428571428571427,3.992065711435016,4,polymorphism_single_nucleotide,0.0943231639212324
Million Veteran Program,3,28,5,cholesterol_hdl,0.8224103639669684,0.21428571428571427,3.837915031845853,5,humans mendelian_randomization_analysis,0.08710040846410358
Million Veteran Program,4,37,1,covid19,0.7320929532156273,0.21621621621621623,3.385929908622276,1,female,0.08859574521799407
Million Veteran Program,4,37,2,male female,0.7038129949973556,0.24324324324324326,2.893453423878017,2,male,0.07953652750259062
Million Veteran Program,4,37,3,risk_factors,0.6821819487416225,0.5405405405405406,1.2620366051720016,3,risk_factors,0.06947776410754171
Million Veteran Program,4,37,4,female,0.6545106341767235,0.7837837837837838,0.8350652918806473,4,middle_aged,0.06741239867810264
Million Veteran Program,4,37,5,middle_aged,0.6535752452558172,0.5405405405405406,1.2091142037232618,5,covid19,0.06614220874551231
Million Veteran Program,5,9,1,genomics,3.009715474330912,0.8888888888888888,3.385929908622276,1,genomics,0.2768912798194443
Million Veteran Program,5,9,2,genomics humans,2.789578247464094,0.7777777777777778,3.586600603882407,2,genomics humans,0.2613777905264021
Million Veteran Program,5,9,3,genomewide_association_study genomics,2.3191040377197982,0.5555555555555556,4.174387267895637,3,genomewide_association_study genomics,0.21184407335902394
Million Veteran Program,5,9,4,epigenesis_genetic,1.5617376301094315,0.3333333333333333,4.685212890328295,4,epigenesis_genetic,0.11274804825748568
Million Veteran Program,5,9,5,casecontrol_studies cell_cycle_proteins,1.1312617770599538,0.2222222222222222,5.090677996769792,5,precision_medicine,0.08572279770726203
Million Veteran Program,6,31,1,white_people,1.303601880734782,0.5161290322580645,2.52572864392364,1,white_people,0.12254131305285199
Million Veteran Program,6,31,2,stress_disorders_posttraumatic,1.0927428248498914,0.41935483870967744,2.6057713515651253,2,stress_disorders_posttraumatic,0.09949834575893168
Million Veteran Program,6,31,3,veterans white_people,1.0106826062910073,0.2903225806451613,3.4812400883356918,3,multifactorial_inheritance,0.08318792989739585
Million Veteran Program,6,31,4,multifactorial_inheritance,0.8574781571607354,0.3548387096774194,2.416529351998436,4,veterans white_people,0.08136862672646572
Million Veteran Program,6,31,5,stress_disorders_posttraumatic united_states,0.7726578796325837,0.1935483870967742,3.992065711435016,5,genomewide_association_study humans,0.07880043609090887
Million Veteran Program,7,21,1,humans veterans,2.1969821289720435,0.7142857142857143,3.075774980560861,1,humans veterans,0.23832338822568142
Million Veteran Program,7,21,2,aortic_aneurysm_abdominal,1.1405902032671473,0.2857142857142857,3.992065711435016,2,aortic_aneurysm_abdominal,0.14745406048501616
Million Veteran Program,7,21,3,veterans,0.7530432032719148,0.8571428571428571,0.8785504038172339,3,veterans,0.13771942912538637
Million Veteran Program,7,21,4,brain_injuries_traumatic,0.7025266280203061,0.23809523809523808,2.950611837685286,4,aortic_aneurysm_abdominal humans,0.06238082076384477
Million Veteran Program,7,21,5,crosssectional_studies,0.5858619010592115,0.19047619047619047,3.075774980560861,5,brain_injuries_traumatic,0.0553852789892643
Million Veteran Program,8,21,1,incidence,1.612347575534417,0.47619047619047616,3.385929908622276,1,incidence,0.11331949752338094
Million Veteran Program,8,21,2,prospective_studies,1.4348728659729222,0.5238095238095238,2.739302744130124,2,prospective_studies,0.1062996964316698
Million Veteran Program,8,21,3,humans incidence,1.4111937673904387,0.38095238095238093,3.7043836393999015,3,humans incidence,0.09362558657767707
Million Veteran Program,8,21,4,incidence male,1.2793050106152841,0.3333333333333333,3.837915031845853,4,veterans,0.08311189269099394
Million Veteran Program,8,21,5,risk_assessment,1.1240426048324899,0.38095238095238093,2.950611837685286,5,incidence male,0.07867577850082119
Million Veteran Program,9,12,1,depressive_disorder_major,2.4695890929332673,0.6666666666666666,3.7043836393999015,1,depressive_disorder_major,0.2526547142200625
Million Veteran Program,9,12,2,suicide_attempted,1.975125780029661,0.5833333333333334,3.385929908622276,2,suicide_attempted,0.21540364349965135
Million Veteran Program,9,12,3,suicidal_ideation,1.3306885704783387,0.3333333333333333,3.992065711435016,3,suicidal_ideation,0.14424140012769654
Million Veteran Program,9,12,4,depressive_disorder_major genomewide_association_study,1.1713032225820736,0.25,4.685212890328295,4,risk_factors,0.12190299477288215
