Biobank,Cluster_ID,Number_of_Publications,Total_Unique_MeSH_Terms,Primary_Research_Theme,Top_5_Semantic_Terms_cDF_IPF
All of Us,C0,76,320,Retrospective Studies,retrospective_studies (Retrospective Studies): 0.6085 | female (Female): 0.5328 | female male (Female Male): 0.5324 | humans female (Humans Female): 0.5280 | risk_factors (Risk Factors): 0.5006
All of Us,C8,61,249,Male Female,male female (Male Female): 1.3491 | adult middle_aged (Adult Middle Aged): 1.1685 | middle_aged (Middle Aged): 1.0528 | young_adult (Young Adult): 1.0446 | adult (Adult): 0.9493
All of Us,C2,59,274,Female Humans,female humans (Female Humans): 1.4212 | male middle_aged (Male Middle Aged): 1.3793 | humans male (Humans Male): 1.3319 | adult aged (Adult Aged): 1.0098 | male (Male): 0.9353
All of Us,C5,50,184,Precision Medicine,precision_medicine (Precision Medicine): 1.5965 | humans precision_medicine (Humans Precision Medicine): 0.7613 | population_health precision_medicine (Population Health Precision Medicine): 0.4996 | precision_medicine united_states (Precision Medicine United States): 0.4500 | biomedical_research (Biomedical Research): 0.4357
All of Us,C4,39,150,Crosssectional Studies Population Health,crosssectional_studies population_health (Crosssectional Studies Population Health): 1.5717 | crosssectional_studies (Crosssectional Studies): 1.1787 | humans united_states (Humans United States): 1.0099 | psoriasis (Psoriasis): 0.7849 | population_health prevalence (Population Health Prevalence): 0.7613
All of Us,C1,37,142,Biomedical Research,biomedical_research (Biomedical Research): 1.4391 | electronic_health_records (Electronic Health Records): 1.2058 | electronic_health_records humans (Electronic Health Records Humans): 0.9516 | research_personnel (Research Personnel): 0.5877 | cohort_studies (Cohort Studies): 0.5187
All of Us,C7,35,134,Genomics,genomics (Genomics): 2.1148 | genomics humans (Genomics Humans): 1.1391 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 1.0887 | genomewide_association_study (Genomewide Association Study): 0.8496 | genetic_testing (Genetic Testing): 0.7249
All of Us,C9,32,115,Surveys And Questionnaires,surveys_and_questionnaires (Surveys And Questionnaires): 1.1429 | humans pandemics (Humans Pandemics): 0.8815 | pandemics (Pandemics): 0.7440 | population_health (Population Health): 0.6747 | population_health surveys_and_questionnaires (Population Health Surveys And Questionnaires): 0.6505
All of Us,C6,31,152,Depression,depression (Depression): 1.4537 | covid19 (Covid19): 1.1511 | anxiety (Anxiety): 1.1357 | sarscov2 (Sarscov2): 1.0290 | glaucoma (Glaucoma): 0.9578
All of Us,C3,30,102,Casecontrol Studies,casecontrol_studies (Casecontrol Studies): 1.8729 | casecontrol_studies population_health (Casecontrol Studies Population Health): 1.2081 | comorbidity (Comorbidity): 1.1803 | dermatitis_atopic (Dermatitis Atopic): 0.9070 | population_health (Population Health): 0.8136
Estonian Biobank,C7,133,497,Genomics,phenotype polymorphism_single_nucleotide (Phenotype Polymorphism Single Nucleotide): 0.5699 | quantitative_trait_loci (Quantitative Trait Loci): 0.5477 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.5288 | phenotype (Phenotype): 0.5085 | animals (Animals): 0.4322
Estonian Biobank,C4,82,498,Pediatric,young_adult (Young Adult): 1.5514 | adult aged (Adult Aged): 1.4195 | adolescent adult (Adolescent Adult): 1.3468 | adolescent (Adolescent): 1.2993 | adult (Adult): 1.2241
