Biobank,PMID,Title,Abstract,Journal,Year,MeSH_Terms,is_preprint,cluster
All of Us,27532667,A Survey of U.S Adults' Opinions about Conduct of a Nationwide Precision Medicine Initiative® Cohort Study of Genes and Environment.,"A survey of a population-based sample of U.S adults was conducted to measure their attitudes about, and inform the design of the Precision Medicine Initiative's planned national cohort study. An online survey was conducted by GfK between May and June of 2015. The influence of different consent models on willingness to share data was examined by randomizing participants to one of eight consent scenarios. Of 4,777 people invited to take the survey, 2,706 responded and 2,601 (54% response rate) provided valid responses. Most respondents (79%) supported the proposed study, and 54% said they would definitely or probably participate if asked. Support for and willingness to participate in the study varied little among demographic groups; younger respondents, LGBT respondents, and those with more years of education were significantly more likely to take part if asked. The most important study incentive that the survey asked about was learning about one's own health information. Willingness to share data and samples under broad, study-by-study, menu and dynamic consent models was similar when a statement about transparency was included in the consent scenarios. Respondents were generally interested in taking part in several governance functions of the cohort study. A large majority of the U.S. adults who responded to the survey supported a large national cohort study. Levels of support for the study and willingness to participate were both consistent across most demographic groups. The opportunity to learn health information about one's self from the study appears to be a strong motivation to participate.",PloS one,2016,Adult; Aged; Attitude; Cohort Studies; Community Participation; Female; Gene-Environment Interaction; Humans; Informed Consent; Male; Middle Aged; Motivation; National Health Programs; Precision Medicine; Surveys and Questionnaires; United States; Young Adult,False,2
All of Us,27468857,NIH Prepares to Launch Precision Medicine Study.,"The NIH has awarded $55 million to several institutions to launch the Precision Medicine Initiative Cohort Program, which aims to enroll at least 1 million Americans between 2016 and 2020 in a long-term study. Organizers say the program will facilitate collaboration among researchers, potentially accelerating the development of personalized therapies for cancer and other diseases.",Cancer discovery,2016,Humans; Intersectoral Collaboration; National Institutes of Health (U.S.); Precision Medicine; United States,False,5
All of Us,27929525,"The Precision Medicine Initiative's All of Us Research Program: an agenda for research on its ethical, legal, and social issues.","The Precision Medicine Initiative (PMI) is an innovative approach to developing a new model of health care that takes into account individual differences in people's genes, environments, and lifestyles. A cornerstone of the initiative is the PMI All of Us Research Program (formerly known as PMI-Cohort Program) which will create a cohort of 1 million volunteers who will contribute their health data and biospecimens to a centralized national database to support precision medicine research. The PMI All of US Research Program is the largest longitudinal study in the history of the United States. The designers of the Program anticipated and addressed some of the ethical, legal, and social issues (ELSI) associated with the initiative. To date, however, there is no plan to call for research regarding ELSI associated with the Program-PMI All of Us program. Based on analysis of National Institutes of Health (NIH) funding announcements for the PMI All of Us program, we have identified three ELSI themes: cohort diversity and health disparities, participant engagement, and privacy and security. We review All of Us Research Program plans to address these issues and then identify additional ELSI within each domain that warrant ongoing investigation as the All of Us Research Program develops. We conclude that PMI's All of Us Research Program represents a significant opportunity and obligation to identify, analyze, and respond to ELSI, and we call on the PMI to initiate a research program capable of taking on these challenges.Genet Med advance online publication 01 December 2016.",Genetics in medicine : official journal of the American College of Medical Genetics,2017,"Ethics, Research; Humans; Longitudinal Studies; Morals; National Institutes of Health (U.S.); Precision Medicine; Privacy; Research; United States",False,5
All of Us,28441039,High-Throughput Processing to Preserve Viable Cells: A Precision Medicine Initiative Cohort Program Workshop.,"Conventionally, biobanks supporting clinical research studies have preserved serum, plasma, urine, saliva, a variety of tissue types, and stool. With the emergence of increasingly sophisticated technologies for analyzing single cells, there is growing interest in preserving viable blood cells for future functional studies. The new All of Us Research Program (formerly the Precision Medicine Initiative Cohort Program) biobank plans to house samples from a million or more individuals as part of a cohort with rich phenotypic data and longitudinal follow-up ( www.nih.gov/research-training/allofus-research-program ). Storage of viable cells for future single-cell analysis offers the promise of new biology, discovery of novel biomarkers, and advances toward the goal of precision medicine. A workshop was held in the summer of 2016 to evaluate the case for preservation of viable mononuclear blood cells and its feasibility within the collection plan for the biobank.",Biopreservation and biobanking,2017,"Biomedical Research; Blood Specimen Collection; Cell Survival; Education; Humans; Leukocytes, Mononuclear; Precision Medicine",False,5
All of Us,28770362,How will the 'cancer moonshot' impact health disparities?,"In 1971, President Nixon signed into law the National Cancer Act (NCA), colloquially known as the ""War on Cancer"", which pushed cancer onto the national agenda and is credited for many subsequent increases in the knowledge of the molecular, cellular, and genetic causes and effects of cancer. But even though cancer mortality has declined overall in intervening years after the NCA, cancer health disparities persist in the form of higher cancer incidence and mortality rates among certain cancer types and certain populations. Breast and cervical cancers disproportionately affect African American, Hispanic, and American Indian Women. Colorectal cancer is the second leading cause of death for Latinos (with men and women combined). Forty-five years after the NCA, how will the next enormous cancer initiatives-President Barack Obama's Cancer Moonshot and the All of Us Research Program (formerly the Precision Medicine Initiative Cohort Program)-impact cancer health disparities? The emergence of precision medicine and the sharing of information across sectors are at the heart of these large national initiatives and hold vast potential to address complex health disparities that remain in incidence reporting, incidence, treatment, prognoses, and mortality among certain cancer types and racial/ethnic minorities, including African Americans and Hispanics/Latinos, compared to Whites. But clinical research efforts and data collection have historically lacked diverse representation for various reasons, posing a large risk to these national initiatives in their ability to develop diverse cohorts that adequately represent racial/ethnic minorities. Efforts to reduce disparities and increase diversity in study cohorts have emerged, from patient navigation, to use of mobile technology to collect data, to national consortiums dedicated to including diverse groups, to university training on health disparities. These efforts point to the need for the Cancer Moonshot and precision medicine leaders to develop a multifaceted approach to address disparities in health and healthcare to promote a diverse healthcare workforce, patient-centered care, maintenance of a database of information regarding the state of health disparities, and the institution of measurable goals for improving care across all ethnic groups. If these elements are included, it is possible that the Cancer Moonshot and precision medicine will benefit the entire population of our country.",Cancer causes & control : CCC,2017,Ethnicity; Healthcare Disparities; Humans; Minority Groups; Neoplasms; Precision Medicine,False,5
All of Us,30178250,"Diet, Microbiome, and Epigenetics in the Era of Precision Medicine.","Precision medicine is a revolutionary approach to disease prevention and treatment that takes into account individual differences in lifestyle, environment, and biology. The US National Institutes of Health has recently launched The All of Us Research Program (2016) to extend precision medicine to all diseases by building a national research cohort of one million or more US participants. This review is limited to how the human microbiome factors into precision medicine from the applied aspect of preventing and managing cancer. The Precision Medicine Initiative was established in an effort to address particular characteristics of each person with the aim to increase the effectiveness of medical interventions in terms of prevention and treatment of multiple diseases including cancer. Many factors contribute to the response to an intervention. The microbiome and microbially produced metabolites are capable of epigenetic modulation of gene activity, and can influence the response through these mechanisms. The fact that diet has an impact on microbiome implies that it will also affect the epigenetic mechanisms involving microbiota. In this chapter, we review some major epigenetic mechanisms, notably DNA methylation, chromatin remodeling and histone modification, and noncoding RNA, implicated in cancer prevention and treatment. Several examples of how microbially produced metabolites from food influence cancer risk and treatment response through epigenetic mechanisms will be discussed. Some challenges include the limited understanding of how diet shapes the microbiome and how to best evaluate those changes since both, diet and the microbiota, exhibit daily and seasonal variations. Ongoing research seeks to understand the relationship between the human microbiome and multiple diseases including cancer.","Methods in molecular biology (Clifton, N.J.)",2018,"Cell Transformation, Neoplastic; Diet; Disease Susceptibility; Energy Metabolism; Epigenesis, Genetic; Gene Expression Regulation; Gene-Environment Interaction; Host-Pathogen Interactions; Humans; Microbiota; Neoplasms; Precision Medicine",False,5
All of Us,30053823,The new era of precision population health: insights for the All of Us Research Program and beyond.,"Although precision medicine has made advances in individualized patient treatments, there needs to be continued attention on tailored population health and prevention strategies (often termed ""precision population health""). As we continue to link datasets and use ""big data"" approaches in medicine, inclusion of diverse populations and a focus on disparities reduction are key components within a precision population health framework. Specific recommendations from the All of Us Research Program and the Precision Public Health Summit provide examples for moving this field forward.",Journal of translational medicine,2018,Cooperative Behavior; Humans; Information Dissemination; Population Health; Precision Medicine; Research; Social Justice,False,5
All of Us,29733733,Characteristics Of Likely Precision Medicine Initiative Participants Drawn From A Large Blood Donor Population.,"A goal of the Precision Medicine Initiative All of Us Research Program (AoURP) is recruitment of participants who reflect the diversity of the US. Recruitment from among blood bank donors, which may better reflect the demographic makeup of local communities, is one proposed strategy. We evaluated this strategy by analyzing the results of a survey of San Diego Blood Bank donors conducted in November 2015. Whites were more likely than nonwhites to respond to the survey (7.1 percent versus 3.9 percent). However, race was not a significant predictor of interest in participating in precision medicine research. Using census data linked to donors' ZIP codes, we also found that people who indicated interest in research participation were more likely to come from regions with higher educational attainment. Although blood banks represent a viable recruitment strategy for AoURP, our findings indicate that bias toward inclusion of whites and more highly educated people persists.",Health affairs (Project Hope),2018,"Adult; Bias; Blood Banks; Blood Donors; California; Cross-Sectional Studies; Educational Status; Female; Humans; Male; Middle Aged; Patient Selection; Precision Medicine; Risk Assessment; Socioeconomic Factors; Translational Research, Biomedical",False,2
All of Us,29385589,The research participant perspective related to the conduct of genomic cohort studies: A systematic review of the quantitative literature.,"Observational genome-wide association studies require large sample sizes. Evaluating the interplay between genomic, environmental, and lifestyle factors can require even larger sample sizes. The All of Us Research Program will recruit 1 million participants to facilitate research on genomic, environmental, and lifestyle factors. Integrating participant preferences into the research process is a new paradigm and a necessary component of the All of Us Research Program. The purpose of the study is to summarize quantitative studies of participant preferences related to participation in observational genomic research studies, starting with consent through return of results. Integrating this information into the conduct of genomic studies may benefit participants, and improve participant satisfaction, recruitment, and retention. We conducted a systematic review of the literature regarding participant views related to reconsent and broad consent, use of de-identified data, contribution of data to a biorepository, risk of identification, return of individual genetic results, and motivation for participation in genomic studies. Twenty-three articles met our inclusion and exclusion criteria. Study results found that most participants support broad consent; however, significant differences related to reconsent preferences have been shown by gender and age. Most participants support the return of individual genomic results and do not feel it is necessary to maintain a link to their de-identified data. Reasons given for joining research studies varied by population source. These findings, in addition to the knowledge that participants are more accepting of broad informed consent methods when the rationale is explained, can assist in developing guidelines for future observational genomic research.",Translational behavioral medicine,2018,Genetic Research; Humans; Informed Consent; Observational Studies as Topic; Patient Participation,False,5
All of Us,29429062,Towards precision medicine; a new biomedical cosmology.,"Precision Medicine has become a common label for data-intensive and patient-driven biomedical research. Its intended future is reflected in endeavours such as the Precision Medicine Initiative in the USA. This article addresses the question whether it is possible to discern a new 'medical cosmology' in Precision Medicine, a concept that was developed by Nicholas Jewson to describe comprehensive transformations involving various dimensions of biomedical knowledge and practice, such as vocabularies, the roles of patients and physicians and the conceptualisation of disease. Subsequently, I will elaborate my assessment of the features of Precision Medicine with the help of Michel Foucault, by exploring how precision medicine involves a transformation along three axes: the axis of biomedical knowledge, of biomedical power and of the patient as a self. Patients are encouraged to become the managers of their own health status, while the medical domain is reframed as a data-sharing community, characterised by changing power relationships between providers and patients, producers and consumers. While the emerging Precision Medicine cosmology may surpass existing knowledge frameworks; it obscures previous traditions and reduces research-subjects to mere data. This in turn, means that the individual is both subjected to the neoliberal demand to share personal information, and at the same time has acquired the positive 'right' to become a member of the data-sharing community. The subject has to constantly negotiate the meaning of his or her data, which can either enable self-expression, or function as a commanding Superego.","Medicine, health care, and philosophy",2018,"Big Data; Biomarkers; Biomedical Research; Health Behavior; Health Knowledge, Attitudes, Practice; Healthy Lifestyle; Humans; Information Dissemination; Patient Participation; Pharmacogenomic Testing; Precision Medicine; Risk Factors; Systems Biology; Telemedicine",False,5
