Biobank,PMID,Title,Abstract,Journal,Year,MeSH_Terms,is_preprint,cluster
Million Veteran Program,14638957,Contrast letter acuity as a visual component for the Multiple Sclerosis Functional Composite.,"Visual dysfunction is one of the most common causes of disability in multiple sclerosis (MS). The Multiple Sclerosis Functional Composite (MSFC), a new clinical trial outcome measure, does not currently include a test of visual function. To examine contrast letter acuity as a candidate visual function test for the MSFC. Binocular contrast letter acuity testing (Sloan charts) was performed in a subgroup of participants from the International Multiple Sclerosis Secondary Progressive Avonex Controlled Trial (IMPACT Substudy) and in MS patients and disease-free control subjects from a cross-sectional study of visual outcome measures (Multiple Sclerosis Vision Prospective cohort [MVP cohort]). High-contrast visual acuity was measured in both studies; MVP cohort participants underwent additional binocular testing for contrast sensitivity (Pelli-Robson chart), color vision (D-15 desaturated test), and visual field (Esterman test, Humphrey Field Analyzer II). Contrast letter acuity (Sloan charts, p < 0.0001, receiver operating characteristic curve analysis) and contrast sensitivity (Pelli-Robson chart, p = 0.003) best distinguished MS patients from disease-free control subjects in the MVP cohort. Correlations of Sloan chart scores with MSFC and Expanded Disability Statue Scale (EDSS) scores in both studies were significant and moderate in magnitude, demonstrating that Sloan chart scores reflect visual and neurologic dysfunction not entirely captured by the EDSS or MSFC. Among clinical measures, contrast letter acuity (Sloan charts) and contrast sensitivity (Pelli-Robson chart) demonstrate the greatest capacity to identify binocular visual dysfunction in MS. Sloan chart testing also captures unique aspects of neurologic dysfunction not captured by current EDSS or MSFC components, making it a strong candidate visual function test for the MSFC.",Neurology,2003,Adult; Contrast Sensitivity; Cross-Sectional Studies; Female; Humans; Male; Middle Aged; Multiple Sclerosis; Vision Tests; Visual Acuity,False,2
Million Veteran Program,22538255,Preferences for opt-in and opt-out enrollment and consent models in biobank research: a national survey of Veterans Administration patients.,"In 2006, the Department of Veterans Affairs launched the Genomic Medicine Program with the goal of using genomic information to personalize and improve health care for veterans. A step toward this goal is the Million Veteran Program, which aims to enroll a million veterans in a longitudinal cohort study and establish a database with genomic, lifestyle, military-exposure, and health information. Before the launch of the Million Veteran Program, a survey of Department of Veterans Affairs patients was conducted to measure preferences for opt-in and opt-out models of enrollment and consent. An online survey was conducted with a random sample of 451 veterans. The survey described the proposed Million Veteran Program database and asked respondents about the acceptability of opt-in and opt-out models of enrollment. The study examined differences in responses among demographic groups and relationships between beliefs about each model and willingness to participate. Most respondents were willing to participate under both opt-in (80%) and opt-out (69%) models. Nearly 80% said they would be comfortable providing access to residual clinical samples for research. At least half of respondents did not strongly favor one model over the other; of those who expressed a preference, significantly more people said they would participate in a study using opt-in methods. Stronger preferences for the opt-in approach were expressed among younger patients and Hispanic patients. Support for the study and willingness to participate were high for both enrollment models. The use of an opt-out model could impede recruitment of certain demographic groups, including Hispanic patients and patients under the age of 55 years.",Genetics in medicine : official journal of the American College of Medical Genetics,2012,"Adolescent; Adult; Aged; Biological Specimen Banks; Biomedical Research; Cohort Studies; Data Collection; Decision Support Techniques; Ethics, Research; Female; Genomics; Humans; Informed Consent; Male; Middle Aged; Racial Groups; United States; United States Department of Veterans Affairs; Veterans",False,0
Million Veteran Program,24687382,"Expression of cereblon protein assessed by immunohistochemicalstaining in myeloma cells is associated with superior response of thalidomide- and lenalidomide-based treatment, but not bortezomib-based treatment, in patients with multiple myeloma.","Cereblon (CRBN) is essential for the anti-myeloma (MM) activity of immunomodulatory drugs (IMiDs), such as thalidomide and lenalidomide. However, the clinical implications of CRBN in MM patients are unclear. Using immunohistochemical (IHC) staining on paraffin-embedded bone marrow sections, the expression of CRBN protein in myeloma cells (MCs) was assessed in 40 relapsed/refractory MM (RRMM) patients who received lenalidomide/dexamethasone (LD) and 45 and 22 newly diagnosed MM (NDMM) patients who received thalidomide/dexamethasone (TD) and melphalan/bortezomib/prednisolone (MVP), respectively. IHC staining were scored on a scale representing the diffuseness and intensity of positive-staining MCs (range, 0-8) and a score ≥4.5 was used for CRBN positivity (CRBN(+)) on a cut-point analysis of all possible scores and response of TD and LD. Compared to CRBN(+) NDMM patients, CRBN(-) NDMM patients had more international staging system (ISS) III (26 vs. 61 %, respectively; P = 0.006). In the LD and TD cohorts, the response rate (RR) was higher in CRBN(+) patients than CRBN(-) patients (LD 79 vs. 33 %, respectively; P = 0.005) (TD 75 vs. 29 %, respectively; P = 0.005); however, this trend was not observed in the MVP cohort. In the LD and TD cohorts, the positive and negative prediction value of CRBN(+) for treatment response was 79 and 67 % and 75 and 71 %, respectively. Multivariate analysis showed that CRBN(+) was a significant factor associated with superior RR for LD and TD. The data suggest that expression of CRBN protein in MCs assessed using the IHC is a feasible approach to predict the response of IMiDs in MM patients.",Annals of hematology,2014,"Adaptor Proteins, Signal Transducing; Aged; Angiogenesis Inhibitors; Antineoplastic Combined Chemotherapy Protocols; Bone Marrow Examination; Boronic Acids; Bortezomib; Dexamethasone; Female; Follow-Up Studies; Gene Expression Profiling; Humans; Lenalidomide; Male; Melphalan; Middle Aged; Multiple Myeloma; Neoplasm Proteins; Neoplastic Stem Cells; Paraffin Embedding; Peptide Hydrolases; Prednisolone; Pyrazines; Salvage Therapy; Survival Analysis; Syndecan-1; Thalidomide; Treatment Outcome; Ubiquitin-Protein Ligases",False,8
Million Veteran Program,26441289,Million Veteran Program: A mega-biobank to study genetic influences on health and disease.,"To describe the design and ongoing conduct of the Million Veteran Program (MVP), as an observational cohort study and mega-biobank in the Department of Veterans Affairs (VA) health care system. Data are being collected from participants using questionnaires, the VA electronic health record, and a blood sample for genomic and other testing. Several ongoing projects are linked to MVP, both as peer-reviewed research studies and as activities to help develop an infrastructure for future, broad-based research uses. Formal planning for MVP commenced in 2009; the protocol was approved in 2010, and enrollment began in 2011. As of August 3, 2015, and with a steady state of ≈50 recruiting sites nationwide, N = 397,104 veterans have been enrolled. Among N = 199,348 with currently available genotyping data, most participants (as expected) are male (92.0%) between the ages of 50 and 69 years (55.0%). On the basis of self-reported race, white (77.2%) and African American (13.5%) populations are well represented. By helping to promote the future integration of genetic testing in health care delivery, including clinical decision making, the MVP is designed to contribute to the development of precision medicine.",Journal of clinical epidemiology,2016,Biological Specimen Banks; Data Collection; Electronic Health Records; Female; Genomics; Genotype; Humans; Longitudinal Studies; Male; Research Design; Sequence Analysis; Surveys and Questionnaires; United States; Veterans,False,5
Million Veteran Program,27128302,Precision Medicine in Gastrointestinal Pathology.,"-Precision medicine is the promise of individualized therapy and management of patients based on their personal biology. There are now multiple global initiatives to perform whole-genome sequencing on millions of individuals. In the United States, an early program was the Million Veteran Program, and a more recent proposal in 2015 by the president of the United States is the Precision Medicine Initiative. To implement precision medicine in routine oncology care, genetic variants present in tumors need to be matched with effective clinical therapeutics. When we focus on the current state of precision medicine for gastrointestinal malignancies, it becomes apparent that there is a mixed history of success and failure. -To present the current state of precision medicine using gastrointestinal oncology as a model. We will present currently available targeted therapeutics, promising new findings in clinical genomic oncology, remaining quality issues in genomic testing, and emerging oncology clinical trial designs. -Review of the literature including clinical genomic studies on gastrointestinal malignancies, clinical oncology trials on therapeutics targeted to molecular alterations, and emerging clinical oncology study designs. -Translating our ability to sequence thousands of genes into meaningful improvements in patient survival will be the challenge for the next decade.",Archives of pathology & laboratory medicine,2016,"Antineoplastic Combined Chemotherapy Protocols; Biomarkers, Tumor; Clinical Trials as Topic; Gastrointestinal Neoplasms; Gastrointestinal Tract; Health Policy; Humans; Molecular Sequence Data; Molecular Targeted Therapy; Mutation; Neoplasm Proteins; Pathology, Clinical; Pharmacogenomic Testing; Precision Medicine; Prognosis; Quality of Health Care; Research Design",False,2
Million Veteran Program,27237867,Accelerating the Development and Validation of New Value-Based Diagnostics by Leveraging Biobanks.,"The challenges faced in developing value-based diagnostics has resulted in few of these tests reaching the clinic, leaving many treatment modalities without matching diagnostics to select patients for particular therapies. Many patients receive therapies from which they are unlikely to benefit, resulting in worse outcomes and wasted health care resources. The paucity of value-based diagnostics is a result of the scientific challenges in developing predictive markers, specifically: (1) complex biology, (2) a limited research infrastructure supporting diagnostic development, and (3) the lack of incentives for diagnostic developers to invest the necessary resources. Better access to biospecimens can address some of these challenges. Methodologies developed to evaluate biomarkers from biospecimens archived from patients enrolled in randomized clinical trials offer the greatest opportunity to develop and validate high-value molecular diagnostics. An alternative opportunity is to access high-quality biospecimens collected from large public and private longitudinal observational cohorts such as the UK Biobank, the US Million Veteran Program, the UK 100,000 Genomes Project, or the French E3N cohort. Value-based diagnostics can be developed to work in a range of samples including blood, serum, plasma, urine, and tumour tissue, and better access to these high-quality biospecimens with clinical data can facilitate biomarker research.",Public health genomics,2016,"Biological Specimen Banks; Humans; Informed Consent; Pathology, Molecular; Precision Medicine; Value-Based Purchasing",False,1
Million Veteran Program,27974039,Transforming Evidence Generation to Support Health and Health Care Decisions.,,The New England journal of medicine,2016,"Biomedical Research; Decision Making; Delivery of Health Care; Evidence-Based Medicine; Health Policy; Humans; Translational Research, Biomedical; United States",False,2
Million Veteran Program,29083408,"Exome-wide association study of plasma lipids in >300,000 individuals.","We screened variants on an exome-focused genotyping array in >300,000 participants (replication in >280,000 participants) and identified 444 independent variants in 250 loci significantly associated with total cholesterol (TC), high-density-lipoprotein cholesterol (HDL-C), low-density-lipoprotein cholesterol (LDL-C), and/or triglycerides (TG). At two loci (JAK2 and A1CF), experimental analysis in mice showed lipid changes consistent with the human data. We also found that: (i) beta-thalassemia trait carriers displayed lower TC and were protected from coronary artery disease (CAD); (ii) excluding the CETP locus, there was not a predictable relationship between plasma HDL-C and risk for age-related macular degeneration; (iii) only some mechanisms of lowering LDL-C appeared to increase risk for type 2 diabetes (T2D); and (iv) TG-lowering alleles involved in hepatic production of TG-rich lipoproteins (TM6SF2 and PNPLA3) tracked with higher liver fat, higher risk for T2D, and lower risk for CAD, whereas TG-lowering alleles involved in peripheral lipolysis (LPL and ANGPTL4) had no effect on liver fat but decreased risks for both T2D and CAD.",Nature genetics,2017,"Coronary Artery Disease; Diabetes Mellitus, Type 2; Exome; Genetic Association Studies; Genetic Predisposition to Disease; Genetic Variation; Genotype; Humans; Lipids; Macular Degeneration; Phenotype; Risk Factors",False,1
Million Veteran Program,30224653,Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,"High blood pressure is a highly heritable and modifiable risk factor for cardiovascular disease. We report the largest genetic association study of blood pressure traits (systolic, diastolic and pulse pressure) to date in over 1 million people of European ancestry. We identify 535 novel blood pressure loci that not only offer new biological insights into blood pressure regulation but also highlight shared genetic architecture between blood pressure and lifestyle exposures. Our findings identify new biological pathways for blood pressure regulation with potential for improved cardiovascular disease prevention in the future.",Nature genetics,2018,"Adult; Aged; Aged, 80 and over; Blood Pressure; Cardiovascular Diseases; Cells, Cultured; Female; Genetic Loci; Genetic Predisposition to Disease; Genetic Testing; Genetics, Population; Genome-Wide Association Study; Human Umbilical Vein Endothelial Cells; Humans; Hypertension; Life Style; Male; Middle Aged; Polymorphism, Single Nucleotide; Quantitative Trait Loci; Risk Factors",False,4
Million Veteran Program,29520520,Large-Scale Genomic Biobanks and Cardiovascular Disease.,"Cardiovascular disease is a leading cause of morbidity and mortality worldwide and is the focus of extensive biomedical research. Large genetic consortia combining data from many traditional prospective cohort and ascertained case-control study designs have facilitated the discovery of genetic associations for a variety of cardiovascular diseases including diabetes, coronary artery disease, and hypertension. Biobank-based genetic studies offer an alternative whereby large populations are genotyped and linked to electronic health records. Biobank sample sizes worldwide have surpassed even the largest genetic consortia and have yielded key insights into the genetic determinants of both common and rare cardiovascular phenotypes. Herein, we provide an overview of the largest genomic biobanks and discuss the relevant advantages and challenges inherent to the biobank model of cohort generation and genomic study design.",Current cardiology reports,2018,Biological Specimen Banks; Cardiovascular Diseases; Genetic Predisposition to Disease; Genome-Wide Association Study; Humans; International Cooperation,False,1
