Biobank,Cluster_ID,Number_of_Publications,Total_Unique_MeSH_Terms,Top_5_Semantic_Terms_cDF_IPF,Cluster_Description,Primary_Research_Theme,c_DF_IPF_Score_Range,Term_1_MeSH,Term_1_Semantic_Descriptor,Term_1_cDF_IPF_Score,Term_1_DF_Score,Term_1_IPF_Score,Term_2_MeSH,Term_2_Semantic_Descriptor,Term_2_cDF_IPF_Score,Term_2_DF_Score,Term_2_IPF_Score,Term_3_MeSH,Term_3_Semantic_Descriptor,Term_3_cDF_IPF_Score,Term_3_DF_Score,Term_3_IPF_Score,Term_4_MeSH,Term_4_Semantic_Descriptor,Term_4_cDF_IPF_Score,Term_4_DF_Score,Term_4_IPF_Score,Term_5_MeSH,Term_5_Semantic_Descriptor,Term_5_cDF_IPF_Score,Term_5_DF_Score,Term_5_IPF_Score
All of Us,C0,76,320,retrospective_studies (Retrospective Studies): 0.6085 | female (Female): 0.5328 | female male (Female Male): 0.5324 | humans female (Humans Female): 0.5280 | risk_factors (Risk Factors): 0.5006,"Research spanning Retrospective Studies, Female, and Female Male",Retrospective Studies,0.6085 - 0.5006,retrospective_studies,Retrospective Studies,0.6084993173676135,0.21052631578947367,2.8903717574961645,female,Female,0.5327534782114932,0.5921052631578947,0.8997614298682997,female male,Female Male,0.5324369026966619,0.18421052631578946,2.8903717574961645,humans female,Humans Female,0.5280119167019681,0.19736842105263158,2.6752603779566386,risk_factors,Risk Factors,0.5006156805002421,0.2236842105263158,2.238046571648141
All of Us,C8,61,249,male female (Male Female): 1.3491 | adult middle_aged (Adult Middle Aged): 1.1685 | middle_aged (Middle Aged): 1.0528 | young_adult (Young Adult): 1.0446 | adult (Adult): 0.9493,"Research spanning Male Female, Adult Middle Aged, and Middle Aged",Male Female,1.3491 - 0.9493,male female,Male Female,1.3490576453379441,0.5573770491803278,2.4203681284004293,adult middle_aged,Adult Middle Aged,1.1685045263763394,0.4098360655737705,2.851151044358268,middle_aged,Middle Aged,1.0527934339445144,0.8852459016393442,1.1892666568632477,young_adult,Young Adult,1.0445821760155798,0.47540983606557374,2.1972245771362195,adult,Adult,0.9493136225936091,0.9180327868852459,1.0340737674680385
All of Us,C2,59,274,female humans (Female Humans): 1.4212 | male middle_aged (Male Middle Aged): 1.3793 | humans male (Humans Male): 1.3319 | adult aged (Adult Aged): 1.0098 | male (Male): 0.9353,"Research spanning Female Humans, Male Middle Aged, and Humans Male",Female Humans,1.4212 - 0.9353,female humans,Female Humans,1.4211634415858547,0.5932203389830508,2.3956755158161553,male middle_aged,Male Middle Aged,1.3792716644349001,0.5932203389830508,2.3250579486188316,humans male,Humans Male,1.3318850473669208,0.6610169491525424,2.014903020375598,adult aged,Adult Aged,1.0097814307951745,0.3728813559322034,2.7080502007688767,male,Male,0.9352816268504209,0.9322033898305084,1.0033021088031788
All of Us,C5,50,184,precision_medicine (Precision Medicine): 1.5965 | humans precision_medicine (Humans Precision Medicine): 0.7613 | population_health precision_medicine (Population Health Precision Medicine): 0.4996 | precision_medicine united_states (Precision Medicine United States): 0.4500 | biomedical_research (Biomedical Research): 0.4357,"Research spanning Precision Medicine, Humans Precision Medicine, and Population Health Precision Medicine",Precision Medicine,1.5965 - 0.4357,precision_medicine,Precision Medicine,1.5965476448037532,0.72,2.2174272844496574,humans precision_medicine,Humans Precision Medicine,0.761332497754064,0.2,3.8066624887703195,population_health precision_medicine,Population Health Precision Medicine,0.4996004918736577,0.12,4.163337432280481,precision_medicine united_states,Precision Medicine United States,0.4499809668330265,0.1,4.499809668330265,biomedical_research,Biomedical Research,0.43566626311207723,0.18,2.4203681284004293
All of Us,C4,39,150,crosssectional_studies population_health (Crosssectional Studies Population Health): 1.5717 | crosssectional_studies (Crosssectional Studies): 1.1787 | humans united_states (Humans United States): 1.0099 | psoriasis (Psoriasis): 0.7849 | population_health prevalence (Population Health Prevalence): 0.7613,"Research spanning Crosssectional Studies Population Health, Crosssectional Studies, and Humans United States",Crosssectional Studies Population Health,1.5717 - 0.7613,crosssectional_studies population_health,Crosssectional Studies Population Health,1.5716539202896163,0.5128205128205128,3.064725144564752,crosssectional_studies,Crosssectional Studies,1.1786734629541116,0.6923076923076923,1.7025283353781613,humans united_states,Humans United States,1.0099423084475725,0.358974358974359,2.813410716389666,psoriasis,Psoriasis,0.7848917033066513,0.23076923076923078,3.4011973809954887,population_health prevalence,Population Health Prevalence,0.7613030377552623,0.20512820512820512,3.711352309056904
All of Us,C1,37,142,biomedical_research (Biomedical Research): 1.4391 | electronic_health_records (Electronic Health Records): 1.2058 | electronic_health_records humans (Electronic Health Records Humans): 0.9516 | research_personnel (Research Personnel): 0.5877 | cohort_studies (Cohort Studies): 0.5187,"Research spanning Biomedical Research, Electronic Health Records, and Electronic Health Records Humans",Biomedical Research,1.4391 - 0.5187,biomedical_research,Biomedical Research,1.439137806075931,0.5945945945945946,2.4203681284004293,electronic_health_records,Electronic Health Records,1.2057541045926121,0.5135135135135135,2.3480474668382447,electronic_health_records humans,Electronic Health Records Humans,0.9515731632122517,0.24324324324324326,3.9120230043170348,research_personnel,Research Personnel,0.5877309619691403,0.16216216216216217,3.6243409321430318,cohort_studies,Cohort Studies,0.5187476288386877,0.1891891891891892,2.7419517524330637
All of Us,C7,35,134,genomics (Genomics): 2.1148 | genomics humans (Genomics Humans): 1.1391 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 1.0887 | genomewide_association_study (Genomewide Association Study): 0.8496 | genetic_testing (Genetic Testing): 0.7249,"Research spanning Genomics, Genomics Humans, and Genetic Predisposition To Disease",Genomics,2.1148 - 0.7249,genomics,Genomics,2.1148093437217113,0.8,2.6435116796521387,genomics humans,Genomics Humans,1.1390785786735242,0.3142857142857143,3.6243409321430318,genetic_predisposition_to_disease,Genetic Predisposition To Disease,1.0887291078856227,0.37142857142857144,2.931193751999753,genomewide_association_study,Genomewide Association Study,0.8496438189715523,0.2857142857142857,2.973753366400433,genetic_testing,Genetic Testing,0.7248681864286064,0.2,3.6243409321430318
All of Us,C9,32,115,surveys_and_questionnaires (Surveys And Questionnaires): 1.1429 | humans pandemics (Humans Pandemics): 0.8815 | pandemics (Pandemics): 0.7440 | population_health (Population Health): 0.6747 | population_health surveys_and_questionnaires (Population Health Surveys And Questionnaires): 0.6505,"Research spanning Surveys And Questionnaires, Humans Pandemics, and Pandemics",Surveys And Questionnaires,1.1429 - 0.6505,surveys_and_questionnaires,Surveys And Questionnaires,1.1429481035333018,0.40625,2.813410716389666,humans pandemics,Humans Pandemics,0.8815200712138033,0.21875,4.029806039834529,pandemics,Pandemics,0.7440119270927632,0.21875,3.4011973809954887,population_health,Population Health,0.674736328637378,0.71875,0.9387635876693955,population_health surveys_and_questionnaires,Population Health Surveys And Questionnaires,0.6505214737938252,0.15625,4.163337432280481
All of Us,C6,31,152,depression (Depression): 1.4537 | covid19 (Covid19): 1.1511 | anxiety (Anxiety): 1.1357 | sarscov2 (Sarscov2): 1.0290 | glaucoma (Glaucoma): 0.9578,"Research spanning Depression, Covid19, and Anxiety",Depression,1.4537 - 0.9578,depression,Depression,1.4536858561411945,0.45161290322580644,3.218875824312645,covid19,Covid19,1.1511303353808127,0.3870967741935484,2.973753366400433,anxiety,Anxiety,1.1357486141565585,0.2903225806451613,3.9120230043170348,sarscov2,Sarscov2,1.0289898071226575,0.2903225806451613,3.544298224533598,glaucoma,Glaucoma,0.9577683378211365,0.25806451612903225,3.711352309056904
All of Us,C3,30,102,casecontrol_studies (Casecontrol Studies): 1.8729 | casecontrol_studies population_health (Casecontrol Studies Population Health): 1.2081 | comorbidity (Comorbidity): 1.1803 | dermatitis_atopic (Dermatitis Atopic): 0.9070 | population_health (Population Health): 0.8136,"Research spanning Casecontrol Studies, Casecontrol Studies Population Health, and Comorbidity",Casecontrol Studies,1.8729 - 0.8136,casecontrol_studies,Casecontrol Studies,1.8728596487254408,0.7333333333333333,2.5538995209892374,casecontrol_studies population_health,Casecontrol Studies Population Health,1.2081136440476772,0.3333333333333333,3.6243409321430318,comorbidity,Comorbidity,1.1802544689146364,0.36666666666666664,3.218875824312645,dermatitis_atopic,Dermatitis Atopic,0.9069859682654636,0.26666666666666666,3.4011973809954887,population_health,Population Health,0.8135951093134761,0.8666666666666667,0.9387635876693955
