PMID,Biobank,Year,Title,population_stratification_mentioned,population_stratification_confidence,population_stratification_severity,population_stratification_mesh,population_stratification_keywords,batch_effects_mentioned,batch_effects_confidence,batch_effects_severity,batch_effects_mesh,batch_effects_keywords,missing_data_mentioned,missing_data_confidence,missing_data_severity,missing_data_mesh,missing_data_keywords,sampling_bias_mentioned,sampling_bias_confidence,sampling_bias_severity,sampling_bias_mesh,sampling_bias_keywords,technical_variation_mentioned,technical_variation_confidence,technical_variation_severity,technical_variation_mesh,technical_variation_keywords
12693011,UK Biobank,2003,"[Ethical, legal, and social issues of genome research--new phase of genome research desperately requires social understanding and safeguards on the use of medical records and other personal information].",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
12767753,UK Biobank,2003,UK Biobank: a project in search of a protocol?,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,
14680535,UK Biobank,2003,How could primary care meet the informatics needs of UK Biobank? A Scottish proposal.,0,0.0,none,0,,0,0.0,none,1,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,1,,0,0.0,none,1,
15158057,UK Biobank,2004,Governing UK Biobank: the importance of ensuring public trust.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
15362702,UK Biobank,2004,Strategies for consulting with the community: the cases of four large-scale genetic databases.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
15470784,UK Biobank,2004,"Human genetic banking: altruism, benefit and consent.",0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,
14748011,UK Biobank,2004,Power of direct vs. indirect haplotyping in association studies.,0,0.0,none,0,,0,0.0,none,1,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,1,
15787778,UK Biobank,2005,Securing our genetic health: engendering trust in UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
16143003,UK Biobank,2005,UK Biobank: from concept to reality.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
16015344,UK Biobank,2005,"Beset by practical hurdles, UK Biobank moves at sluggish pace.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
