Year,Total_Papers,population_stratification_percentage,batch_effects_percentage,missing_data_percentage,sampling_bias_percentage,technical_variation_percentage
2003,4,0.0,0.0,25.0,0.0,0.0
2004,4,0.0,0.0,25.0,0.0,0.0
2005,3,0.0,0.0,0.0,0.0,0.0
2006,8,12.5,0.0,25.0,0.0,0.0
2007,3,0.0,0.0,0.0,33.33333333333333,0.0
2008,11,9.090909090909092,0.0,0.0,18.181818181818183,9.090909090909092
2009,5,0.0,0.0,20.0,0.0,0.0
2010,3,0.0,0.0,33.33333333333333,0.0,33.33333333333333
2011,6,0.0,0.0,33.33333333333333,16.666666666666664,0.0
2012,10,10.0,0.0,30.0,10.0,0.0
2013,13,38.46153846153847,0.0,38.46153846153847,15.384615384615385,7.6923076923076925
2014,66,31.818181818181817,0.0,28.78787878787879,4.545454545454546,6.0606060606060606
2015,95,32.631578947368425,0.0,31.57894736842105,10.526315789473683,1.0526315789473684
2016,162,39.50617283950617,0.0,29.629629629629626,10.493827160493826,0.6172839506172839
2017,237,37.552742616033754,0.8438818565400843,26.160337552742618,7.172995780590717,1.6877637130801686
2018,385,36.36363636363637,0.5194805194805194,29.09090909090909,7.532467532467532,3.116883116883117
2019,619,39.903069466882066,0.16155088852988692,28.109854604200322,5.654281098546042,3.392568659127625
2020,964,37.03319502074689,0.3112033195020747,29.564315352697097,7.468879668049793,1.970954356846473
2021,1584,38.76262626262626,0.1893939393939394,33.45959595959596,7.2601010101010095,1.7045454545454544
2022,2194,37.3746581586144,0.27347310847766637,36.73655423883318,7.247037374658159,1.504102096627165
2023,3300,38.84848484848485,0.21212121212121215,37.54545454545454,7.2727272727272725,1.9393939393939394
2024,4979,41.4541072504519,0.4619401486242217,43.763807993573,6.005221932114883,1.6268326973287808
