variation,dalys_weight,deaths_weight,prevalence_weight,spearman_r,kendall_tau
baseline,0.5,50.0,10.0,1.0,1.0
dalys_+20%,0.6,50.0,10.0,1.0,1.0
dalys_-20%,0.4,50.0,10.0,1.0,1.0
dalys_+50%,0.75,50.0,10.0,1.0,1.0
dalys_-50%,0.25,50.0,10.0,1.0,1.0
deaths_+20%,0.5,60.0,10.0,1.0,1.0
deaths_-20%,0.5,40.0,10.0,1.0,1.0
deaths_+50%,0.5,75.0,10.0,1.0,1.0
deaths_-50%,0.5,25.0,10.0,1.0,1.0
prevalence_+20%,0.5,50.0,12.0,1.0,1.0
prevalence_-20%,0.5,50.0,8.0,1.0,1.0
prevalence_+50%,0.5,50.0,15.0,1.0,1.0
prevalence_-50%,0.5,50.0,5.0,1.0,1.0
