disease,rank_baseline,score_baseline,rank_dalys_+20%,score_dalys_+20%,rank_dalys_-20%,score_dalys_-20%,rank_dalys_+50%,score_dalys_+50%,rank_dalys_-50%,score_dalys_-50%,rank_deaths_+20%,score_deaths_+20%,rank_deaths_-20%,score_deaths_-20%,rank_deaths_+50%,score_deaths_+50%,rank_deaths_-50%,score_deaths_-50%,rank_prevalence_+20%,score_prevalence_+20%,rank_prevalence_-20%,score_prevalence_-20%,rank_prevalence_+50%,score_prevalence_+50%,rank_prevalence_-50%,score_prevalence_-50%
HIV/AIDS,24,20.133395872602197,24,24.160075047122636,24,16.106716698081758,24,30.200093808903297,24,10.066697936301098,24,20.133395872602197,24,20.133395872602197,24,20.133395872602197,24,20.133395872602197,24,20.133395872602197,24,20.133395872602197,24,20.133395872602197,24,20.133395872602197
Sexually transmitted infections excluding HIV,69,3.976655543845328,69,4.771986652614394,69,3.1813244350762626,69,5.9649833157679915,69,1.988327771922664,69,3.976655543845328,69,3.976655543845328,69,3.976655543845328,69,3.976655543845328,69,3.976655543845328,69,3.976655543845328,69,3.976655543845328,69,3.976655543845328
Lower respiratory infections,6,41.267420269546264,6,49.52090432345552,6,33.01393621563701,6,61.901130404319396,6,20.633710134773132,6,41.267420269546264,6,41.267420269546264,6,41.267420269546264,6,41.267420269546264,6,41.267420269546264,6,41.267420269546264,6,41.267420269546264,6,41.267420269546264
Upper respiratory infections,76,2.8394433864137225,76,3.407332063696467,76,2.271554709130978,76,4.259165079620583,76,1.4197216932068613,76,2.8394433864137225,76,2.8394433864137225,76,2.8394433864137225,76,2.8394433864137225,76,2.8394433864137225,76,2.8394433864137225,76,2.8394433864137225,76,2.8394433864137225
Otitis media,118,1.2398114486136926,118,1.4877737383364311,118,0.9918491588909542,118,1.859717172920539,118,0.6199057243068463,118,1.2398114486136926,118,1.2398114486136926,118,1.2398114486136926,118,1.2398114486136926,118,1.2398114486136926,118,1.2398114486136926,118,1.2398114486136926,118,1.2398114486136926
COVID-19,1,106.00479798349878,1,127.20575758019852,1,84.80383838679903,1,159.00719697524818,1,53.00239899174939,1,106.00479798349878,1,106.00479798349878,1,106.00479798349878,1,106.00479798349878,1,106.00479798349878,1,106.00479798349878,1,106.00479798349878,1,106.00479798349878
Tuberculosis,16,23.488731280871914,16,28.186477537046297,16,18.79098502469753,16,35.23309692130787,16,11.744365640435957,16,23.488731280871914,16,23.488731280871914,16,23.488731280871914,16,23.488731280871914,16,23.488731280871914,16,23.488731280871914,16,23.488731280871914,16,23.488731280871914
Diarrheal diseases,11,29.49190839648485,11,35.39029007578182,11,23.59352671718788,11,44.237862594727275,11,14.745954198242424,11,29.49190839648485,11,29.49190839648485,11,29.49190839648485,11,29.49190839648485,11,29.49190839648485,11,29.49190839648485,11,29.49190839648485,11,29.49190839648485
Typhoid and paratyphoid,67,4.049787231861859,67,4.859744678234231,67,3.239829785489487,67,6.074680847792788,67,2.0248936159309294,67,4.049787231861859,67,4.049787231861859,67,4.049787231861859,67,4.049787231861859,67,4.049787231861859,67,4.049787231861859,67,4.049787231861859,67,4.049787231861859
Invasive Non-typhoidal Salmonella (iNTS),86,2.370117350403353,86,2.8441408204840237,86,1.8960938803226826,86,3.5551760256050295,86,1.1850586752016765,86,2.370117350403353,86,2.370117350403353,86,2.370117350403353,86,2.370117350403353,86,2.370117350403353,86,2.370117350403353,86,2.370117350403353,86,2.370117350403353
Other intestinal infectious diseases,166,0.05269083748222661,166,0.06322900497867193,166,0.042152669985781294,166,0.07903625622333992,166,0.026345418741113305,166,0.05269083748222661,166,0.05269083748222661,166,0.05269083748222661,166,0.05269083748222661,166,0.05269083748222661,166,0.05269083748222661,166,0.05269083748222661,166,0.05269083748222661
Malaria,13,27.587030351009943,13,33.10443642121193,13,22.069624280807957,13,41.380545526514915,13,13.793515175504972,13,27.587030351009943,13,27.587030351009943,13,27.587030351009943,13,27.587030351009943,13,27.587030351009943,13,27.587030351009943,13,27.587030351009943,13,27.587030351009943
Dengue,122,1.038262345320163,122,1.2459148143841954,122,0.8306098762561304,122,1.5573935179802443,122,0.5191311726600815,122,1.038262345320163,122,1.038262345320163,122,1.038262345320163,122,1.038262345320163,122,1.038262345320163,122,1.038262345320163,122,1.038262345320163,122,1.038262345320163
Yellow fever,161,0.15889597430952454,161,0.19067516917142943,161,0.12711677944761965,161,0.23834396146428682,161,0.07944798715476227,161,0.15889597430952454,161,0.15889597430952454,161,0.15889597430952454,161,0.15889597430952454,161,0.15889597430952454,161,0.15889597430952454,161,0.15889597430952454,161,0.15889597430952454
Rabies,156,0.284775140852983,156,0.3417301690235796,156,0.22782011268238642,156,0.42716271127947447,156,0.1423875704264915,156,0.284775140852983,156,0.284775140852983,156,0.284775140852983,156,0.284775140852983,156,0.284775140852983,156,0.284775140852983,156,0.284775140852983,156,0.284775140852983
Intestinal nematode infections,132,0.6908204867854436,132,0.8289845841425323,132,0.5526563894283549,132,1.0362307301781655,132,0.3454102433927218,132,0.6908204867854436,132,0.6908204867854436,132,0.6908204867854436,132,0.6908204867854436,132,0.6908204867854436,132,0.6908204867854436,132,0.6908204867854436,132,0.6908204867854436
Schistosomiasis,125,0.8731666528462788,125,1.0477999834155345,125,0.6985333222770231,125,1.3097499792694183,125,0.4365833264231394,125,0.8731666528462788,125,0.8731666528462788,125,0.8731666528462788,125,0.8731666528462788,125,0.8731666528462788,125,0.8731666528462788,125,0.8731666528462788,125,0.8731666528462788
Leishmaniasis,153,0.3905938037316275,153,0.46871256447795295,153,0.31247504298530204,153,0.5858907055974413,153,0.19529690186581375,153,0.3905938037316275,153,0.3905938037316275,153,0.3905938037316275,153,0.3905938037316275,153,0.3905938037316275,153,0.3905938037316275,153,0.3905938037316275,153,0.3905938037316275
Lymphatic filariasis,135,0.6572816997712472,135,0.7887380397254966,135,0.5258253598169977,135,0.9859225496568708,135,0.3286408498856236,135,0.6572816997712472,135,0.6572816997712472,135,0.6572816997712472,135,0.6572816997712472,135,0.6572816997712472,135,0.6572816997712472,135,0.6572816997712472,135,0.6572816997712472
Onchocerciasis,136,0.6314940627092368,136,0.7577928752510842,136,0.5051952501673894,136,0.9472410940638551,136,0.3157470313546184,136,0.6314940627092368,136,0.6314940627092368,136,0.6314940627092368,136,0.6314940627092368,136,0.6314940627092368,136,0.6314940627092368,136,0.6314940627092368,136,0.6314940627092368
Trachoma,165,0.061595118703481055,165,0.07391414244417727,165,0.049276094962784844,165,0.09239267805522158,165,0.030797559351740528,165,0.061595118703481055,165,0.061595118703481055,165,0.061595118703481055,165,0.061595118703481055,165,0.061595118703481055,165,0.061595118703481055,165,0.061595118703481055,165,0.061595118703481055
Chagas disease,164,0.11929464260714928,164,0.14315357112857913,164,0.09543571408571944,164,0.17894196391072392,164,0.05964732130357464,164,0.11929464260714928,164,0.11929464260714928,164,0.11929464260714928,164,0.11929464260714928,164,0.11929464260714928,164,0.11929464260714928,164,0.11929464260714928,164,0.11929464260714928
African trypanosomiasis,168,0.03098124133830179,168,0.03717748960596214,168,0.024784993070641432,168,0.04647186200745268,168,0.015490620669150895,168,0.03098124133830179,168,0.03098124133830179,168,0.03098124133830179,168,0.03098124133830179,168,0.03098124133830179,168,0.03098124133830179,168,0.03098124133830179,168,0.03098124133830179
Cysticercosis,138,0.6179694962314357,138,0.7415633954777229,138,0.4943755969851486,138,0.9269542443471536,138,0.30898474811571786,138,0.6179694962314357,138,0.6179694962314357,138,0.6179694962314357,138,0.6179694962314357,138,0.6179694962314357,138,0.6179694962314357,138,0.6179694962314357,138,0.6179694962314357
Cystic echinococcosis,167,0.0525357838022379,167,0.06304294056268547,167,0.04202862704179032,167,0.07880367570335685,167,0.02626789190111895,167,0.0525357838022379,167,0.0525357838022379,167,0.0525357838022379,167,0.0525357838022379,167,0.0525357838022379,167,0.0525357838022379,167,0.0525357838022379,167,0.0525357838022379
Leprosy,169,0.010713754256576316,169,0.01285650510789158,169,0.008571003405261053,169,0.016070631384864476,169,0.005356877128288158,169,0.010713754256576316,169,0.010713754256576316,169,0.010713754256576316,169,0.010713754256576316,169,0.010713754256576316,169,0.010713754256576316,169,0.010713754256576316,169,0.010713754256576316
Food-borne trematodiases,147,0.4990142586716076,147,0.5988171104059291,147,0.3992114069372861,147,0.7485213880074114,147,0.2495071293358038,147,0.4990142586716076,147,0.4990142586716076,147,0.4990142586716076,147,0.4990142586716076,147,0.4990142586716076,147,0.4990142586716076,147,0.4990142586716076,147,0.4990142586716076
Other neglected tropical diseases,92,2.109151123584053,92,2.5309813483008634,92,1.6873208988672426,92,3.1637266853760795,92,1.0545755617920265,92,2.109151123584053,92,2.109151123584053,92,2.109151123584053,92,2.109151123584053,92,2.109151123584053,92,2.109151123584053,92,2.109151123584053,92,2.109151123584053
Ebola,170,0.0013011654247129128,170,0.0015613985096554954,170,0.0010409323397703302,170,0.0019517481370693692,170,0.0006505827123564564,170,0.0013011654247129128,170,0.0013011654247129128,170,0.0013011654247129128,170,0.0013011654247129128,170,0.0013011654247129128,170,0.0013011654247129128,170,0.0013011654247129128,170,0.0013011654247129128
Zika virus,5,78.97364719995113,5,94.76837663994135,5,63.17891775996091,5,118.4604707999267,5,39.486823599975565,5,78.97364719995113,5,78.97364719995113,5,78.97364719995113,5,78.97364719995113,5,78.97364719995113,5,78.97364719995113,5,78.97364719995113,5,78.97364719995113
Guinea worm disease,150,0.42743800478679755,150,0.512925605744157,150,0.3419504038294381,150,0.6411570071801963,150,0.21371900239339878,150,0.42743800478679755,150,0.42743800478679755,150,0.42743800478679755,150,0.42743800478679755,150,0.42743800478679755,150,0.42743800478679755,150,0.42743800478679755,150,0.42743800478679755
Meningitis,43,7.255523241206078,43,8.706627889447294,43,5.804418592964863,43,10.883284861809118,43,3.627761620603039,43,7.255523241206078,43,7.255523241206078,43,7.255523241206078,43,7.255523241206078,43,7.255523241206078,43,7.255523241206078,43,7.255523241206078,43,7.255523241206078
Encephalitis,82,2.4764092889488016,82,2.971691146738562,82,1.9811274311590414,82,3.7146139334232027,82,1.2382046444744008,82,2.4764092889488016,82,2.4764092889488016,82,2.4764092889488016,82,2.4764092889488016,82,2.4764092889488016,82,2.4764092889488016,82,2.4764092889488016,82,2.4764092889488016
Acute hepatitis,91,2.1140240645285604,91,2.536828877434272,91,1.6912192516228484,91,3.1710360967928404,91,1.0570120322642802,91,2.1140240645285604,91,2.1140240645285604,91,2.1140240645285604,91,2.1140240645285604,91,2.1140240645285604,91,2.1140240645285604,91,2.1140240645285604,91,2.1140240645285604
Measles,84,2.439263316747428,84,2.927115980096913,84,1.9514106533979423,84,3.6588949751211417,84,1.219631658373714,84,2.439263316747428,84,2.439263316747428,84,2.439263316747428,84,2.439263316747428,84,2.439263316747428,84,2.439263316747428,84,2.439263316747428,84,2.439263316747428
Tetanus,133,0.6707566852766359,133,0.804908022331963,133,0.5366053482213088,133,1.006135027914954,133,0.33537834263831795,133,0.6707566852766359,133,0.6707566852766359,133,0.6707566852766359,133,0.6707566852766359,133,0.6707566852766359,133,0.6707566852766359,133,0.6707566852766359,133,0.6707566852766359
Pertussis,87,2.307043027763533,87,2.7684516333162397,87,1.8456344222108265,87,3.4605645416452995,87,1.1535215138817665,87,2.307043027763533,87,2.307043027763533,87,2.307043027763533,87,2.307043027763533,87,2.307043027763533,87,2.307043027763533,87,2.307043027763533,87,2.307043027763533
Diphtheria,160,0.1591019120715122,160,0.19092229448581463,160,0.12728152965720976,160,0.2386528681072683,160,0.0795509560357561,160,0.1591019120715122,160,0.1591019120715122,160,0.1591019120715122,160,0.1591019120715122,160,0.1591019120715122,160,0.1591019120715122,160,0.1591019120715122,160,0.1591019120715122
Varicella and herpes zoster,149,0.44303327033272066,149,0.5316399243992648,149,0.35442661626617655,149,0.664549905499081,149,0.22151663516636033,149,0.44303327033272066,149,0.44303327033272066,149,0.44303327033272066,149,0.44303327033272066,149,0.44303327033272066,149,0.44303327033272066,149,0.44303327033272066,149,0.44303327033272066
