,Acne_vulgaris,Acute_glomerulonephritis,Acute_hepatitis,Adverse_effects_of_medical_treatment,African_trypanosomiasis,Age-related_and_other_hearing_loss,Alcohol_use_disorders,Alopecia_areata,Alzheimer's_disease_and_other_dementias,Animal_contact,Anxiety_disorders,Aortic_aneurysm,Appendicitis,Asthma,Atrial_fibrillation_and_flutter,Attention-deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bacterial_skin_diseases,Bipolar_disorder,Bladder_cancer,Blindness_and_vision_loss,Brain_and_central_nervous_system_cancer,Breast_cancer,COVID-19,Cardiomyopathy_and_myocarditis,Cervical_cancer,Chagas_disease,Chronic_kidney_disease,Chronic_obstructive_pulmonary_disease,Cirrhosis_and_other_chronic_liver_diseases,Colon_and_rectum_cancer,Conduct_disorder,Conflict_and_terrorism,Congenital_birth_defects,Cystic_echinococcosis,Cysticercosis,Decubitus_ulcer,Dengue,Depressive_disorders,Dermatitis,Diabetes_mellitus,Diarrheal_diseases,Dietary_iron_deficiency,Diphtheria,Drowning,Drug_use_disorders,Eating_disorders,Ebola,Encephalitis,Endocarditis,"Endocrine,_metabolic,_blood,_and_immune_disorders",Environmental_heat_and_cold_exposure,Esophageal_cancer,Exposure_to_forces_of_nature,Exposure_to_mechanical_forces,Eye_cancer,Falls,"Fire,_heat,_and_hot_substances",Food-borne_trematodiases,Foreign_body,Fungal_skin_diseases,Gallbladder_and_biliary_diseases,Gallbladder_and_biliary_tract_cancer,Gout,Guinea_worm_disease,Gynecological_diseases,HIV_AIDS,Headache_disorders,Hemoglobinopathies_and_hemolytic_anemias,Hodgkin_lymphoma,Hypertensive_heart_disease,Idiopathic_developmental_intellectual_disability,Idiopathic_epilepsy,Inflammatory_bowel_disease,"Inguinal,_femoral,_and_abdominal_hernia",Interpersonal_violence,Intestinal_nematode_infections,Invasive_Non-typhoidal_Salmonella_(iNTS),Iodine_deficiency,Ischemic_heart_disease,Kidney_cancer,Larynx_cancer,Leishmaniasis,Leprosy,Leukemia,Lip_and_oral_cavity_cancer,Liver_cancer,Low_back_pain,Lower_extremity_peripheral_arterial_disease,Lower_respiratory_infections,Lymphatic_filariasis,Malaria,Malignant_neoplasm_of_bone_and_articular_cartilage,Malignant_skin_melanoma,Maternal_disorders,Measles,Meningitis,Mesothelioma,Motor_neuron_disease,Multiple_myeloma,Multiple_sclerosis,Nasopharynx_cancer,Neck_pain,Neonatal_disorders,Neuroblastoma_and_other_peripheral_nervous_cell_tumors,Non-Hodgkin_lymphoma,Non-melanoma_skin_cancer,Non-rheumatic_valvular_heart_disease,Onchocerciasis,Oral_disorders,Osteoarthritis,Other_cardiovascular_and_circulatory_diseases,Other_chronic_respiratory_diseases,Other_digestive_diseases,Other_intestinal_infectious_diseases,Other_malignant_neoplasms,Other_mental_disorders,Other_musculoskeletal_disorders,Other_neglected_tropical_diseases,Other_neoplasms,Other_neurological_disorders,Other_nutritional_deficiencies,Other_pharynx_cancer,Other_sense_organ_diseases,Other_skin_and_subcutaneous_diseases,Other_transport_injuries,Other_unintentional_injuries,Other_unspecified_infectious_diseases,Otitis_media,Ovarian_cancer,Pancreatic_cancer,Pancreatitis,Paralytic_ileus_and_intestinal_obstruction,Parkinson's_disease,Pertussis,Pneumoconiosis,Poisonings,Police_conflict_and_executions,Prostate_cancer,Protein-energy_malnutrition,Pruritus,Psoriasis,Pulmonary_Arterial_Hypertension,Rabies,Rheumatic_heart_disease,Rheumatoid_arthritis,Road_injuries,Scabies,Schistosomiasis,Schizophrenia,Self-harm,Sexually_transmitted_infections_excluding_HIV,Soft_tissue_and_other_extraosseous_sarcomas,Stomach_cancer,Stroke,Sudden_infant_death_syndrome,Testicular_cancer,Tetanus,Thyroid_cancer,Tracheal,"Tracheal,_bronchus,_and_lung_cancer",Trachoma,Tuberculosis,Typhoid_and_paratyphoid,Upper_digestive_system_diseases,Upper_respiratory_infections,Urinary_diseases_and_male_infertility,Urticaria,Uterine_cancer,Varicella_and_herpes_zoster,Vascular_intestinal_disorders,Viral_skin_diseases,Vitamin_A_deficiency,Yellow_fever,Zika_virus
Acne_vulgaris,0.9999998,0.9979638,0.998149,0.99923795,0.99690855,0.99850297,0.9978075,0.99959993,0.9981306,0.998158,0.99762726,0.9973144,0.9978307,0.99877906,0.99772453,0.9973805,0.9979879,0.9992652,0.9980721,0.99815184,0.99874616,0.9983213,0.9986231,0.99804604,0.9981689,0.99840766,0.99738055,0.99819213,0.99838346,0.9984294,0.9983588,0.9959807,0.9972057,0.99861103,0.9975299,0.9976954,0.9986414,0.9976069,0.99838144,0.9995642,0.99866325,0.99881786,0.99875224,0.9981602,0.997877,0.9979936,0.99848235,0.9970148,0.99823874,0.9978714,0.99893546,0.9983088,0.99772495,0.9972093,0.99841714,0.9983735,0.99770516,0.9990435,0.99761647,0.99806273,0.99851733,0.9982647,0.99763805,0.99891686,0.99762475,0.9987571,0.9985782,0.99897975,0.9986031,0.9980407,0.9985092,0.99829555,0.9983827,0.99885136,0.99764425,0.99712753,0.997651,0.9975988,0.99788445,0.9977794,0.9979949,0.99808955,0.9977106,0.9986038,0.99807185,0.9985371,0.99796253,0.99829805,0.9988013,0.99870396,0.99729586,0.99776465,0.9984295,0.99869686,0.99846953,0.997952,0.99849045,0.9982966,0.99825966,0.9980215,0.9986432,0.99819154,0.99828076,0.998781,0.99800915,0.99785143,0.99819076,0.9974841,0.99710613,0.99913764,0.9984967,0.99865043,0.9986795,0.99878293,0.99867755,0.998508,0.9984076,0.9990788,0.9982584,0.99843675,0.9989288,0.9986245,0.9980335,0.99864316,0.9994163,0.996671,0.99813956,0.9986079,0.99866384,0.99822193,0.99809563,0.9985423,0.9975679,0.9981338,0.9980047,0.9985474,0.99880993,0.99643624,0.9984049,0.9983491,0.99955094,0.9994268,0.9985307,0.99772966,0.99825096,0.9988958,0.99759257,0.9986439,0.9979254,0.9980212,0.9975162,0.9983515,0.99819344,0.99759996,0.99842346,0.99817055,0.9981182,0.99823046,0.99823827,0.99698776,0.99822354,0.99788696,0.9985966,0.99783087,0.99872804,0.99873155,0.9987286,0.99915045,0.9983772,0.9986607,0.99785405,0.9989967,0.99834454,0.997341,0.9971798
Acute_glomerulonephritis,0.9979638,0.9999992,0.99854183,0.9986417,0.996074,0.9977177,0.9969192,0.99834996,0.9979351,0.9971274,0.99649405,0.99752533,0.9975608,0.99836546,0.9978933,0.9964437,0.99700767,0.9981378,0.9973489,0.99832296,0.9981488,0.99818754,0.9981736,0.9971229,0.9987453,0.9977682,0.99675936,0.9990107,0.998098,0.9989015,0.99832535,0.9950551,0.9956578,0.99821,0.9969884,0.9970285,0.99750566,0.997188,0.99746484,0.9985744,0.998732,0.99853337,0.99839187,0.9976299,0.99684066,0.99695754,0.99745154,0.9961639,0.99845797,0.99779123,0.9990008,0.99756736,0.99787474,0.995857,0.9976828,0.9979988,0.99677074,0.99795234,0.9970046,0.9970666,0.9970525,0.99848926,0.9980786,0.99889725,0.99604785,0.9983506,0.9980106,0.9983011,0.9984216,0.99849117,0.9987756,0.9977586,0.9980358,0.998799,0.9968032,0.9956635,0.9968992,0.9969687,0.9972344,0.9982119,0.9986121,0.9977222,0.99681616,0.997652,0.99859464,0.9980686,0.99834865,0.99722064,0.99840635,0.99839336,0.9963385,0.9970805,0.9981004,0.99835074,0.9981189,0.99743336,0.9983961,0.9982491,0.99799526,0.9986845,0.9985479,0.9983489,0.997224,0.9984617,0.99820787,0.99852437,0.998071,0.9977003,0.995973,0.9981722,0.99775285,0.9988019,0.9985723,0.99887073,0.9985109,0.9985338,0.99749887,0.9985651,0.9972582,0.9981238,0.9985689,0.99818844,0.997884,0.9978324,0.99881107,0.99512,0.9971417,0.998166,0.99789107,0.9982176,0.99826485,0.9987969,0.9973774,0.9978223,0.9979073,0.9983871,0.9982031,0.9948004,0.99813926,0.9981227,0.9985339,0.9986577,0.9983805,0.9970215,0.9983239,0.9990851,0.9963972,0.99689555,0.9972863,0.99742275,0.9963033,0.99771595,0.9982225,0.99803936,0.99838656,0.9974201,0.99803936,0.99768966,0.99819684,0.99658036,0.9983592,0.99655956,0.9980395,0.99714833,0.99867445,0.9984067,0.99932414,0.9986108,0.9980251,0.9983177,0.9983345,0.99827695,0.9977066,0.9965301,0.99640965
Acute_hepatitis,0.998149,0.99854183,1.0000001,0.9988003,0.9967245,0.99783915,0.99788594,0.99814004,0.9979749,0.9974198,0.9972168,0.99738336,0.997531,0.9986781,0.9982444,0.99709475,0.99725205,0.99817705,0.99774534,0.99846315,0.99807966,0.99822736,0.99861264,0.9980477,0.99836,0.99877125,0.99746037,0.99886197,0.9986232,0.9995509,0.998742,0.9958274,0.99635273,0.99800205,0.9971799,0.99736524,0.9979797,0.9981022,0.99813706,0.9985401,0.9990207,0.999109,0.9988333,0.99849635,0.9976135,0.99796337,0.9980065,0.997129,0.9985664,0.9976551,0.99910235,0.9981221,0.9983648,0.9965552,0.9977967,0.9976488,0.99761987,0.9982536,0.997966,0.9967904,0.99699664,0.99878156,0.99849236,0.9986763,0.9967882,0.9987869,0.9991368,0.99847585,0.99866045,0.9985631,0.9989049,0.99778795,0.99813586,0.9988878,0.9969836,0.9966695,0.99766403,0.9977973,0.998102,0.998514,0.9982788,0.9981182,0.9975085,0.99791205,0.99848896,0.9983178,0.99888736,0.9977735,0.9986228,0.99907583,0.9972463,0.9979604,0.997915,0.9983157,0.9985996,0.99859434,0.99849486,0.9981465,0.99789965,0.9983079,0.99848706,0.9985942,0.9976159,0.9987061,0.9979435,0.9983322,0.9984581,0.9977137,0.99703467,0.99848557,0.99810004,0.99885565,0.9989,0.99923366,0.99906546,0.99845344,0.9980217,0.9985256,0.9980125,0.9979815,0.9986135,0.9987597,0.9984964,0.9980488,0.9988568,0.99602765,0.9974476,0.9994765,0.9980764,0.99842954,0.9984749,0.99875623,0.99714607,0.9978361,0.998507,0.99831945,0.998518,0.9959695,0.9984901,0.9985611,0.9985854,0.9986118,0.998441,0.99797404,0.9984493,0.998939,0.99733174,0.9973629,0.9981984,0.9977234,0.99737537,0.99913913,0.9979502,0.9983884,0.9987033,0.9978684,0.99795055,0.9986206,0.9984188,0.9962583,0.99863076,0.99779934,0.9986765,0.9978837,0.99893063,0.9990781,0.9989764,0.99836177,0.99867,0.9989047,0.9980946,0.99877775,0.9984802,0.9975959,0.9972802
Adverse_effects_of_medical_treatment,0.99923795,0.9986417,0.9988003,1.0000004,0.99722946,0.9988947,0.99840504,0.99904454,0.99873096,0.9987238,0.9979882,0.99844795,0.99866855,0.99915075,0.99873215,0.9978735,0.99841577,0.9991309,0.9985359,0.9987882,0.9990748,0.998993,0.99903375,0.99868697,0.99903977,0.9987671,0.9977664,0.9989701,0.9989317,0.9991498,0.9989917,0.9964821,0.9978384,0.9991179,0.9980448,0.9981019,0.9991845,0.99819195,0.9988146,0.9994422,0.99918664,0.9993843,0.9991514,0.99861884,0.9987284,0.99861336,0.9988162,0.99766344,0.9989663,0.99868727,0.99943423,0.99899083,0.99848896,0.99771816,0.99905914,0.9986948,0.9984864,0.9993281,0.9979671,0.9987552,0.99812,0.99907863,0.9984683,0.99930984,0.9977074,0.9991327,0.99908453,0.9995084,0.99908704,0.9986802,0.9991821,0.99874425,0.9990699,0.99922335,0.9983874,0.9977151,0.9978803,0.998086,0.9981464,0.9987294,0.9987693,0.9985802,0.9978785,0.9986153,0.99875724,0.9988268,0.9987386,0.99872565,0.99930966,0.99933726,0.99747247,0.99827504,0.9989573,0.99902284,0.99909276,0.99852335,0.99917686,0.9989849,0.9988681,0.9987744,0.99906695,0.99876946,0.99881035,0.9993948,0.99864465,0.99843997,0.9985872,0.9983929,0.99720114,0.9991826,0.9987694,0.99944,0.9992352,0.9994476,0.9992224,0.999025,0.998914,0.99941915,0.99857926,0.9988217,0.99954194,0.9989836,0.998579,0.99903196,0.99954695,0.9976117,0.9990222,0.99909896,0.9989595,0.99881,0.99883324,0.9993697,0.9985677,0.9987034,0.99858856,0.9990949,0.99953145,0.9971539,0.99890757,0.99879295,0.99952805,0.99914265,0.99910176,0.998321,0.9988932,0.99919397,0.9985173,0.9983192,0.9982733,0.99858195,0.9981857,0.99877965,0.9987529,0.9983382,0.99926716,0.9989303,0.9986747,0.9987581,0.99877626,0.9977577,0.9989295,0.99788094,0.9990432,0.99832773,0.99935806,0.9993558,0.9994193,0.99937093,0.99881166,0.9991249,0.99889857,0.99897325,0.9985309,0.9978011,0.9976634
African_trypanosomiasis,0.99690855,0.996074,0.9967245,0.99722946,1.0000005,0.99644667,0.99594265,0.99676055,0.9971554,0.997752,0.995295,0.9951353,0.9950061,0.99652994,0.99521345,0.99536055,0.9964817,0.99765486,0.99601084,0.99618834,0.9967349,0.99691063,0.996845,0.9971056,0.99652433,0.99648833,0.9990006,0.9958833,0.9960038,0.99649704,0.99647343,0.9938772,0.99661285,0.9966121,0.9972926,0.9980215,0.9961892,0.99840593,0.9961949,0.997233,0.99659365,0.99749,0.9970424,0.9974762,0.99682814,0.9961672,0.9963301,0.99811184,0.99785537,0.99624985,0.9969283,0.99661976,0.99519414,0.99708855,0.99634415,0.99606776,0.99533254,0.9966761,0.9985436,0.99604976,0.99728715,0.9958799,0.9953672,0.99694777,0.9987141,0.99643,0.9977868,0.99659115,0.9973746,0.9962273,0.9962713,0.9970092,0.99659294,0.99675965,0.99499303,0.9955989,0.9984127,0.9978211,0.9963369,0.99526954,0.9959775,0.9955083,0.9989595,0.99824953,0.99711114,0.99643654,0.9961586,0.99552363,0.99643457,0.9972964,0.9987111,0.99912053,0.99624705,0.997397,0.99644095,0.99751794,0.9974478,0.99685484,0.99771756,0.9965918,0.9972713,0.99662954,0.9953721,0.9971499,0.99739146,0.9961185,0.9957848,0.9950946,0.99852514,0.9967595,0.9957015,0.99653655,0.99650836,0.9968345,0.9972291,0.99677557,0.99668854,0.9966988,0.9992106,0.99609476,0.9972324,0.99670935,0.9955725,0.9964842,0.9974002,0.9960295,0.9963317,0.99759114,0.9962332,0.9964064,0.996298,0.9962307,0.9951779,0.9971501,0.99730396,0.9971938,0.9979566,0.99539506,0.9965867,0.9965167,0.9967792,0.99693847,0.997137,0.99836534,0.9965429,0.99683917,0.99633247,0.99812,0.9987558,0.9965274,0.9956748,0.99716735,0.9963303,0.9954392,0.9962768,0.99686635,0.99626493,0.99735904,0.9959057,0.99465907,0.99635804,0.9975014,0.998398,0.998116,0.99659574,0.99731123,0.99657416,0.99686587,0.99608195,0.997046,0.995458,0.9974826,0.9969276,0.9985898,0.9980716
Age-related_and_other_hearing_loss,0.99850297,0.9977177,0.99783915,0.9988947,0.99644667,1.0000005,0.99810135,0.9984085,0.9985188,0.99796116,0.99798757,0.99755067,0.99770707,0.99859554,0.9979469,0.9980446,0.9987096,0.99824506,0.9982601,0.99807364,0.9993735,0.99852216,0.9983875,0.99813044,0.9983753,0.9982444,0.99713653,0.99819815,0.9984023,0.9981663,0.9982317,0.9967347,0.9975903,0.99907947,0.99729043,0.9975569,0.99869335,0.9974178,0.99861634,0.99862844,0.99859864,0.99845374,0.9985073,0.9979927,0.9983756,0.99817795,0.9984666,0.9968606,0.9983287,0.99777675,0.9988927,0.99853665,0.9976426,0.9975968,0.99879956,0.99832934,0.99837303,0.9987464,0.9973491,0.9980953,0.99742776,0.99818146,0.99755365,0.9984782,0.9970901,0.9984919,0.9985152,0.9990655,0.9986358,0.9977189,0.9985886,0.9990338,0.99896544,0.99824226,0.99766046,0.9975501,0.99727696,0.99724984,0.9978238,0.9979454,0.9979388,0.9982815,0.99709266,0.99808437,0.99794495,0.99836606,0.9977896,0.9985552,0.9988217,0.998681,0.99673027,0.99753326,0.9984392,0.99829847,0.99860334,0.99800825,0.9985809,0.99814045,0.99868286,0.9977524,0.998687,0.9983586,0.99870974,0.9990817,0.9980652,0.99749845,0.99799204,0.9979052,0.9965583,0.99897623,0.9985077,0.99881953,0.99864066,0.99859464,0.998337,0.99838656,0.99880207,0.9991013,0.99796885,0.9983672,0.99941313,0.9984992,0.99810857,0.9998529,0.9988853,0.99748176,0.9984777,0.9984258,0.9991831,0.99803615,0.99796903,0.99837613,0.9975728,0.998439,0.99798465,0.99856883,0.99864954,0.9968615,0.9982913,0.9981897,0.99859893,0.9982188,0.9984932,0.9977905,0.99833566,0.99837554,0.9982845,0.99767625,0.99756056,0.99845225,0.99786186,0.9982073,0.9979883,0.99746615,0.99886066,0.99878347,0.9981099,0.99818486,0.99827045,0.99717915,0.99813795,0.99765074,0.9982976,0.99738705,0.9985475,0.9987033,0.9987176,0.9984063,0.9981934,0.9984211,0.9978531,0.9983386,0.99819124,0.99711853,0.9970127
Alcohol_use_disorders,0.9978075,0.9969192,0.99788594,0.99840504,0.99594265,0.99810135,1.0,0.9975498,0.99857056,0.99699235,0.9994793,0.9965438,0.99670523,0.99845135,0.99752814,0.9992709,0.99899375,0.9972524,0.99940723,0.9975076,0.998019,0.9977402,0.9981012,0.9980168,0.99753654,0.9979567,0.9964456,0.9980339,0.99826676,0.997986,0.99787694,0.9989711,0.997655,0.99754477,0.99573964,0.99629855,0.9980259,0.9970591,0.9995913,0.99791527,0.99850917,0.9980069,0.99820036,0.99756485,0.99800545,0.9998779,0.9993736,0.9965628,0.99754655,0.99651086,0.99840844,0.9982478,0.99725246,0.9973625,0.99778384,0.9967027,0.99859756,0.99806315,0.9967924,0.99638957,0.9960549,0.99738556,0.9969699,0.9980443,0.99638504,0.99798596,0.9986528,0.9983024,0.9978897,0.9971448,0.9983738,0.9985033,0.9983681,0.9979748,0.99632686,0.9990491,0.99660426,0.99675786,0.99750745,0.9977704,0.9971593,0.997167,0.9962721,0.9970842,0.99736714,0.9975176,0.9974723,0.9982872,0.99814194,0.9982811,0.9963147,0.99724317,0.99712366,0.99753535,0.9984262,0.9975095,0.99745125,0.99733996,0.99804866,0.9971672,0.99831545,0.99763906,0.9979802,0.9983896,0.9974806,0.9967708,0.99736345,0.9967628,0.9960826,0.9979704,0.9978306,0.99827313,0.9984087,0.9980565,0.99782497,0.99750865,0.999637,0.99804133,0.99745077,0.99705225,0.99870676,0.99841386,0.99739987,0.9984768,0.9981447,0.9971665,0.9975707,0.99857014,0.997476,0.9975908,0.99743915,0.9976492,0.99632066,0.9982606,0.99774563,0.9978552,0.99837416,0.9981475,0.9980171,0.9980369,0.99792355,0.99783516,0.9979896,0.9971707,0.9973918,0.99799645,0.99814993,0.99668103,0.99711895,0.9993033,0.9993739,0.99860716,0.99697316,0.9970697,0.99853265,0.99835217,0.9971364,0.9977916,0.9973026,0.99540675,0.9976994,0.99711215,0.9976624,0.99679524,0.99796337,0.9982875,0.99807924,0.99750966,0.99778396,0.9976096,0.9971756,0.997522,0.99800384,0.9966922,0.99652654
Alopecia_areata,0.99959993,0.99834996,0.99814004,0.99904454,0.99676055,0.9984085,0.9975498,0.9999999,0.9981402,0.99797124,0.9974839,0.99727434,0.9977687,0.99862635,0.997674,0.9972438,0.9978757,0.9990676,0.998042,0.9981838,0.998679,0.9983316,0.9984254,0.99778885,0.9982094,0.99820215,0.9972465,0.9981959,0.998192,0.9984444,0.9983229,0.9957752,0.996925,0.99860495,0.99744064,0.99766237,0.998258,0.99742764,0.9981673,0.99950683,0.9984664,0.99866635,0.9986289,0.9979497,0.9975855,0.9976326,0.9982926,0.9967923,0.9983342,0.99774855,0.99883384,0.9979517,0.9977498,0.9969006,0.99811333,0.99842614,0.9973553,0.9987174,0.9974619,0.9977467,0.9983632,0.99821275,0.9977205,0.99877757,0.9972683,0.9986226,0.9983878,0.9988979,0.9986376,0.9983535,0.9983872,0.9983102,0.9983765,0.99893475,0.9974318,0.9967974,0.9974842,0.9972516,0.9975737,0.9976276,0.9981484,0.99809355,0.9976228,0.99851614,0.9982763,0.99852926,0.9979828,0.99799526,0.99855405,0.9985118,0.997137,0.9975541,0.99839723,0.99873644,0.9982671,0.9977462,0.998441,0.9983858,0.998298,0.99824667,0.99877685,0.99823457,0.9980398,0.9985905,0.9979989,0.99825495,0.9982652,0.99742997,0.9968843,0.9989258,0.9981973,0.9985224,0.9985724,0.99873847,0.9986227,0.99853784,0.9982387,0.99895054,0.9981027,0.9983835,0.99887335,0.99839723,0.99807984,0.99850535,0.9993478,0.9963569,0.9979062,0.9984465,0.9984464,0.99822485,0.9980953,0.9984566,0.99750257,0.99808604,0.9978062,0.9985126,0.9985315,0.99603474,0.998314,0.9981473,0.999459,0.99950606,0.9983543,0.99754786,0.99822426,0.99898005,0.9972465,0.9984136,0.9977572,0.99793905,0.9972917,0.99814457,0.998248,0.99766064,0.9982619,0.99796027,0.9981844,0.99799097,0.9982601,0.9969617,0.99823326,0.99758077,0.99843884,0.9975966,0.99869055,0.99853927,0.9987103,0.99912834,0.9982552,0.99862355,0.997807,0.9989483,0.99807215,0.9970654,0.9969024
Alzheimer's_disease_and_other_dementias,0.9981306,0.9979351,0.9979749,0.99873096,0.9971554,0.9985188,0.99857056,0.9981402,1.0000008,0.99725556,0.9982764,0.9970003,0.9967388,0.9985527,0.9976668,0.99842143,0.9989161,0.9977926,0.9989482,0.9980997,0.99865896,0.9987681,0.99869585,0.99804103,0.99856746,0.9980849,0.9974538,0.9984413,0.9984619,0.9983887,0.9984541,0.99710065,0.9971435,0.9981365,0.99660933,0.9972857,0.9979285,0.9976639,0.99894094,0.99845237,0.9988696,0.99828815,0.99852765,0.99792653,0.9976503,0.9985073,0.9986047,0.9973639,0.9985795,0.99701,0.99901414,0.99820405,0.99760264,0.9974364,0.9981457,0.9975086,0.9981327,0.9980436,0.9971857,0.99686646,0.9966851,0.99778,0.9975163,0.9986802,0.99703443,0.99826634,0.99868757,0.99853146,0.9984691,0.9977555,0.9986139,0.9989364,0.99893206,0.99858165,0.99637884,0.99746144,0.9969882,0.99721694,0.9974216,0.9980931,0.997906,0.9974963,0.99718493,0.99774426,0.99829525,0.99815714,0.9981515,0.99805486,0.9984226,0.9984085,0.9967217,0.99783266,0.99789417,0.9985751,0.9982371,0.99775934,0.9981465,0.99819994,0.9995319,0.99821734,0.99929017,0.9985575,0.99776787,0.9986857,0.99892515,0.9976053,0.9978736,0.9972258,0.9965118,0.9983659,0.9981304,0.9987483,0.998687,0.99854624,0.99806964,0.9984293,0.9992515,0.99855745,0.99828625,0.9977395,0.999391,0.99865067,0.99773026,0.99873126,0.9987898,0.9966108,0.9974094,0.9984969,0.9976787,0.998336,0.99828845,0.9981378,0.99661636,0.99968827,0.99821883,0.99855727,0.9987865,0.99648714,0.99853146,0.99826705,0.9982976,0.99852,0.998611,0.9977907,0.9977482,0.99872494,0.99750817,0.9971364,0.99758184,0.9992048,0.998001,0.99826604,0.9977904,0.9977133,0.99890274,0.9983519,0.9975502,0.998025,0.9978126,0.9959431,0.99837047,0.99706715,0.99820507,0.9972387,0.998402,0.9984168,0.9985803,0.998026,0.9979761,0.99806565,0.9977141,0.9981236,0.9981899,0.9973775,0.9974073
Animal_contact,0.998158,0.9971274,0.9974198,0.9987238,0.997752,0.99796116,0.99699235,0.99797124,0.99725556,0.99999976,0.9965009,0.9971312,0.99753195,0.9978154,0.9968154,0.9963938,0.9971937,0.99880856,0.9968667,0.9969582,0.99818707,0.9974924,0.99734074,0.998333,0.99743974,0.9972475,0.9980594,0.9970549,0.99722666,0.9973599,0.99706614,0.995092,0.9981543,0.99816024,0.99832356,0.9985393,0.9982275,0.9985003,0.99735785,0.9986102,0.99754685,0.99858797,0.9978672,0.99807775,0.99892026,0.99736357,0.9976225,0.9979004,0.99870807,0.99797773,0.99788356,0.9982322,0.996365,0.99788,0.99812365,0.99777687,0.99736094,0.99869335,0.99844545,0.99845576,0.9983577,0.997368,0.99644214,0.99788904,0.99860376,0.9975498,0.99817824,0.9985943,0.9981959,0.99715793,0.9975899,0.99771,0.9978718,0.9974676,0.9974172,0.99719423,0.99860746,0.9981628,0.9972562,0.9967418,0.9969731,0.99711335,0.9982462,0.99869204,0.9972034,0.99743086,0.99669015,0.99731743,0.99792904,0.9986133,0.997986,0.9983665,0.99773633,0.9976964,0.99785376,0.9983345,0.9987756,0.99766344,0.99779403,0.99706423,0.9976949,0.99705213,0.9977321,0.998361,0.99721426,0.99691844,0.9968116,0.99671376,0.9979291,0.99813,0.99714136,0.99794054,0.9977189,0.9978816,0.9983533,0.9975452,0.99764526,0.99822474,0.9985135,0.9976429,0.9984291,0.9976336,0.9968287,0.99803436,0.9983962,0.997948,0.99906284,0.9981798,0.99818087,0.9969735,0.99689555,0.9979035,0.9975132,0.99714684,0.9977714,0.99824405,0.9990699,0.9972282,0.9970818,0.9976294,0.9984163,0.99762017,0.9978363,0.9988828,0.9978458,0.9975318,0.9983891,0.9991211,0.9983566,0.99702024,0.9972913,0.99779,0.99745476,0.99625224,0.99776804,0.9984246,0.9975827,0.99824566,0.9971505,0.99695426,0.9970401,0.9978278,0.99845785,0.9984685,0.997778,0.99864167,0.99781436,0.99875706,0.9971422,0.9985484,0.9973391,0.99838895,0.9975868,0.9984346,0.9978764
