disease,from_year,to_year,drift
Acne_vulgaris,2000,2001,7.247925e-05
Acne_vulgaris,2001,2002,6.353855e-05
Acne_vulgaris,2002,2003,9.6440315e-05
Acne_vulgaris,2003,2004,3.7908554e-05
Acne_vulgaris,2004,2005,6.3836575e-05
Acne_vulgaris,2005,2006,3.540516e-05
Acne_vulgaris,2006,2007,2.9325485e-05
Acne_vulgaris,2007,2008,3.516674e-05
Acne_vulgaris,2008,2009,4.541874e-05
Acne_vulgaris,2009,2010,3.2782555e-05
Acne_vulgaris,2010,2011,3.916025e-05
Acne_vulgaris,2011,2012,3.4213066e-05
Acne_vulgaris,2012,2013,3.439188e-05
Acne_vulgaris,2013,2014,3.6597252e-05
Acne_vulgaris,2014,2015,2.2292137e-05
Acne_vulgaris,2015,2016,3.4868717e-05
Acne_vulgaris,2016,2017,3.325939e-05
Acne_vulgaris,2017,2018,2.670288e-05
Acne_vulgaris,2018,2019,3.015995e-05
Acne_vulgaris,2019,2020,1.6570091e-05
Acne_vulgaris,2020,2021,3.2186508e-05
Acne_vulgaris,2021,2022,1.8894672e-05
Acne_vulgaris,2022,2023,1.9609928e-05
Acne_vulgaris,2023,2024,3.59416e-05
Acne_vulgaris,2024,2025,7.939339e-05
Acne_vulgaris,2025,2026,0.00025373697
Acute_glomerulonephritis,2000,2001,1.7344952e-05
Acute_glomerulonephritis,2001,2002,2.4616718e-05
Acute_glomerulonephritis,2002,2003,1.5497208e-05
Acute_glomerulonephritis,2003,2004,1.591444e-05
Acute_glomerulonephritis,2004,2005,2.1219254e-05
Acute_glomerulonephritis,2005,2006,1.6093254e-05
Acute_glomerulonephritis,2006,2007,1.680851e-05
Acute_glomerulonephritis,2007,2008,1.7523766e-05
Acute_glomerulonephritis,2008,2009,1.7106533e-05
Acute_glomerulonephritis,2009,2010,1.3887882e-05
Acute_glomerulonephritis,2010,2011,2.1576881e-05
Acute_glomerulonephritis,2011,2012,1.5377998e-05
Acute_glomerulonephritis,2012,2013,1.9431114e-05
Acute_glomerulonephritis,2013,2014,2.592802e-05
Acute_glomerulonephritis,2014,2015,1.847744e-05
Acute_glomerulonephritis,2015,2016,1.4960766e-05
Acute_glomerulonephritis,2016,2017,5.5015087e-05
Acute_glomerulonephritis,2017,2018,1.4066696e-05
Acute_glomerulonephritis,2018,2019,1.4662743e-05
Acute_glomerulonephritis,2019,2020,1.7225742e-05
Acute_glomerulonephritis,2020,2021,7.8082085e-06
Acute_glomerulonephritis,2021,2022,1.5258789e-05
Acute_glomerulonephritis,2022,2023,1.4722347e-05
Acute_glomerulonephritis,2023,2024,1.9907951e-05
Acute_glomerulonephritis,2024,2025,5.2511692e-05
Acute_glomerulonephritis,2025,2026,0.00025367737
Acute_hepatitis,2000,2001,1.4603138e-05
Acute_hepatitis,2001,2002,8.285046e-06
Acute_hepatitis,2002,2003,9.775162e-06
Acute_hepatitis,2003,2004,7.212162e-06
Acute_hepatitis,2004,2005,8.523464e-06
Acute_hepatitis,2005,2006,6.9737434e-06
Acute_hepatitis,2006,2007,9.596348e-06
Acute_hepatitis,2007,2008,6.198883e-06
Acute_hepatitis,2008,2009,4.4703484e-06
Acute_hepatitis,2009,2010,9.655952e-06
Acute_hepatitis,2010,2011,1.4126301e-05
Acute_hepatitis,2011,2012,7.033348e-06
Acute_hepatitis,2012,2013,4.4703484e-06
Acute_hepatitis,2013,2014,7.033348e-06
Acute_hepatitis,2014,2015,6.6161156e-06
Acute_hepatitis,2015,2016,8.881092e-06
Acute_hepatitis,2016,2017,2.3424625e-05
Acute_hepatitis,2017,2018,5.4240227e-06
Acute_hepatitis,2018,2019,8.881092e-06
Acute_hepatitis,2019,2020,9.775162e-06
Acute_hepatitis,2020,2021,4.6491623e-06
Acute_hepatitis,2021,2022,8.702278e-06
Acute_hepatitis,2022,2023,1.13248825e-05
Acute_hepatitis,2023,2024,1.8894672e-05
Acute_hepatitis,2024,2025,4.7028065e-05
Acute_hepatitis,2025,2026,0.00014650822
Adverse_effects_of_medical_treatment,2000,2001,1.8119812e-05
Adverse_effects_of_medical_treatment,2001,2002,1.1444092e-05
Adverse_effects_of_medical_treatment,2002,2003,1.6093254e-05
Adverse_effects_of_medical_treatment,2003,2004,1.0192394e-05
Adverse_effects_of_medical_treatment,2004,2005,1.1026859e-05
Adverse_effects_of_medical_treatment,2005,2006,1.2636185e-05
Adverse_effects_of_medical_treatment,2006,2007,9.000301e-06
Adverse_effects_of_medical_treatment,2007,2008,7.927418e-06
Adverse_effects_of_medical_treatment,2008,2009,7.1525574e-06
Adverse_effects_of_medical_treatment,2009,2010,1.5556812e-05
Adverse_effects_of_medical_treatment,2010,2011,6.67572e-06
Adverse_effects_of_medical_treatment,2011,2012,8.404255e-06
Adverse_effects_of_medical_treatment,2012,2013,7.212162e-06
Adverse_effects_of_medical_treatment,2013,2014,7.56979e-06
Adverse_effects_of_medical_treatment,2014,2015,5.364418e-06
Adverse_effects_of_medical_treatment,2015,2016,6.198883e-06
Adverse_effects_of_medical_treatment,2016,2017,2.1338463e-05
Adverse_effects_of_medical_treatment,2017,2018,5.6028366e-06
Adverse_effects_of_medical_treatment,2018,2019,5.841255e-06
Adverse_effects_of_medical_treatment,2019,2020,7.390976e-06
Adverse_effects_of_medical_treatment,2020,2021,6.1392784e-06
Adverse_effects_of_medical_treatment,2021,2022,9.953976e-06
Adverse_effects_of_medical_treatment,2022,2023,6.020069e-06
Adverse_effects_of_medical_treatment,2023,2024,2.0205975e-05
Adverse_effects_of_medical_treatment,2024,2025,5.2809715e-05
Adverse_effects_of_medical_treatment,2025,2026,0.00016820431
African_trypanosomiasis,2000,2001,0.00034821033
African_trypanosomiasis,2001,2002,0.00022047758
African_trypanosomiasis,2002,2003,8.094311e-05
African_trypanosomiasis,2003,2004,0.00013661385
African_trypanosomiasis,2004,2005,0.00012540817
African_trypanosomiasis,2005,2006,8.863211e-05
African_trypanosomiasis,2006,2007,7.009506e-05
African_trypanosomiasis,2007,2008,9.62019e-05
African_trypanosomiasis,2008,2009,8.195639e-05
African_trypanosomiasis,2009,2010,7.802248e-05
African_trypanosomiasis,2010,2011,6.753206e-05
African_trypanosomiasis,2011,2012,5.13196e-05
African_trypanosomiasis,2012,2013,7.611513e-05
African_trypanosomiasis,2013,2014,4.7445297e-05
African_trypanosomiasis,2014,2015,5.596876e-05
African_trypanosomiasis,2015,2016,9.2089176e-05
African_trypanosomiasis,2016,2017,0.00014328957
African_trypanosomiasis,2017,2018,8.6545944e-05
African_trypanosomiasis,2018,2019,7.838011e-05
African_trypanosomiasis,2019,2020,0.000151515
African_trypanosomiasis,2020,2021,0.00016266108
African_trypanosomiasis,2021,2022,0.00016200542
African_trypanosomiasis,2022,2023,0.00012117624
African_trypanosomiasis,2023,2024,0.00013685226
African_trypanosomiasis,2024,2025,0.00013411045
Age-related_and_other_hearing_loss,2000,2001,9.119511e-06
Age-related_and_other_hearing_loss,2001,2002,1.5497208e-05
Age-related_and_other_hearing_loss,2002,2003,9.23872e-06
Age-related_and_other_hearing_loss,2003,2004,1.3530254e-05
Age-related_and_other_hearing_loss,2004,2005,1.1026859e-05
Age-related_and_other_hearing_loss,2005,2006,8.34465e-06
Age-related_and_other_hearing_loss,2006,2007,9.894371e-06
Age-related_and_other_hearing_loss,2007,2008,8.523464e-06
Age-related_and_other_hearing_loss,2008,2009,8.761883e-06
Age-related_and_other_hearing_loss,2009,2010,1.5974045e-05
Age-related_and_other_hearing_loss,2010,2011,8.761883e-06
Age-related_and_other_hearing_loss,2011,2012,7.6293945e-06
Age-related_and_other_hearing_loss,2012,2013,1.2814999e-05
Age-related_and_other_hearing_loss,2013,2014,8.523464e-06
Age-related_and_other_hearing_loss,2014,2015,1.579523e-05
Age-related_and_other_hearing_loss,2015,2016,1.347065e-05
Age-related_and_other_hearing_loss,2016,2017,2.169609e-05
Age-related_and_other_hearing_loss,2017,2018,9.655952e-06
Age-related_and_other_hearing_loss,2018,2019,8.940697e-06
Age-related_and_other_hearing_loss,2019,2020,1.0728836e-05
Age-related_and_other_hearing_loss,2020,2021,1.2457371e-05
Age-related_and_other_hearing_loss,2021,2022,1.0073185e-05
Age-related_and_other_hearing_loss,2022,2023,7.8082085e-06
Age-related_and_other_hearing_loss,2023,2024,2.270937e-05
Age-related_and_other_hearing_loss,2024,2025,3.7252903e-05
Age-related_and_other_hearing_loss,2025,2026,0.00021320581
Alcohol_use_disorders,2000,2001,2.7000904e-05
Alcohol_use_disorders,2001,2002,3.9219856e-05
Alcohol_use_disorders,2002,2003,2.0623207e-05
Alcohol_use_disorders,2003,2004,1.4305115e-05
Alcohol_use_disorders,2004,2005,3.6776066e-05
Alcohol_use_disorders,2005,2006,5.0127506e-05
Alcohol_use_disorders,2006,2007,1.4424324e-05
Alcohol_use_disorders,2007,2008,2.9981136e-05
Alcohol_use_disorders,2008,2009,2.1278858e-05
Alcohol_use_disorders,2009,2010,1.6510487e-05
Alcohol_use_disorders,2010,2011,1.692772e-05
Alcohol_use_disorders,2011,2012,1.3053417e-05
Alcohol_use_disorders,2012,2013,1.04904175e-05
Alcohol_use_disorders,2013,2014,2.0086765e-05
Alcohol_use_disorders,2014,2015,1.6510487e-05
Alcohol_use_disorders,2015,2016,1.1265278e-05
Alcohol_use_disorders,2016,2017,2.7239323e-05
Alcohol_use_disorders,2017,2018,1.1146069e-05
Alcohol_use_disorders,2018,2019,1.5258789e-05
Alcohol_use_disorders,2019,2020,1.2218952e-05
Alcohol_use_disorders,2020,2021,1.0967255e-05
Alcohol_use_disorders,2021,2022,2.4974346e-05
Alcohol_use_disorders,2022,2023,1.04904175e-05
Alcohol_use_disorders,2023,2024,2.8967857e-05
Alcohol_use_disorders,2024,2025,2.503395e-05
Alcohol_use_disorders,2025,2026,9.3340874e-05
Alopecia_areata,2000,2001,0.00046426058
Alopecia_areata,2001,2002,0.0003824234
Alopecia_areata,2002,2003,0.00031471252
Alopecia_areata,2003,2004,0.00020182133
Alopecia_areata,2004,2005,0.00031375885
Alopecia_areata,2005,2006,0.00017648935
Alopecia_areata,2006,2007,0.00016343594
Alopecia_areata,2007,2008,0.00019490719
Alopecia_areata,2008,2009,0.0002810359
Alopecia_areata,2009,2010,0.00023663044
Alopecia_areata,2010,2011,0.00013059378
Alopecia_areata,2011,2012,0.00018244982
Alopecia_areata,2012,2013,0.00014269352
Alopecia_areata,2013,2014,0.00021326542
Alopecia_areata,2014,2015,0.00016355515
Alopecia_areata,2015,2016,9.685755e-05
Alopecia_areata,2016,2017,0.00017613173
Alopecia_areata,2017,2018,0.00011575222
