Disease,Papers,Gap Score,Semantic Isolation,Unified Score
Lymphatic filariasis,3354,95.0,0.002374436939135194,46.911538590941184
Guinea worm disease,429,95.0,0.002285813679918647,46.90704129121975
Cysticercosis,4651,95.0,0.0020278238225728273,46.89394926860817
Dengue,29945,95.0,0.00187530810944736,46.886209665255535
Scabies,2871,95.0,0.0018675822066143155,46.88581760451475
Animal contact,10211,95.0,0.0017891174647957087,46.88183581164635
Malaria,78894,95.0,0.0017577052349224687,46.880241758190095
Schistosomiasis,14232,95.0,0.0017247832147404552,46.87857108850921
Drowning,4323,95.0,0.0017017978243529797,46.877404665713435
Conflict and terrorism,15089,90.0,0.002443463308736682,44.45235485447321
Typhoid and paratyphoid,6240,90.0,0.0018723922548815608,44.4233751293522
Encephalitis,47767,90.0,0.001399240456521511,44.39936444107722
Paralytic ileus and intestinal obstruction,23965,85.0,0.001930069294758141,41.96361545674892
Viral skin diseases,9983,85.0,0.0013326335465535522,41.93329782176541
Iodine deficiency,3368,82.0,0.0019743209704756737,40.48824912387489
Leishmaniasis,24632,80.0,0.002150160726159811,39.51209770849169
Invasive Non-typhoidal Salmonella (iNTS),13791,80.0,0.0020467103458940983,39.50684798770208
Road injuries,30365,80.0,0.001912513980641961,39.50003802289825
Otitis media,17536,80.0,0.0014111900236457586,39.47459770269246
Urticaria,15762,80.0,0.0013899176847189665,39.47351821086633
