Biobank,Keyword,Count,Percentage,Other_Biobanks_Mean_Pct,Distinctiveness
All of Us,All Of Us,82.0,14.882032667876588,0.0,1488.2032667876588
All of Us,All Of Us Research Program,47.0,8.52994555353902,0.0,852.994555353902
All of Us,Precision Medicine,34.0,6.170598911070781,0.0,617.0598911070781
All of Us,Social Determinants Of Health,34.0,6.170598911070781,0.0,617.0598911070781
All of Us,Health Disparities,26.0,4.71869328493648,0.0,471.86932849364797
All of Us,Psoriasis,16.0,2.9038112522686026,0.0,290.38112522686026
All of Us,Comorbidities,15.0,2.722323049001815,0.0,272.2323049001815
All of Us,Health Equity,15.0,2.722323049001815,0.0,272.2323049001815
All of Us,Mental Health,15.0,2.722323049001815,0.0,272.2323049001815
All of Us,Diabetes,14.0,2.540834845735027,0.0,254.08348457350272
All of Us,Diversity,14.0,2.540834845735027,0.0,254.08348457350272
All of Us,Public Health,14.0,2.540834845735027,0.0,254.08348457350272
All of Us,Big Data,13.0,2.35934664246824,0.0,235.93466424682398
All of Us,COVID-19,36.0,6.533575317604355,0.49667036625971145,12.895120284684944
All of Us,Machine Learning,20.0,3.6297640653357535,0.43562708102108766,8.145295068286005
All of Us,Electronic Health Records,42.0,7.6225045372050815,1.0416666666666665,7.2480233317322496
All of Us,Atopic Dermatitis,15.0,2.722323049001815,0.5208333333333333,5.128395068763231
All of Us,Epidemiology,49.0,8.892921960072595,2.2469862695582736,3.940175480913792
All of Us,Depression,21.0,3.8112522686025407,1.222950644920584,3.0911636928078563
Estonian Biobank,Biobank,14.0,14.583333333333334,0.0,1458.3333333333333
Estonian Biobank,GWAS (Genome-wide association studies),14.0,14.583333333333334,4.642231541117269,3.1346963719331637
FinnGen,Gut microbiota,175.0,5.81588567630442,0.0,581.588567630442
FinnGen,Finngen,64.0,2.1269524759056164,0.0,212.69524759056165
FinnGen,Meta-analysis,41.0,1.3625789298770354,0.0,136.25789298770354
FinnGen,Inflammatory Bowel Disease,40.0,1.3293452974410103,0.0,132.934529744101
FinnGen,Drug Target,34.0,1.1299435028248588,0.0,112.99435028248588
FinnGen,Rheumatoid Arthritis,32.0,1.0634762379528082,0.0,106.34762379528082
FinnGen,Ulcerative Colitis,31.0,1.030242605516783,0.0,103.0242605516783
FinnGen,Alzheimer’s Disease,28.0,0.9305417082087072,0.0,93.05417082087072
FinnGen,Asthma,28.0,0.9305417082087072,0.0,93.05417082087072
FinnGen,Causality and causal inference,415.0,13.791957460950483,1.7274209211986682,7.9381785338668776
FinnGen,Mendelian randomization,1537.0,51.08009305417082,7.277318783726894,7.009449506756358
FinnGen,Hypertension,33.0,1.0967098703888334,0.5208333333333333,2.0660154544216645
Million Veteran Program,Mitral valve prolapse,298.0,25.689655172413794,0.0,2568.9655172413795
Million Veteran Program,Million Veteran Program (MVP),161.0,13.879310344827585,0.0,1387.9310344827586
Million Veteran Program,Mitral Regurgitation,70.0,6.0344827586206895,0.0,603.448275862069
Million Veteran Program,Echocardiography,59.0,5.086206896551724,0.0,508.6206896551724
Million Veteran Program,Mitral annular disjunction,52.0,4.482758620689655,0.0,448.27586206896547
Million Veteran Program,Sudden Cardiac Death,48.0,4.137931034482759,0.0,413.7931034482759
Million Veteran Program,Mitral Valve,41.0,3.53448275862069,0.0,353.448275862069
Million Veteran Program,Atrial Fibrillation,33.0,2.844827586206897,0.0,284.48275862068965
Million Veteran Program,Mitral Valve Repair,30.0,2.586206896551724,0.0,258.62068965517244
Million Veteran Program,Ventricular Arrhythmias,27.0,2.327586206896552,0.0,232.7586206896552
Million Veteran Program,Major Vault Protein,22.0,1.896551724137931,0.0,189.6551724137931
Million Veteran Program,Accelerometer,21.0,1.810344827586207,0.0,181.0344827586207
Million Veteran Program,Ventricular Tachycardia,19.0,1.6379310344827587,0.0,163.79310344827587
Million Veteran Program,Physical activity,85.0,7.327586206896551,0.7214206437291898,10.018292852026208
UK Biobank,Dementia,407.0,4.517203107658157,0.0,451.7203107658157
UK Biobank,Cohort study,334.0,3.706992230854606,0.0,370.69922308546063
UK Biobank,Stroke,176.0,1.95338512763596,0.0,195.338512763596
UK Biobank,Air Pollution,165.0,1.8312985571587126,0.0,183.12985571587126
UK Biobank,Risk Factors,162.0,1.798002219755827,0.0,179.8002219755827
UK Biobank,UK Biobank,1411.0,15.660377358490566,0.27417746759720835,55.107737748889726
UK Biobank,Type 2 Diabetes,240.0,2.6637069922308543,0.290794283815221,8.855577168704373
UK Biobank,Mortality,402.0,4.4617092119866815,0.5387931034482759,8.130038777732564
UK Biobank,Cardiovascular disease,540.0,5.993340732519423,2.228264917890008,2.6776726403634523
UK Biobank,Depression,309.0,3.429522752497225,1.318383023946913,2.5817273261347258
UK Biobank,Obesity,227.0,2.519422863485017,1.0305022432701894,2.421352649434695
