Biobank,Institution,Publications
FinnGen,University of Helsinki,323
FinnGen,Central South University,272
FinnGen,Sichuan University,175
FinnGen,Xiangya Hospital,158
FinnGen,Massachusetts General Hospital,130
FinnGen,West China Hospital,129
FinnGen,Zhejiang University School of Medicine,125
FinnGen,Karolinska Institutet,122
FinnGen,Fudan University,109
FinnGen,University of Cambridge,105
FinnGen,Southern Medical University,103
FinnGen,Capital Medical University,99
FinnGen,Institute of Environmental Medicine,94
FinnGen,Huazhong University of Science and Technology,93
FinnGen,Tongji Medical College,86
FinnGen,Broad Institute of MIT and Harvard,82
FinnGen,Institute for Molecular Medicine Finland (FIMM),82
FinnGen,Shanghai Jiao Tong University School of Medicine,79
FinnGen,Institute for Molecular Medicine Finland,75
FinnGen,Sun Yat-sen University,75
UK Biobank,University of Oxford,1800
UK Biobank,University of Cambridge,1221
UK Biobank,Massachusetts General Hospital,1116
UK Biobank,Fudan University,1111
UK Biobank,University of Bristol,1004
UK Biobank,University of Edinburgh,997
UK Biobank,University of Glasgow,903
UK Biobank,Imperial College London,843
UK Biobank,Central South University,782
UK Biobank,University College London,753
UK Biobank,Huazhong University of Science and Technology,702
UK Biobank,Sichuan University,698
UK Biobank,King's College London,685
UK Biobank,Tongji Medical College,680
UK Biobank,Southern Medical University,674
UK Biobank,University of California,616
UK Biobank,Sun Yat-sen University,614
UK Biobank,Karolinska Institutet,575
UK Biobank,Broad Institute of MIT and Harvard,541
UK Biobank,Xiangya Hospital,523
Million Veteran Program,Massachusetts General Hospital,187
Million Veteran Program,Vanderbilt University Medical Center,187
Million Veteran Program,Brigham and Women's Hospital,184
Million Veteran Program,University of California San Diego,175
Million Veteran Program,Stanford University School of Medicine,152
Million Veteran Program,University of Pennsylvania,150
Million Veteran Program,University of California,146
Million Veteran Program,University of Pennsylvania Perelman School of Medicine,114
Million Veteran Program,Yale University School of Medicine,94
Million Veteran Program,Massachusetts Veterans Epidemiology Research and Information Center (MAVERIC),83
Million Veteran Program,Boston University School of Public Health,70
Million Veteran Program,University of Washington,65
Million Veteran Program,Emory University School of Medicine,65
Million Veteran Program,University of Michigan,61
Million Veteran Program,College of Medicine,61
Million Veteran Program,University of Cambridge,60
Million Veteran Program,Stanford University,59
Million Veteran Program,Corporal Michael J. Crescenz VA Medical Center,58
Million Veteran Program,Boston University School of Medicine,52
Million Veteran Program,Fudan University,49
All of Us,Vanderbilt University Medical Center,256
All of Us,University of California,158
All of Us,National Institutes of Health,149
All of Us,Massachusetts General Hospital,134
All of Us,Baylor College of Medicine,95
All of Us,University of California San Diego,79
All of Us,Brigham and Women's Hospital,66
All of Us,University of Pennsylvania,56
All of Us,University of Michigan,47
All of Us,Broad Institute of MIT and Harvard,46
All of Us,University of Washington,45
All of Us,College of Medicine,45
All of Us,Johns Hopkins University School of Medicine,37
All of Us,Viterbi Family Department of Ophthalmology and Shiley Eye Institute,35
All of Us,Columbia University,32
All of Us,University of Alabama at Birmingham,31
All of Us,University of South Carolina,31
All of Us,University of North Carolina at Chapel Hill,30
All of Us,Vanderbilt University,27
All of Us,Columbia University Irving Medical Center,27
Estonian Biobank,University of Tartu,222
Estonian Biobank,Institute of Genomics,115
Estonian Biobank,Estonian Genome Center,48
Estonian Biobank,Estonian Genome Centre,46
Estonian Biobank,University of Helsinki,42
Estonian Biobank,Tartu University Hospital,26
Estonian Biobank,Institute of Molecular and Cell Biology,22
Estonian Biobank,University of Oulu,22
Estonian Biobank,University of Lausanne,20
Estonian Biobank,University of Edinburgh,20
Estonian Biobank,Institute for Molecular Medicine Finland,19
Estonian Biobank,Institute of Mathematics and Statistics,18
Estonian Biobank,Institute of Clinical Medicine,18
Estonian Biobank,Karolinska Institutet,15
Estonian Biobank,University of Oxford,15
Estonian Biobank,Massachusetts General Hospital,14
Estonian Biobank,Institute of Computer Science,10
Estonian Biobank,University of Padova,10
Estonian Biobank,Broad Institute of MIT and Harvard,9
Estonian Biobank,Oulu University Hospital,9
