Biobank,Keyword,Count
FinnGen,Mendelian randomization,1537
FinnGen,Causality and causal inference,415
FinnGen,GWAS (Genome-wide association studies),235
FinnGen,Gut microbiota,175
FinnGen,Genetics,73
FinnGen,Cardiovascular disease,65
FinnGen,Finngen,64
FinnGen,Depression,44
FinnGen,Meta-analysis,41
FinnGen,Inflammatory Bowel Disease,40
FinnGen,Epidemiology,36
FinnGen,Type 2 Diabetes,35
FinnGen,Drug Target,34
FinnGen,UK Biobank,33
FinnGen,Hypertension,33
FinnGen,Rheumatoid Arthritis,32
FinnGen,Ulcerative Colitis,31
FinnGen,Obesity,30
FinnGen,Alzheimer’s Disease,28
FinnGen,Asthma,28
UK Biobank,Mendelian randomization,1780
UK Biobank,UK Biobank,1411
UK Biobank,GWAS (Genome-wide association studies),682
UK Biobank,Cardiovascular disease,540
UK Biobank,Genetics,535
UK Biobank,Epidemiology,469
UK Biobank,Dementia,407
UK Biobank,Mortality,402
UK Biobank,Causality and causal inference,341
UK Biobank,Cohort study,334
UK Biobank,Depression,309
UK Biobank,Physical activity,260
UK Biobank,Type 2 Diabetes,240
UK Biobank,Polygenic Risk Score,234
UK Biobank,Obesity,227
UK Biobank,COVID-19,179
UK Biobank,Stroke,176
UK Biobank,Air Pollution,165
UK Biobank,Risk Factors,162
UK Biobank,Machine Learning,157
Million Veteran Program,Mitral valve prolapse,298
Million Veteran Program,Million Veteran Program (MVP),161
Million Veteran Program,Physical activity,85
Million Veteran Program,Mitral Regurgitation,70
Million Veteran Program,Echocardiography,59
Million Veteran Program,Mitral annular disjunction,52
Million Veteran Program,Sudden Cardiac Death,48
Million Veteran Program,Mitral Valve,41
Million Veteran Program,GWAS (Genome-wide association studies),37
Million Veteran Program,Mendelian randomization,36
Million Veteran Program,Genetics,36
Million Veteran Program,Atrial Fibrillation,33
Million Veteran Program,Mitral Valve Repair,30
Million Veteran Program,Epidemiology,30
Million Veteran Program,Cardiovascular disease,30
Million Veteran Program,Ventricular Arrhythmias,27
Million Veteran Program,Mortality,25
Million Veteran Program,Major Vault Protein,22
Million Veteran Program,Accelerometer,21
Million Veteran Program,Ventricular Tachycardia,19
All of Us,All Of Us,82
All of Us,Epidemiology,49
All of Us,All Of Us Research Program,47
All of Us,Electronic Health Records,42
All of Us,COVID-19,36
All of Us,Precision Medicine,34
All of Us,Social Determinants Of Health,34
All of Us,Genetics,29
All of Us,Health Disparities,26
All of Us,Depression,21
All of Us,Machine Learning,20
All of Us,Psoriasis,16
All of Us,Mental Health,15
All of Us,Atopic Dermatitis,15
All of Us,Health Equity,15
All of Us,Comorbidities,15
All of Us,Public Health,14
All of Us,Diabetes,14
All of Us,Diversity,14
All of Us,Big Data,13
Estonian Biobank,Biobank,14
Estonian Biobank,GWAS (Genome-wide association studies),14
Estonian Biobank,Polygenic Risk Score,10
Estonian Biobank,Genetics,10
Estonian Biobank,Mendelian randomization,6
Estonian Biobank,Electronic Health Records,4
Estonian Biobank,Cardiovascular disease,4
Estonian Biobank,Estonia,3
Estonian Biobank,Causality and causal inference,3
Estonian Biobank,Metabolomics,3
Estonian Biobank,Breast Cancer,3
Estonian Biobank,Non-alcoholic Fatty Liver Disease,3
Estonian Biobank,Polycystic Ovary Syndrome,3
Estonian Biobank,Risk Prediction,3
Estonian Biobank,Obesity,3
Estonian Biobank,Hypertension,2
Estonian Biobank,Polygenic Score,2
Estonian Biobank,BMI,2
Estonian Biobank,Polygenic Risk Scores,2
Estonian Biobank,Atopic Dermatitis,2
