Biobank,MeSH Term,Count
FinnGen,Humans,1402
FinnGen,Mendelian randomization,1170
FinnGen,GWAS (Genome-wide association studies),1068
FinnGen,"Polymorphism, Single Nucleotide",652
FinnGen,Female,506
FinnGen,Genetic Predisposition To Disease,427
FinnGen,Risk Factors,411
FinnGen,Male,389
FinnGen,Middle Aged,192
FinnGen,Gastrointestinal Microbiome,128
FinnGen,Aged,127
FinnGen,Adult,124
FinnGen,"Diabetes Mellitus, Type 2",109
FinnGen,Pregnancy,82
FinnGen,Phenotype,79
FinnGen,Biomarkers,72
FinnGen,Causality and causal inference,71
FinnGen,Quantitative Trait Loci,67
FinnGen,United Kingdom,65
FinnGen,Cardiovascular disease,62
UK Biobank,Humans,8717
UK Biobank,Female,4794
UK Biobank,Male,4555
UK Biobank,Middle Aged,3875
UK Biobank,United Kingdom,3776
UK Biobank,Aged,3296
UK Biobank,Risk Factors,3116
UK Biobank,GWAS (Genome-wide association studies),2867
UK Biobank,Adult,2698
UK Biobank,Biological Specimen Banks,2505
UK Biobank,"Polymorphism, Single Nucleotide",2027
UK Biobank,Mendelian randomization,1817
UK Biobank,Genetic Predisposition To Disease,1704
UK Biobank,Prospective Studies,1690
UK Biobank,Cohort Studies,1092
UK Biobank,Cardiovascular disease,958
UK Biobank,Phenotype,863
UK Biobank,UK Biobank,816
UK Biobank,Incidence,727
UK Biobank,"Diabetes Mellitus, Type 2",713
Million Veteran Program,Humans,1732
Million Veteran Program,Female,1025
Million Veteran Program,Male,970
Million Veteran Program,Middle Aged,696
Million Veteran Program,Aged,548
Million Veteran Program,Adult,515
Million Veteran Program,Mitral valve prolapse,465
Million Veteran Program,Animals,290
Million Veteran Program,Retrospective Studies,254
Million Veteran Program,Mitral Valve,242
Million Veteran Program,Risk Factors,227
Million Veteran Program,Treatment Outcome,226
Million Veteran Program,Mitral Valve Insufficiency,217
Million Veteran Program,Vault Ribonucleoprotein Particles,186
Million Veteran Program,Echocardiography,173
Million Veteran Program,Adolescent,163
Million Veteran Program,GWAS (Genome-wide association studies),155
Million Veteran Program,Prospective Studies,150
Million Veteran Program,Veterans,122
Million Veteran Program,Genetic Predisposition To Disease,118
All of Us,Humans,1018
All of Us,Female,366
All of Us,United States,352
All of Us,Male,333
All of Us,Population Health,296
All of Us,Adult,274
All of Us,Middle Aged,265
All of Us,Aged,221
All of Us,Cross-sectional Studies,107
All of Us,Risk Factors,99
All of Us,Young Adult,92
All of Us,Adolescent,90
All of Us,COVID-19,77
All of Us,Case-control Studies,64
All of Us,Genetic Predisposition To Disease,59
All of Us,Biomedical Research,55
All of Us,Electronic Health Records,52
All of Us,"Databases, Factual",52
All of Us,GWAS (Genome-wide association studies),51
All of Us,Prevalence,51
Estonian Biobank,Humans,70
Estonian Biobank,Female,43
Estonian Biobank,Estonia,34
Estonian Biobank,GWAS (Genome-wide association studies),33
Estonian Biobank,Male,25
Estonian Biobank,"Polymorphism, Single Nucleotide",23
Estonian Biobank,Middle Aged,21
Estonian Biobank,Genetic Predisposition To Disease,20
Estonian Biobank,Aged,19
Estonian Biobank,Adult,19
Estonian Biobank,Risk Factors,19
Estonian Biobank,Biological Specimen Banks,13
Estonian Biobank,Electronic Health Records,11
Estonian Biobank,Cohort Studies,11
Estonian Biobank,Genotype,10
Estonian Biobank,Multifactorial Inheritance,9
Estonian Biobank,Adolescent,8
Estonian Biobank,Genomics,7
Estonian Biobank,United Kingdom,7
Estonian Biobank,Cardiovascular disease,7
