Author,All of Us,Estonian Biobank,FinnGen,Million Veteran Program,UK Biobank,Total_Biobanks,Total_Publications
Wang Y,0.0,0.0,123.0,34.0,433.0,3,590.0
Li Y,0.0,0.0,97.0,44.0,325.0,3,466.0
Wang X,15.0,0.0,90.0,0.0,321.0,3,426.0
Liu Y,0.0,0.0,97.0,34.0,254.0,3,385.0
Zhang Y,0.0,0.0,130.0,0.0,518.0,2,648.0
Li X,0.0,0.0,99.0,0.0,303.0,2,402.0
Zhang J,0.0,0.0,68.0,0.0,284.0,2,352.0
Wang J,0.0,0.0,92.0,0.0,247.0,2,339.0
Zhang X,0.0,0.0,71.0,0.0,266.0,2,337.0
Li J,0.0,0.0,102.0,0.0,230.0,2,332.0
Chen Y,0.0,0.0,83.0,0.0,240.0,2,323.0
Chen J,0.0,0.0,67.0,0.0,193.0,2,260.0
Wang Z,0.0,0.0,70.0,0.0,176.0,2,246.0
Wang W,0.0,0.0,55.0,0.0,179.0,2,234.0
