Biobank,Author,Publications
FinnGen,Zhang Y,130
FinnGen,Wang Y,123
FinnGen,Li J,102
FinnGen,Li X,99
FinnGen,Li Y,97
FinnGen,Liu Y,97
FinnGen,Wang J,92
FinnGen,Wang X,90
FinnGen,Chen Y,83
FinnGen,Zhang X,71
FinnGen,Wang Z,70
FinnGen,Zhang J,68
FinnGen,Chen J,67
FinnGen,Larsson SC,67
FinnGen,Liu J,60
FinnGen,Wang L,58
FinnGen,Yuan S,58
FinnGen,Wang W,55
FinnGen,Liu Z,54
FinnGen,Palotie A,52
UK Biobank,Zhang Y,518
UK Biobank,Wang Y,433
UK Biobank,Li Y,325
UK Biobank,Wang X,321
UK Biobank,Li X,303
UK Biobank,Zhang J,284
UK Biobank,Zhang X,266
UK Biobank,Liu Y,254
UK Biobank,Wang J,247
UK Biobank,Chen Y,240
UK Biobank,Li J,230
UK Biobank,Chen X,211
UK Biobank,Chen J,193
UK Biobank,Chen L,182
UK Biobank,Wang W,179
UK Biobank,Pell JP,178
UK Biobank,Zhang L,176
UK Biobank,Wang Z,176
UK Biobank,Sun Y,174
UK Biobank,Zhang H,172
Million Veteran Program,Gaziano JM,113
Million Veteran Program,Cho K,87
Million Veteran Program,Tsao PS,65
Million Veteran Program,Gelernter J,52
Million Veteran Program,Pyarajan S,46
Million Veteran Program,Li Y,44
Million Veteran Program,Wilson PWF,43
Million Veteran Program,O'Donnell CJ,43
Million Veteran Program,Ho YL,42
Million Veteran Program,Sun YV,41
Million Veteran Program,Assimes TL,41
Million Veteran Program,Polimanti R,40
Million Veteran Program,Damrauer SM,39
Million Veteran Program,Chang KM,39
Million Veteran Program,Huffman JE,35
Million Veteran Program,Wang Y,34
Million Veteran Program,Liu Y,34
Million Veteran Program,Levine RA,33
Million Veteran Program,Stein MB,30
Million Veteran Program,Lynch JA,30
All of Us,Cohen JM,47
All of Us,Denny JC,25
All of Us,Baxter SL,24
All of Us,Leasure AC,23
All of Us,Master H,18
All of Us,Joshi TP,17
All of Us,Fan R,17
All of Us,Ohno-Machado L,16
All of Us,Damsky W,16
All of Us,Wang X,15
All of Us,Lipner SR,14
All of Us,Roden DM,14
All of Us,Weinreb RN,14
All of Us,Boerwinkle E,14
All of Us,Clark CR,14
All of Us,Cohn E,13
All of Us,Sheth KN,13
All of Us,Chen GF,13
All of Us,Radha Saseendrakumar B,13
All of Us,Smoller JW,12
Estonian Biobank,Mägi R,30
Estonian Biobank,Esko T,26
Estonian Biobank,Metspalu A,24
Estonian Biobank,Fischer K,21
Estonian Biobank,Läll K,17
Estonian Biobank,Milani L,13
Estonian Biobank,Reigo A,13
Estonian Biobank,Laisk T,13
Estonian Biobank,Võsa U,11
Estonian Biobank,Palta P,11
Estonian Biobank,Kals M,11
Estonian Biobank,Nikopensius T,10
Estonian Biobank,Tõnisson N,10
Estonian Biobank,Haller T,9
Estonian Biobank,Krebs K,8
Estonian Biobank,Lehto K,8
Estonian Biobank,Abner E,7
Estonian Biobank,Alver M,7
Estonian Biobank,Leitsalu L,7
Estonian Biobank,Nõukas M,7
