Rank,Title,Main Authors,Journal,Year,Citation Count
1,Variability of polygenic prediction for body mass index in Africa.,Chikowore T; Läll K; Micklesfield LK et al.,Genome medicine,2024.0,437
2,A novel framework for assessing causal effect of microbiome on health: long-term antibiotic usage as an instrument.,Taba N; Fischer K; Org E et al.,Gut microbes,2025.0,5
3,Diverse landscape of genomic research within the Estonian Biobank.,Mägi R,Human molecular genetics,2025.0,0
4,"Genome-wide association study for circulating metabolic traits in 619,372 individuals.",Tambets R; Kronberg J; van der Graaf A et al.,medRxiv : the preprint server for health sciences,2025.0,0
5,"No Associations Between Genetically Predicted Chronotype, Insomnia, Daytime Sleepiness, or Physical Activity and Acne Vulgaris: A Two-Sample Mendelian Randomization Study.",Tian C,"Clinical, cosmetic and investigational dermatology",2025.0,0
6,The Estonian Biobank's journey from biobanking to personalized medicine.,Milani L; Alver M; Laur S et al.,Nature communications,2025.0,0
7,Association of Polygenic Risk for Psychiatric Disorders with Cardiometabolic Disease.,Bergstedt J; Kõiv K; Jangmo A et al.,medRxiv : the preprint server for health sciences,2025.0,0
8,Atlas of genetic and phenotypic associations across 42 female reproductive health diagnoses.,Pujol Gualdo N; Džigurski J; Rukins V et al.,Nature medicine,2025.0,0
9,Pathway level metabolomics analysis identifies carbon metabolism as a key factor of incident hypertension in the Estonian Biobank.,Hiie L; Kolde A; Pervjakova N et al.,Scientific reports,2025.0,0
10,Assessing the overlap of personality traits and internalizing psychopathology using multi-informant data: Two sides of the same coin?,Soodla HL; Lehto K; Kõiv K et al.,Journal of psychopathology and clinical science,2025.0,0
