Rank,Title,Main Authors,Journal,Year,Citation Count
1,"Unraveling the causative connection between urticaria, inflammatory cytokines, and mental disorders: Perspectives from genetic evidence.",Liu Z; Wang Y; Wang S et al.,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),2024.0,85
2,Exploring the Potential Link Between Autoimmune Diseases and Pan-Cancer: A Multidatabase Mendelian Randomization Analysis.,Wang C; Liu Z; Zhou Y et al.,Journal of immunology research,2025.0,0
3,Uncovering Causal Links Between Dietary Habits and Cardiovascular Diseases.,He S; Wen H; Fu Y et al.,Food science & nutrition,2025.0,0
4,Causal Associations of Obstructive Sleep Apnea With Cancer Risk: A Mendelian Randomization Study.,He X; Ye X; Yang K et al.,Brain and behavior,2025.0,0
5,"Rare genetic variation in PTPRB is associated with central serous chorioretinopathy, varicose veins and glaucoma.",Rämö JT; Gorman BR; Weng LC et al.,Nature communications,2025.0,0
6,The Causal Effect of Iron Traits on Risk of Hypertrophic Scarring: A Two-Sample Mendelian Randomization Study.,Bian D; Gong H; Shi W,Journal of cosmetic dermatology,2025.0,0
7,Integrating analysis of multi-omics summary data identifies novel plasma protein biomarkers and drug targets for bladder cancer.,Cao J; Chen S; Wang J et al.,Discover oncology,2025.0,0
8,The causal relationships between body composition and heart failure: A two-sample mendelian randomization study.,Lu C; Guo Z; Wang Z et al.,Scientific reports,2025.0,0
9,Genetic Evidence Supporting a Causal Association Between mTORC1-Dependent Circulating Protein Levels and Diabetic Retinopathy.,Bai Y; Xi Y; Gui C et al.,Translational vision science & technology,2025.0,0
10,Genome-Wide Assessment of Pleiotropy Across >1000 Traits from Global Biobanks.,Levin MG; Koyama S; Woerner J et al.,medRxiv : the preprint server for health sciences,2025.0,0
