Rank,Title,Main Authors,Journal,Year,Citation Count
1,Secondary leaflet tethering in patients with severe degenerative mitral regurgitation and its association with the severity of mitral regurgitation.,Ge Z; Hu C; Zhao Y et al.,"Echocardiography (Mount Kisco, N.Y.)",2023.0,1711
2,Surgical Outcomes for Children with Anomalous Origin of the Left Coronary Artery from the Pulmonary Artery.,Wang Z; Ding N; Zhang J et al.,Pediatric cardiology,2023.0,325
3,Genome-wide association analyses identify distinct genetic architectures for age-related macular degeneration across ancestries.,Gorman BR; Voloudakis G; Igo RP et al.,Nature genetics,2024.0,6
4,Accelerometer-Measured Physical Activity and Neuroimaging-Driven Brain Age.,Chen H; Cao Z; Zhang J et al.,Health data science,2025.0,0
5,"A contextual genomic perspective on physical activity and its relationship to health, well-being and illness.",Galimberti M; Levey DF; Deak JD et al.,medRxiv : the preprint server for health sciences,2025.0,0
6,"Accelerometer-derived ""weekend warrior"" and regularly active physical activity and incident diabetes.",Lei L; Li J; Wang W et al.,"Obesity (Silver Spring, Md.)",2025.0,0
7,Discovery of novel ancestry specific genes for androgens and hypogonadism in Million Veteran Program Men.,Pagadala MS; Teerlink CC; Jasuja GK et al.,Nature communications,2025.0,0
8,Large language models for extracting histopathologic diagnoses of colorectal cancer and dysplasia from electronic health records.,Johnson B; Bath T; Huang X et al.,medRxiv : the preprint server for health sciences,2025.0,0
9,Genome-Wide Assessment of Pleiotropy Across >1000 Traits from Global Biobanks.,Levin MG; Koyama S; Woerner J et al.,medRxiv : the preprint server for health sciences,2025.0,0
10,Associations between the 24-Hour Activity Daily Cycle and Incident Dementia.,Raichlen DA; Aslan DH; Sayre MK et al.,Medicine and science in sports and exercise,2025.0,0
