Rank,Title,Main Authors,Journal,Year,Citation Count
1,"Associations of socioeconomic status with infectious diseases mediated by lifestyle, environmental pollution and chronic comorbidities: a comprehensive evaluation based on UK Biobank.",Ye X; Wang Y; Zou Y et al.,Infectious diseases of poverty,2023.0,3566
2,An atlas of genetic scores to predict multi-omic traits.,Xu Y; Ritchie SC; Liang Y et al.,Nature,2023.0,2489
3,"Lifestyle patterns, genetic susceptibility, and risk of valvular heart disease: a prospective cohort study based on the UK Biobank.",Jia C; Zeng Y; Huang X et al.,European journal of preventive cardiology,2023.0,2054
4,Pathway-specific polygenic scores for Alzheimer's disease are associated with changes in brain structure in younger and older adults.,Harrison JR; Foley SF; Baker E et al.,Brain communications,2023.0,1444
5,Life expectancy can increase by up to 10 years following sustained shifts towards healthier diets in the United Kingdom.,Fadnes LT; Celis-Morales C; Økland JM et al.,Nature food,2023.0,1083
6,"Green space, genetic susceptibility, and risk of osteoporosis:a cohort study from the UK Biobank.",Yao XI; Tong X; Shen C et al.,Chemosphere,2024.0,647
7,Genetic susceptibility to schizophrenia through neuroinflammatory pathways is associated with retinal thinning: Findings from the UK-Biobank.,Rabe F; Smigielski L; Georgiadis F et al.,medRxiv : the preprint server for health sciences,2024.0,560
8,FastSurfer-HypVINN: Automated sub-segmentation of the hypothalamus and adjacent structures on high-resolutional brain MRI.,Estrada S; Kügler D; Bahrami E et al.,"Imaging neuroscience (Cambridge, Mass.)",2023.0,558
9,Walking pace and microvascular complications among individuals with type 2 diabetes: A cohort study from the UK Biobank.,Zhu X; Zhang X; Zhou C et al.,Scandinavian journal of medicine & science in sports,2024.0,224
10,Genome-wide large-scale multi-trait analysis characterizes global patterns of pleiotropy and unique trait-specific variants.,Qi G; Chhetri SB; Ray D et al.,Nature communications,2024.0,115
