,FinnGen,UK Biobank,Million Veteran Program,All of Us,Estonian Biobank
Mendelian randomization,1537.0,1780.0,36.0,0.0,6.0
Biobank,33.0,1411.0,0.0,0.0,14.0
GWAS (Genome-wide association studies),235.0,682.0,37.0,0.0,14.0
Causality and causal inference,415.0,341.0,0.0,0.0,3.0
Genetics,73.0,535.0,36.0,29.0,10.0
Cardiovascular disease,65.0,540.0,30.0,0.0,4.0
Epidemiology,36.0,469.0,30.0,49.0,0.0
Mortality,0.0,402.0,25.0,0.0,0.0
Dementia,0.0,407.0,0.0,0.0,0.0
Depression,44.0,309.0,0.0,21.0,0.0
Physical Activity,0.0,260.0,85.0,0.0,0.0
Cohort study,0.0,334.0,0.0,0.0,0.0
Mitral valve prolapse,0.0,0.0,298.0,0.0,0.0
Type 2 diabetes,35.0,240.0,0.0,0.0,0.0
Obesity,30.0,227.0,0.0,0.0,3.0
Polygenic risk score,0.0,234.0,0.0,0.0,14.0
Covid-19,0.0,179.0,0.0,36.0,0.0
Machine learning,0.0,157.0,0.0,20.0,0.0
Stroke,0.0,176.0,0.0,0.0,0.0
Gut Microbiota,175.0,0.0,0.0,0.0,0.0
