Biobank,Theme,Top Terms,All Terms
UK Biobank,1,"optic disk, carotid intima-media thickness, rare diseases, clonal hematopoiesis, allied health personnel","optic disk, carotid intima-media thickness, rare diseases, clonal hematopoiesis, allied health personnel, glycation end products, advanced, adaptor proteins, signal transducing, hematologic neoplasms, air pollution, refraction, ocular"
UK Biobank,2,"specimen handling, urine, blood chemical analysis, urinalysis, cryopreservation","specimen handling, urine, blood chemical analysis, urinalysis, cryopreservation, practice guidelines as topic, autoanalysis, serum, biomedical engineering, blood preservation"
UK Biobank,3,"cannabis, cannabinoid receptor agonists, hallucinogens, white matter, receptor, cannabinoid, cb1","cannabis, cannabinoid receptor agonists, hallucinogens, white matter, receptor, cannabinoid, cb1, dronabinol, receptors, cannabinoid, genistein, analgesics, marijuana use"
UK Biobank,4,"circadian clocks, alveolar epithelial cells, regeneration, circadian rhythm, influenza a virus","circadian clocks, alveolar epithelial cells, regeneration, circadian rhythm, influenza a virus, pulmonary fibrosis, refraction, ocular, clock proteins, tata box binding protein-like proteins, myofibroblasts"
UK Biobank,5,"natural language processing, health information exchange, health information interoperability, systematized nomenclature of medicine, semantics","natural language processing, health information exchange, health information interoperability, systematized nomenclature of medicine, semantics, biological ontologies, electronic health records, language, vocabulary, controlled, fundus oculi"
Million Veteran Program,1,"vault ribonucleoprotein particles, recombinant proteins, rna, small interfering, molecular sequence data, transfection","vault ribonucleoprotein particles, recombinant proteins, rna, small interfering, molecular sequence data, transfection, virus replication, cloning, molecular, poly(adp-ribose) polymerases, interferon type i, nanoparticles"
Million Veteran Program,2,"mitral valve prolapse, mitral valve, echocardiography, heart valve prosthesis implantation, mitral valve insufficiency","mitral valve prolapse, mitral valve, echocardiography, heart valve prosthesis implantation, mitral valve insufficiency, echocardiography, doppler, rna, small interfering, echocardiography, transesophageal, papillary muscles, water"
Million Veteran Program,3,"kinetics, minute virus of mice, escherichia coli, protein structure, secondary, plasmids","kinetics, minute virus of mice, escherichia coli, protein structure, secondary, plasmids, embolization, therapeutic, cloning, molecular, triticum, water, chromatography, ion exchange"
Million Veteran Program,4,"rotation, electric stimulation, vestibule, labyrinth, prosthesis implantation, prosthesis design","rotation, electric stimulation, vestibule, labyrinth, prosthesis implantation, prosthesis design, semicircular canals, prostheses and implants, neural prostheses, vestibular diseases, reflex, vestibulo-ocular"
Million Veteran Program,5,"urination, reflex, rats, wistar, rats, rats, sprague-dawley","urination, reflex, rats, wistar, rats, rats, sprague-dawley, injections, intraventricular, pyridines, urinary bladder, receptors, gaba, anesthetics, intravenous"
FinnGen,1,"mendelian randomization analysis, clostridiales, hernias, diaphragmatic, congenital, iga vasculitis, respiratory tract infections","mendelian randomization analysis, clostridiales, hernias, diaphragmatic, congenital, iga vasculitis, respiratory tract infections, receptors, igg, steroid 21-hydroxylase, bacteroidetes, caprylates, crohn disease"
