,UK Biobank,Million Veteran Program,FinnGen,All of Us,Estonian Biobank
Ischemic Heart Disease,601,30,64,15,31
Stroke,384,20,38,10,7
Depression,487,10,52,21,19
Anxiety Disorders,162,29,22,12,6
Tuberculosis,28,0,4,3,3
HIV/AIDS,13,0,4,26,1
Malaria,1,0,0,0,0
Lung Cancer,108,1,16,6,4
Breast Cancer,163,3,20,4,12
Diabetes Mellitus Type 2,972,27,140,21,63
Alzheimer Disease,3479,74,211,185,226
Chronic Obstructive Pulmonary Disease,133,0,24,0,2
Low Back Pain,30,1,7,2,1
Neglected Tropical Diseases,1,0,0,0,0
Thyroid Disorders,59,0,55,2,4
Chronic Kidney Disease,195,12,13,8,6
Diarrheal Diseases,0,0,1,0,0
Road Traffic Accidents,32,37,3,3,2
Cirrhosis,111,5,21,2,1
Asthma,149,0,26,9,6
Colorectal Cancer,173,3,42,2,4
Preterm Birth Complications,19,0,16,1,1
Cataracts,38,0,11,2,0
Rheumatoid Arthritis,4678,233,1131,169,294
Bipolar Disorder,115,6,4,2,6
