,UK Biobank,Million Veteran Program,FinnGen,All of Us,Estonian Biobank
Ischemic Heart Disease,3.1289036544850504,60.76129032258065,28.978461538461538,100.0,58.862500000000004
Stroke,4.167792207792208,76.40952380952382,41.14358974358974,100.0,100.0
Depression,1.1543032786885246,51.20909090909091,10.628301886792453,25.604545454545455,28.165
Anxiety Disorders,2.6079754601226997,14.17,18.482608695652175,32.7,60.72857142857143
Tuberculosis,16.2,100.0,18.792,100.0,100.0
HIV/AIDS,28.76428571428572,100.0,80.54,14.914814814814816,100.0
Malaria,27.585,100.0,27.585,100.0,27.585
Lung Cancer,4.269724770642202,100.0,27.376470588235296,66.48571428571428,93.08
Breast Cancer,1.2585365853658537,51.6,9.82857142857143,41.28,15.876923076923077
Diabetes Mellitus Type 2,0.8113052415210688,28.192857142857143,5.598581560283687,35.881818181818176,12.334375
Alzheimer Disease,0.10439655172413792,4.844,1.7136792452830187,1.9532258064516128,1.6004405286343613
Chronic Obstructive Pulmonary Disease,5.953731343283582,100.0,31.912000000000003,100.0,100.0
Low Back Pain,22.63225806451613,100.0,87.69999999999999,100.0,100.0
Neglected Tropical Diseases,2.11,8.44,2.11,42.199999999999996,2.11
Thyroid Disorders,0.20833333333333331,12.5,0.22321428571428573,4.166666666666667,2.5
Chronic Kidney Disease,2.2678571428571432,34.19230769230769,31.750000000000004,49.38888888888889,63.50000000000001
Diarrheal Diseases,100.0,100.0,44.235,100.0,88.47
Road Traffic Accidents,19.73939393939394,17.142105263157895,100.0,100.0,100.0
Cirrhosis,4.144642857142857,77.36666666666667,21.099999999999998,100.0,100.0
Asthma,1.4280000000000002,100.0,7.9333333333333345,21.42,30.6
Colorectal Cancer,1.4022988505747125,61.0,5.674418604651162,81.33333333333333,48.8
Preterm Birth Complications,93.185,100.0,100.0,100.0,100.0
Cataracts,7.476923076923077,100.0,24.3,97.2,100.0
Rheumatoid Arthritis,0.006582603120324856,0.13162393162393163,0.027208480565371024,0.1811764705882353,0.10440677966101695
Bipolar Disorder,0.6905172413793104,11.442857142857143,16.02,26.7,11.442857142857143
