Journal,Count
Biopreservation and biobanking,125
Scientific reports,57
medRxiv : the preprint server for health sciences,52
Journal of the American Medical Informatics Association : JAMIA,49
Nature communications,49
Nature genetics,41
PloS one,35
American journal of human genetics,34
Studies in health technology and informatics,32
Journal of personalized medicine,30
Cancers,30
Frontiers in genetics,28
BMC medical ethics,26
Journal of the American College of Cardiology,26
Circulation,24
Journal of biomedical informatics,24
International journal of molecular sciences,23
Frontiers in oncology,23
Frontiers in medicine,21
European journal of human genetics : EJHG,20
