PMID,Year,Cluster
39545769,2024,6
39486903,2024,6
39438716,2024,5
39438584,2024,6
39263940,2024,6
38950778,2024,6
38906208,2024,6
38819879,2024,4
38700133,2024,6
38632388,2024,0
38631773,2024,6
38628153,2024,6
38563820,2024,5
38563284,2024,6
38419411,2024,5
38382466,2024,0
38279645,2024,5
38272862,2024,4
38263490,2024,3
38185234,2024,4
38083636,2023,5
37910111,2024,0
37885303,2023,0
37522172,2023,0
37489768,2023,6
37310901,2023,6
37247657,2023,0
37114803,2023,3
36927983,2023,5
36736868,2023,4
36549199,2023,5
36227072,2022,4
35994481,2022,0
35690720,2022,4
35690576,2022,4
35545158,2022,6
35486493,2022,3
35446370,2022,0
35442391,2022,6
35420683,2023,5
35239951,2022,4
34743558,2022,6
34535985,2022,0
33879273,2021,5
33817817,2021,5
33797560,2021,6
33620701,2021,3
33616663,2021,6
33440997,2021,6
33432171,2021,0
33357513,2021,0
33320734,2020,4
33264411,2021,1
32961455,2020,6
32739936,2020,4
32492095,2020,6
32361145,2020,4
32342777,2020,5
32289280,2020,0
32005102,2020,6
31964390,2020,4
31932796,2020,1
31883805,2020,4
31879980,2020,0
31447099,2019,5
30978214,2019,0
30275531,2018,6
30273338,2018,6
30185958,2018,4
30090940,2018,6
29587697,2018,6
29520520,2018,0
29149267,2018,4
28686333,2018,3
28557243,2018,4
27841878,2017,0
26496350,2015,4
25675487,2015,0
24388019,2014,6
22890355,2012,3
22329724,2012,6
39626089,2024,6
39127052,2024,4
38768397,2024,5
38742457,2024,6
38366291,2024,5
38329731,2024,3
37607538,2023,3
37221485,2023,5
35999694,2023,2
34897458,2022,3
34042895,2021,4
34042506,2021,4
31613917,2019,4
30501395,2019,2
29282045,2017,3
28423769,2017,4
26809821,2016,3
26534843,2016,5
26063263,2015,4
25991289,2015,4
25160212,2014,4
24001487,2013,6
23692896,2013,4
23220717,2012,4
22985317,2012,5
22874378,2012,4
21131230,2011,4
39882111,2024,5
39794933,2024,5
39737920,2024,2
39715282,2024,2
39695500,2024,5
39648852,2024,5
39587628,2024,5
39516510,2024,5
39468631,2024,1
39464779,2024,5
39438795,2024,5
39423822,2024,5
39394596,2024,6
39388540,2024,1
39382897,2024,6
39327123,2024,6
39292410,2024,5
39285423,2024,6
39278888,2024,5
39277887,2024,5
39262072,2024,5
