disease,n_papers,n_trials,dalys,expected_papers,sii,flags,severity,flag_count,needs_review
Guinea worm disease,109,0,0.0,,0.0040724133141338825,['LOW_PAPERS'],WARNING,1,True
Lymphatic filariasis,3144,90,1.3145633995424943,,0.0025644588749855757,[],OK,0,False
Cysticercosis,2788,0,0.0,,0.002542598871514201,[],OK,0,False
Dengue,29857,273,2.076524690640326,,0.0020903951954096556,[],OK,0,False
Scabies,2565,0,0.0,,0.002065440407022834,[],OK,0,False
Malaria,76920,1402,55.17406070201989,60000.0,0.0019576477352529764,[],OK,0,False
Schistosomiasis,12299,94,1.7463333056925576,,0.0019429606618359685,[],OK,0,False
Drowning,4170,0,0.0,,0.001924752607010305,[],OK,0,False
Animal contact,811,0,0.0,,0.0018903494346886873,[],OK,0,False
Conflict and terrorism,26,0,0.0,,0.0029155455995351076,['VERY_LOW_PAPERS'],CRITICAL,1,True
Typhoid and paratyphoid,191,483,8.099574463723718,,0.0025480897165834904,['LOW_PAPERS'],WARNING,1,True
Encephalitis,36319,0,0.0,,0.0017781466012820601,[],OK,0,False
Viral skin diseases,33,0,0.0,,0.002121824072673917,['VERY_LOW_PAPERS'],CRITICAL,1,True
Iodine deficiency,3368,0,0.0,,0.002162693068385124,[],OK,0,False
Road injuries,279,19743,65.14364666178717,,0.002708723535761237,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,4,True
Leishmaniasis,22380,358,0.781187607463255,,0.00244978372938931,[],OK,0,False
Diarrheal diseases,1427,49696,58.9838167929697,,0.001843959093093872,"['LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",WARNING,2,True
Urticaria,11102,0,0.0,,0.001843717647716403,[],OK,0,False
Otitis media,16372,0,0.0,,0.001732108648866415,[],OK,0,False
Tuberculosis,138292,1507,46.97746256174383,100000.0,0.0015469860518351197,[],OK,0,False
Foreign body,22631,0,0.0,,0.002427487401291728,[],OK,0,False
Fungal skin diseases,45,0,0.0,,0.002080384409055114,['VERY_LOW_PAPERS'],CRITICAL,1,True
Pertussis,15863,0,0.0,,0.0018757766811177135,[],OK,0,False
Measles,15183,0,0.0,,0.0017696624854579568,[],OK,0,False
Meningitis,37106,610,14.511046482412157,,0.0016036761226132512,[],OK,0,False
Vitamin A deficiency,2659,0,0.0,,0.0017760854680091143,[],OK,0,False
Protein-energy malnutrition,1438,2702,11.826130803078312,,0.0016903680516406894,[],OK,0,False
Onchocerciasis,2069,34,1.2629881254184736,,0.0028121275827288628,[],OK,0,False
Cystic echinococcosis,2972,0,0.0,,0.0025777090340852737,[],OK,0,False
Exposure to mechanical forces,28,0,0.0,,0.0025273317005485296,['VERY_LOW_PAPERS'],CRITICAL,1,True
Self-harm,11545,38351,33.525091294818154,,0.0024832040071487427,[],OK,0,False
Appendicitis,15697,0,0.0,,0.0022918994072824717,[],OK,0,False
Rabies,9646,107,0.569550281705966,,0.0020279455929994583,[],OK,0,False
Dietary iron deficiency,144,4550,32.31575089759094,,0.0020124202128499746,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",WARNING,3,True
Acne vulgaris,5071,0,0.0,,0.0019621467217803,[],OK,0,False
Headache disorders,4055,2490,47.97567506486085,,0.0019332659430801868,['HIGH_BURDEN_LOW_PAPERS'],WARNING,1,True
Low back pain,37368,24572,70.15696218649575,,0.0019128567073494196,[],OK,0,False
COVID-19,52488,9239,212.00959596699755,200000.0,0.0018349438905715942,['BELOW_EXPECTED'],WARNING,1,True
Tetanus,12367,0,0.0,,0.0017466485733166337,[],OK,0,False
Lower respiratory infections,1197,45810,82.53484053909253,50000.0,0.0016816705465316772,"['FAR_BELOW_EXPECTED', 'LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,3,True
Chronic obstructive pulmonary disease,68838,7672,79.77969505315077,60000.0,0.0015220344066619873,[],OK,0,False
Pruritus,17919,0,0.0,,0.0014999621780589223,[],OK,0,False
Upper respiratory infections,1320,2557,5.678886772827445,,0.0013854289427399635,[],OK,0,False
Drug use disorders,1255,7720,15.562161528307351,,0.0028413610998541117,[],OK,0,False
Intestinal nematode infections,117,44321,1.3816409735708872,,0.002516404492780566,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS']",CRITICAL,3,True
Neck pain,15007,0,0.0,,0.0019928193651139736,[],OK,0,False
Leukemia,175549,9423,10.98283618560453,150000.0,0.001963102724403143,[],OK,0,False
Pneumoconiosis,1945,0,0.0,,0.0017905294662341475,[],OK,0,False
Neonatal disorders,228,11118,186.36601177438888,,0.0016842216718941927,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,4,True
Oral disorders,511,0,0.0,,0.0016497314209118485,[],OK,0,False
Decubitus ulcer,439,0,0.0,,0.001646651653572917,['LOW_PAPERS'],WARNING,1,True
Congenital birth defects,416,8320,52.32533269132468,,0.0016049169935286045,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",WARNING,3,True
Falls,61445,4434,43.80412262423419,,0.0014446580316871405,[],OK,0,False
