disease,n_papers,n_trials,dalys,expected_papers,sii,flags,severity,flag_count,needs_review
Guinea worm disease,109,0,0.0,,0.0040724133141338825,['LOW_PAPERS'],WARNING,1,True
Congenital birth defects,416,8320,52.32533269132468,,0.0016049169935286045,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",WARNING,3,True
Other nutritional deficiencies,56,0,0.0,,0.0016808133805170655,['LOW_PAPERS'],WARNING,1,True
Other chronic respiratory diseases,91,0,0.0,,0.0016948080155998468,['LOW_PAPERS'],WARNING,1,True
Eye cancer,279,0,0.0,,0.001729816198348999,['LOW_PAPERS'],WARNING,1,True
Nasopharynx cancer,153,0,0.0,,0.0019171893363818526,['LOW_PAPERS'],WARNING,1,True
Other mental disorders,1483,46434,8.962343979627114,,0.0019362408202141523,['LOW_VS_TRIALS'],WARNING,1,True
Lower extremity peripheral arterial disease,362,0,0.0,,0.002499463502317667,['LOW_PAPERS'],WARNING,1,True
Lip and oral cavity cancer,84,0,0.0,,0.0026389581616967916,['LOW_PAPERS'],WARNING,1,True
Malignant skin melanoma,68,0,0.0,,0.00176289735827595,['LOW_PAPERS'],WARNING,1,True
Interpersonal violence,3391,1741,26.829606601489587,,0.0025765097234398127,['HIGH_BURDEN_LOW_PAPERS'],WARNING,1,True
Ischemic heart disease,23343,13654,188.36055732268008,150000.0,0.0015479200519621372,['BELOW_EXPECTED'],WARNING,1,True
Depressive disorders,13599,11303,56.33036114911696,100000.0,0.0017929166788235307,['BELOW_EXPECTED'],WARNING,1,True
Other neglected tropical diseases,117,2209,4.218302247168106,,0.002566730370745063,"['LOW_PAPERS', 'LOW_VS_TRIALS']",WARNING,2,True
Blindness and vision loss,63,6888,29.16399273777044,,0.0026602190919220448,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",WARNING,3,True
Kidney cancer,7920,100264,4.016362117183705,,0.0016394805861636996,['LOW_VS_TRIALS'],WARNING,1,True
Diarrheal diseases,1427,49696,58.9838167929697,,0.001843959093093872,"['LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",WARNING,2,True
Decubitus ulcer,439,0,0.0,,0.001646651653572917,['LOW_PAPERS'],WARNING,1,True
Typhoid and paratyphoid,191,483,8.099574463723718,,0.0025480897165834904,['LOW_PAPERS'],WARNING,1,True
Dietary iron deficiency,144,4550,32.31575089759094,,0.0020124202128499746,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",WARNING,3,True
Headache disorders,4055,2490,47.97567506486085,,0.0019332659430801868,['HIGH_BURDEN_LOW_PAPERS'],WARNING,1,True
COVID-19,52488,9239,212.00959596699755,200000.0,0.0018349438905715942,['BELOW_EXPECTED'],WARNING,1,True
Colon and rectum cancer,132,100743,24.40110017996526,100000.0,0.002100961282849312,"['LOW_PAPERS', 'FAR_BELOW_EXPECTED', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,5,True
Exposure to mechanical forces,28,0,0.0,,0.0025273317005485296,['VERY_LOW_PAPERS'],CRITICAL,1,True
Other malignant neoplasms,140,113268,6.454745913878909,,0.00211481936275959,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS']",CRITICAL,3,True
Other unintentional injuries,41,0,0.0,,0.0034419905859977007,['VERY_LOW_PAPERS'],CRITICAL,1,True
Fungal skin diseases,45,0,0.0,,0.002080384409055114,['VERY_LOW_PAPERS'],CRITICAL,1,True
Gallbladder and biliary tract cancer,47,0,0.0,,0.003313574707135558,['VERY_LOW_PAPERS'],CRITICAL,1,True
Alzheimer's disease and other dementias,470,10805,36.33268673680246,150000.0,0.0018766927532851696,"['LOW_PAPERS', 'FAR_BELOW_EXPECTED', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,5,True
