disease,n_papers,gap_score,ct_equity,sii,ktp,rcc,mean_drift,unified_score,dimensions_available
Lymphatic_filariasis,3354,95.0,,0.002374436939135194,0.9988543391227722,0.006120411213487387,0.00011932134657399729,46.911538590941184,2
Guinea_worm_disease,429,95.0,,0.002285813679918647,0.9988042116165161,0.007910522632300854,0.0010221791453659534,46.90704129121975,2
Cysticercosis,4651,95.0,,0.0020278238225728273,0.998711884021759,0.006797312758862972,0.00012194156443001702,46.89394926860817,2
Dengue,29945,95.0,,0.00187530810944736,0.9990274906158447,0.007273243740200996,3.756009755306877e-05,46.886209665255535,2
Scabies,2871,95.0,,0.0018675822066143155,0.9988588690757751,0.0077439602464437485,0.0002447985752951354,46.88581760451475,2
Animal_contact,10211,95.0,,0.0017891174647957087,0.9987818598747253,0.007262870669364929,6.897403363836929e-05,46.88183581164635,2
Malaria,78894,95.0,,0.0017577052349224687,0.999054491519928,0.007671162951737642,2.6326913939556107e-05,46.880241758190095,2
Schistosomiasis,14232,95.0,,0.0017247832147404552,0.9990401268005371,0.0074540432542562485,6.382969877449796e-05,46.87857108850921,2
Drowning,4323,95.0,,0.0017017978243529797,0.9989187717437744,0.0071509345434606075,0.00017009102157317102,46.877404665713435,2
Conflict_and_terrorism,15089,90.0,,0.002443463308736682,0.9984331727027893,0.00724823446944356,9.111945109907538e-05,44.45235485447321,2
Typhoid_and_paratyphoid,6240,90.0,,0.0018723922548815608,0.9989438652992249,0.00801378209143877,0.0001251560024684295,44.4233751293522,2
Encephalitis,47767,90.0,,0.001399240456521511,0.9990877509117126,0.007345044519752264,2.244573443022091e-05,44.39936444107722,2
Paralytic_ileus_and_intestinal_obstruction,23965,85.0,,0.001930069294758141,0.998816192150116,0.006664149463176727,3.919692971976474e-05,41.96361545674892,2
Viral_skin_diseases,9983,85.0,,0.0013326335465535522,0.9991436004638672,0.007102198898792267,7.480153726646677e-05,41.93329782176541,2
Iodine_deficiency,3368,82.0,,0.0019743209704756737,0.9986364841461182,0.006030958611518145,0.00013724803284276277,40.48824912387489,2
Leishmaniasis,24632,80.0,,0.002150160726159811,0.9988369941711426,0.007646894082427025,4.395154974190518e-05,39.51209770849169,2
Invasive_Non-typhoidal_Salmonella_(iNTS),13791,80.0,,0.0020467103458940983,0.9987495541572571,0.008020375855267048,6.19040074525401e-05,39.50684798770208,2
Road_injuries,30365,80.0,,0.001912513980641961,0.9987308382987976,0.0067068953067064285,4.201439878670499e-05,39.50003802289825,2
Otitis_media,17536,80.0,,0.0014111900236457586,0.9990454316139221,0.007057609967887402,4.4758504373021424e-05,39.47459770269246,2
Urticaria,15762,80.0,,0.0013899176847189665,0.9991737604141235,0.006917319260537624,4.340364466770552e-05,39.47351821086633,2
Tuberculosis,142560,80.0,,0.0013145303819328547,0.9991748929023743,0.008233887143433094,1.3913099792262074e-05,39.46969258654584,2
Diarrheal_diseases,115871,80.0,,0.0010553443571552634,0.9993656277656555,0.007903823629021645,1.6767244233051315e-05,39.45653986290042,2
Fungal_skin_diseases,12452,70.0,,0.0022696275264024734,0.9985362887382507,0.006798600312322378,7.002628990449011e-05,34.592787068504,2
Foreign_body,32632,70.0,,0.001994349993765354,0.9986722469329834,0.00719691114500165,3.639551141532138e-05,34.57881776087764,2
Pertussis,15935,70.0,,0.00158539111725986,0.998947024345398,0.007903121411800385,5.73236211494077e-05,34.55806462386094,2
Measles,15392,70.0,,0.001583241275511682,0.9991742372512817,0.007107824552804232,5.6005439546424896e-05,34.557955527414016,2
Hemoglobinopathies_and_hemolytic_anemias,38043,70.0,,0.0012908572098240256,0.9990736842155457,0.007105308584868908,2.8878450393676758e-05,34.54311812706569,2
Meningitis,42140,70.0,,0.0012759793316945434,0.9992499351501465,0.007693989668041468,2.2542018996318802e-05,34.542363130265095,2
"Fire,_heat,_and_hot_substances",30292,70.0,,0.0012531477259472013,0.9991883635520935,0.007273989263921976,3.937345172744244e-05,34.54120451146597,2
