biobank_id,biobank_name,cluster_id,cluster_size,cluster_theme,term,cdf_ipf
uk_biobank,UK Biobank,0,1697,Genomics & GWAS,Mendelian Randomization Analysis Humans,1.7147
uk_biobank,UK Biobank,0,1697,Genomics & GWAS,Mendelian Randomization Analysis,1.56
uk_biobank,UK Biobank,0,1697,Genomics & GWAS,Genome Wide Association Study,0.8366
uk_biobank,UK Biobank,0,1697,Genomics & GWAS,Polymorphism Single Nucleotide,0.7538
uk_biobank,UK Biobank,0,1697,Genomics & GWAS,Humans Genome Wide Association Study,0.7444
uk_biobank,UK Biobank,1,3545,Genomics & GWAS,Genome Wide Association Study,0.634
uk_biobank,UK Biobank,1,3545,Genomics & GWAS,Genetic Predisposition To Disease,0.597
uk_biobank,UK Biobank,1,3545,Genomics & GWAS,Polymorphism Single Nucleotide,0.5854
uk_biobank,UK Biobank,1,3545,Genomics & GWAS,Polymorphism Single Nucleotide Humans,0.519
uk_biobank,UK Biobank,1,3545,Genomics & GWAS,Phenotype,0.5163
uk_biobank,UK Biobank,2,5481,Epidemiology & Risk Factors,Prospective Studies,0.5821
uk_biobank,UK Biobank,2,5481,Epidemiology & Risk Factors,United Kingdom Humans,0.5664
uk_biobank,UK Biobank,2,5481,Epidemiology & Risk Factors,Aged,0.5663
uk_biobank,UK Biobank,2,5481,Epidemiology & Risk Factors,United Kingdom,0.5656
uk_biobank,UK Biobank,2,5481,Epidemiology & Risk Factors,Biological Specimen Banks,0.5604
mvp,Million Veteran Program,0,22,Cardiovascular Research,Mendelian Randomization Analysis,1.2886
mvp,Million Veteran Program,0,22,Cardiovascular Research,Cholesterol Ldl Mendelian Randomization Analysis,1.1715
mvp,Million Veteran Program,0,22,Cardiovascular Research,Cardiovascular Diseases Humans,1.168
mvp,Million Veteran Program,0,22,Cardiovascular Research,Cholesterol Hdl,1.0915
mvp,Million Veteran Program,0,22,Cardiovascular Research,Stroke,1.0915
mvp,Million Veteran Program,1,32,Genomics & GWAS,Risk Factors Aged,0.8886
mvp,Million Veteran Program,1,32,Genomics & GWAS,Genotype,0.8733
mvp,Million Veteran Program,1,32,Genomics & GWAS,Male Risk Factors,0.7678
mvp,Million Veteran Program,1,32,Genomics & GWAS,Aged Female,0.7287
mvp,Million Veteran Program,1,32,Genomics & GWAS,Apolipoprotein L1,0.7192
mvp,Million Veteran Program,2,13,General Research,Hispanic Or Latino,1.934
mvp,Million Veteran Program,2,13,General Research,Black Or African American Humans,1.7704
mvp,Million Veteran Program,2,13,General Research,Black Or African American,1.5896
mvp,Million Veteran Program,2,13,General Research,Hispanic Or Latino Female,1.5455
mvp,Million Veteran Program,2,13,General Research,White People,1.5074
mvp,Million Veteran Program,3,38,Genomics & GWAS,Humans Polymorphism Single Nucleotide,1.2899
mvp,Million Veteran Program,3,38,Genomics & GWAS,Polymorphism Single Nucleotide,0.8231
mvp,Million Veteran Program,3,38,Genomics & GWAS,Polymorphism Single Nucleotide Genetic Predisposition To Disease,0.747
mvp,Million Veteran Program,3,38,Genomics & GWAS,Genome Wide Association Study Risk Factors,0.6618
mvp,Million Veteran Program,3,38,Genomics & GWAS,Genome Wide Association Study,0.6059
mvp,Million Veteran Program,4,45,General Research,United States Department Of Veterans Affairs,1.0146
mvp,Million Veteran Program,4,45,General Research,United States,0.9006
mvp,Million Veteran Program,4,45,General Research,Adult,0.8941
mvp,Million Veteran Program,4,45,General Research,Adult Veterans,0.8861
mvp,Million Veteran Program,4,45,General Research,Veterans United States,0.8411
mvp,Million Veteran Program,5,20,Genomics & GWAS,Prostatic Neoplasms,1.9426
mvp,Million Veteran Program,5,20,Genomics & GWAS,Prostatic Neoplasms Genetic Predisposition To Disease,0.8483
mvp,Million Veteran Program,5,20,Genomics & GWAS,Polymorphism Single Nucleotide Prostatic Neoplasms,0.8483
mvp,Million Veteran Program,5,20,Genomics & GWAS,Black People Humans,0.7672
mvp,Million Veteran Program,5,20,Genomics & GWAS,Multifactorial Inheritance Polymorphism Single Nucleotide,0.7672
mvp,Million Veteran Program,6,17,Epidemiology & Risk Factors,Prospective Studies,1.6438
mvp,Million Veteran Program,6,17,Epidemiology & Risk Factors,Female Prospective Studies,1.3538
mvp,Million Veteran Program,6,17,Epidemiology & Risk Factors,Incidence,1.3299
mvp,Million Veteran Program,6,17,Epidemiology & Risk Factors,United States,1.1126
mvp,Million Veteran Program,6,17,Epidemiology & Risk Factors,Risk Assessment,1.1048
