disease_id,name,category,publications,dalys_millions,deaths_millions,prevalence_millions,burden_score,gap_score,gap_severity,research_intensity,global_south_priority
ischemic_heart_disease,Ischemic Heart Disease,Cardiovascular,1687,185.0,9.44,197.0,587.47,20,Low,2.8716,False
stroke,Stroke,Cardiovascular,3800,143.0,6.55,101.0,419.09,10,Low,9.0673,False
copd,Chronic Obstructive Pulmonary Disease,Respiratory,423,81.0,3.23,212.0,225.28,35,Moderate,1.8777,False
asthma,Asthma,Respiratory,404,22.0,0.46,262.0,58.2,10,Low,6.9416,False
diabetes,Type 2 Diabetes,Metabolic,2454,67.0,1.5,462.0,135.16,10,Low,18.1563,False
malaria,Malaria,Infectious,160,62.5,0.62,247.0,86.19,50,Moderate,1.8564,True
tuberculosis,Tuberculosis,Infectious,170,38.1,1.3,10.6,94.69,50,Moderate,1.7953,True
hiv_aids,HIV/AIDS,Infectious,645,42.0,0.68,38.4,70.95,25,Low,9.0909,True
diarrheal_diseases,Diarrheal Diseases,Infectious,220,44.2,1.53,1700.0,130.91,50,Moderate,1.6805,True
ntds,Neglected Tropical Diseases,Neglected,408,28.3,0.17,1500.0,54.41,25,Low,7.4986,True
alzheimers,Alzheimer's Disease,Neurological,1876,30.0,1.62,55.0,113.48,10,Low,16.5315,False
epilepsy,Epilepsy,Neurological,439,15.0,0.13,50.0,31.08,10,Low,14.1248,False
parkinsons,Parkinson's Disease,Neurological,518,6.0,0.33,8.5,29.28,10,Low,17.6913,False
depression,Depression,Mental Health,1632,50.0,0.0,280.0,49.49,10,Low,32.9764,False
anxiety,Anxiety Disorders,Mental Health,880,28.0,0.0,301.0,38.8,10,Low,22.6804,False
bipolar,Bipolar Disorder,Mental Health,302,12.0,0.0,40.0,22.13,10,Low,13.6466,False
schizophrenia,Schizophrenia,Mental Health,545,17.0,0.0,24.0,22.48,10,Low,24.2438,False
lung_cancer,Lung Cancer,Cancer,2342,45.0,1.8,2.2,117.55,10,Low,19.9234,False
breast_cancer,Breast Cancer,Cancer,2195,18.0,0.68,7.8,52.44,10,Low,41.8574,False
chronic_kidney,Chronic Kidney Disease,Renal,713,35.0,1.4,843.0,116.76,10,Low,6.1065,False
cirrhosis,Cirrhosis,Hepatic,982,25.0,1.32,112.0,99.03,10,Low,9.9162,False
low_back_pain,Low Back Pain,Musculoskeletal,307,63.0,0.0,568.0,59.05,10,Low,5.199,False
road_traffic,Road Traffic Injuries,Injuries,208,85.5,1.35,50.0,127.33,40,Moderate,1.6336,True
neonatal_disorders,Neonatal Disorders,Maternal,1365,75.0,2.4,0.0,157.5,25,Low,8.6667,True
preterm_birth,Preterm Birth Complications,Maternal,1053,23.0,0.9,15.0,68.54,25,Low,15.3633,True
