category,type
7,race_ethnicity
AA/African H. and American Indian or Alaska Native,race_ethnicity
Aboriginal,race_ethnicity
Aboriginal and Torres Strait Islander,race_ethnicity
Aboriginal Peoples of North America,race_ethnicity
Aborigine,race_ethnicity
Aborigines,race_ethnicity
Abstinence,race_ethnicity
Afirican American,race_ethnicity
Africa - America,race_ethnicity
Africa Americans,race_ethnicity
African,race_ethnicity
African american,race_ethnicity
African American,race_ethnicity
African-American,race_ethnicity
African/American,race_ethnicity
AFRICAN AMERICAN,race_ethnicity
African American (AA),race_ethnicity
African American/African (Afr) Heritage,race_ethnicity
African American/African heritage,race_ethnicity
African American/African Heritage,race_ethnicity
AFRICAN AMERICAN/AFRICAN HERITAGE,race_ethnicity
African American/African Heritage and Asian Heritage,race_ethnicity
African American and Other,race_ethnicity
African American & Asian or Pacific Islander,race_ethnicity
African American/black,race_ethnicity
African American (Black),race_ethnicity
African American / Black,race_ethnicity
African American/ Black,race_ethnicity
African American/Black,race_ethnicity
African-American/Black,race_ethnicity
"African American/Black, non-Hispanic",race_ethnicity
African-American/Black: non-Hispanic,race_ethnicity
African American/Black (Non-Hispanic),race_ethnicity
African American/Black of African origin,race_ethnicity
African American/Caucasian,race_ethnicity
"African American, Hispanic and Other",race_ethnicity
African American non-Hispanic,race_ethnicity
"African American, non-Hispanic",race_ethnicity
"African American, not of Hispanic origin",race_ethnicity
African American only,race_ethnicity
African American or African,race_ethnicity
African American or Black,race_ethnicity
African Americans,race_ethnicity
African and White,race_ethnicity
African/Black,race_ethnicity
African canadian,race_ethnicity
African/Caribbean,race_ethnicity
African descent,race_ethnicity
"African (e.g., Central and West African, North African, Southern Africa)",race_ethnicity
African Heritage,race_ethnicity
African heritage / african american,race_ethnicity
African heritage/ African american,race_ethnicity
African heritage / African American,race_ethnicity
African heritage/ African American,race_ethnicity
African heritage/African American,race_ethnicity
African Heritage / African American,race_ethnicity
African Heritage/ African American,race_ethnicity
African Heritage/African American,race_ethnicity
African (North),race_ethnicity
African Origin,race_ethnicity
African Peruvian,race_ethnicity
African/West Indian,race_ethnicity
Afro-American,race_ethnicity
Afro-caribbean,race_ethnicity
Afro-Caribbean,race_ethnicity
Afro-Carribean,race_ethnicity
Afro-descendant,race_ethnicity
AI/AN,race_ethnicity
AI/AN/Asian/NH/PI,race_ethnicity
AI or AN and Black or African American,race_ethnicity
AI or AN and White- White/Caucasian/EH,race_ethnicity
Akan,race_ethnicity
Alaska Native or Native American,race_ethnicity
Alaskan/Indigenous,race_ethnicity
Alaskan Native,race_ethnicity
Alaskan native/American indian,race_ethnicity
Albanian,race_ethnicity
Albanians,race_ethnicity
All other,race_ethnicity
All other ethnic groups,race_ethnicity
All other races,race_ethnicity
All Other Races,race_ethnicity
All others,race_ethnicity
Ambon,race_ethnicity
