biobank,cluster,n_publications,rank_cdf_ipf,term_cdf_ipf,cdf_ipf_score,df_score,ipf_score,rank_tfidf,term_tfidf,mean_tfidf_score
All of Us,0,76,1,retrospective_studies,0.608499317,0.210526316,2.890371757,1,female,0.070095489
All of Us,0,76,2,female,0.532753478,0.592105263,0.89976143,2,male,0.058003183
All of Us,0,76,3,female male,0.532436903,0.184210526,2.890371757,3,retrospective_studies,0.053693128
All of Us,0,76,4,humans female,0.528011917,0.197368421,2.675260378,4,adult,0.050778555
All of Us,0,76,5,risk_factors,0.500615681,0.223684211,2.238046572,5,middle_aged,0.049818739
All of Us,1,37,1,biomedical_research,1.439137806,0.594594595,2.420368128,1,biomedical_research,0.161497889
All of Us,1,37,2,electronic_health_records,1.205754105,0.513513514,2.348047467,2,electronic_health_records,0.144176683
All of Us,1,37,3,electronic_health_records humans,0.951573163,0.243243243,3.912023004,3,electronic_health_records humans,0.080628758
All of Us,1,37,4,research_personnel,0.587730962,0.162162162,3.624340932,4,united_states,0.076565473
All of Us,1,37,5,cohort_studies,0.518747629,0.189189189,2.741951752,5,research_personnel,0.054237647
All of Us,2,59,1,female humans,1.421163442,0.593220339,2.395675516,1,humans male,0.12182521
All of Us,2,59,2,male middle_aged,1.379271664,0.593220339,2.325057949,2,female humans,0.1213529
All of Us,2,59,3,humans male,1.331885047,0.661016949,2.01490302,3,male,0.113307438
All of Us,2,59,4,adult aged,1.009781431,0.372881356,2.708050201,4,male middle_aged,0.110209245
All of Us,2,59,5,male,0.935281627,0.93220339,1.003302109,5,female,0.103189585
All of Us,3,30,1,casecontrol_studies,1.872859649,0.733333333,2.553899521,1,casecontrol_studies,0.201170699
All of Us,3,30,2,casecontrol_studies population_health,1.208113644,0.333333333,3.624340932,2,population_health,0.13513218
All of Us,3,30,3,comorbidity,1.180254469,0.366666667,3.218875824,3,comorbidity,0.109925345
All of Us,3,30,4,dermatitis_atopic,0.906985968,0.266666667,3.401197381,4,casecontrol_studies population_health,0.108686556
All of Us,3,30,5,population_health,0.813595109,0.866666667,0.938763588,5,dermatitis_atopic,0.088181247
All of Us,4,39,1,crosssectional_studies population_health,1.57165392,0.512820513,3.064725145,1,crosssectional_studies population_health,0.140737894
All of Us,4,39,2,crosssectional_studies,1.178673463,0.692307692,1.702528335,2,crosssectional_studies,0.12891734
All of Us,4,39,3,humans united_states,1.009942308,0.358974359,2.813410716,3,humans united_states,0.114764863
All of Us,4,39,4,psoriasis,0.784891703,0.230769231,3.401197381,4,population_health,0.111324305
All of Us,4,39,5,population_health prevalence,0.761303038,0.205128205,3.711352309,5,united_states,0.079824451
All of Us,5,50,1,precision_medicine,1.596547645,0.72,2.217427284,1,precision_medicine,0.183061967
All of Us,5,50,2,humans precision_medicine,0.761332498,0.2,3.806662489,2,humans precision_medicine,0.095515009
All of Us,5,50,3,population_health precision_medicine,0.499600492,0.12,4.163337432,3,biomedical_research,0.048775986
All of Us,5,50,4,precision_medicine united_states,0.449980967,0.1,4.499809668,4,delivery_of_health_care,0.040223919
All of Us,5,50,5,biomedical_research,0.435666263,0.18,2.420368128,5,population_health precision_medicine,0.03917952
All of Us,6,31,1,depression,1.453685856,0.451612903,3.218875824,1,depression,0.108889254
All of Us,6,31,2,covid19,1.151130335,0.387096774,2.973753366,2,covid19,0.096669063
All of Us,6,31,3,anxiety,1.135748614,0.290322581,3.912023004,3,population_health,0.090912738
All of Us,6,31,4,sarscov2,1.028989807,0.290322581,3.544298225,4,glaucoma,0.077100693
All of Us,6,31,5,glaucoma,0.957768338,0.258064516,3.711352309,5,sarscov2,0.076354278
All of Us,7,35,1,genomics,2.114809344,0.8,2.64351168,1,genomics,0.227649974
All of Us,7,35,2,genomics humans,1.139078579,0.314285714,3.624340932,2,genetic_predisposition_to_disease,0.100423153
All of Us,7,35,3,genetic_predisposition_to_disease,1.088729108,0.371428571,2.931193752,3,genomics humans,0.09779803
All of Us,7,35,4,genomewide_association_study,0.849643819,0.285714286,2.973753366,4,genomewide_association_study,0.089008757
All of Us,7,35,5,genetic_testing,0.724868186,0.2,3.624340932,5,genetic_testing,0.060225096
All of Us,8,61,1,male female,1.349057645,0.557377049,2.420368128,1,male female,0.125546532
All of Us,8,61,2,adult middle_aged,1.168504526,0.409836066,2.851151044,2,male,0.118398579
All of Us,8,61,3,middle_aged,1.052793434,0.885245902,1.189266657,3,middle_aged,0.118107029
All of Us,8,61,4,young_adult,1.044582176,0.475409836,2.197224577,4,female,0.117008869
All of Us,8,61,5,adult,0.949313623,0.918032787,1.034073767,5,adult,0.114423343
All of Us,9,32,1,surveys_and_questionnaires,1.142948104,0.40625,2.813410716,1,surveys_and_questionnaires,0.133818733
All of Us,9,32,2,humans pandemics,0.881520071,0.21875,4.02980604,2,population_health,0.117821941
All of Us,9,32,3,pandemics,0.744011927,0.21875,3.401197381,3,humans population_health,0.074248103
All of Us,9,32,4,population_health,0.674736329,0.71875,0.938763588,4,humans pandemics,0.073892114
All of Us,9,32,5,population_health surveys_and_questionnaires,0.650521474,0.15625,4.163337432,5,computational_biology,0.072544783
Estonian Biobank,0,70,1,male middle_aged,1.103463585,0.557142857,1.980575665,1,middle_aged,0.104878649
Estonian Biobank,0,70,2,middle_aged,1.098657275,0.785714286,1.398291077,2,male middle_aged,0.093498296
Estonian Biobank,0,70,3,aged,0.993915569,0.6,1.656525948,3,male,0.091408533
Estonian Biobank,0,70,4,humans male,0.855792863,0.5,1.711585726,4,aged,0.087877271
Estonian Biobank,0,70,5,male,0.713000032,0.871428571,0.818196758,5,female,0.081645147
Estonian Biobank,1,27,1,biological_specimen_banks,1.582591275,0.555555556,2.848664295,1,biological_specimen_banks,0.164397535
Estonian Biobank,1,27,2,europe,1.115252787,0.407407407,2.73743866,2,databases_factual,0.109976886
Estonian Biobank,1,27,3,databases_factual,1.086510998,0.296296296,3.666974618,3,europe,0.108076616
Estonian Biobank,1,27,4,europe humans,1.018503411,0.222222222,4.583265349,4,biomedical_research,0.09447321
Estonian Biobank,1,27,5,biomedical_research,1.018503411,0.222222222,4.583265349,5,europe humans,0.080585821
Estonian Biobank,2,35,1,genetic_variation,2.108322709,0.971428571,2.1703322,1,genetic_variation,0.208544055
Estonian Biobank,2,35,2,genetic_variation genomewide_association_study,2.048267156,0.657142857,3.116928281,2,genetic_variation genomewide_association_study,0.16402633
Estonian Biobank,2,35,3,genetic_predisposition_to_disease genetic_variation,1.931024312,0.571428571,3.379292546,3,genetic_predisposition_to_disease genetic_variation,0.153548743
Estonian Biobank,2,35,4,genetic_predisposition_to_disease,0.698133272,0.571428571,1.221733225,4,genetic_predisposition_to_disease,0.078602174
Estonian Biobank,2,35,5,diabetes_mellitus_type_2,0.687066545,0.285714286,2.404732906,5,genomewide_association_study,0.07278052
Estonian Biobank,3,22,1,endometrium,1.249981459,0.272727273,4.583265349,1,prospective_studies,0.116976814
Estonian Biobank,3,22,2,prospective_studies,1.030759737,0.318181818,3.239530603,2,critical_illness,0.091498697
Estonian Biobank,3,22,3,multicenter_studies_as_topic,0.907041901,0.181818182,4.988730456,3,adult,0.090133568
Estonian Biobank,3,22,4,menstrual_cycle,0.866470346,0.181818182,4.765586905,4,endometrium,0.088238005
Estonian Biobank,3,22,5,gene_expression_profiling humans,0.866470346,0.181818182,4.765586905,5,transcriptome,0.085988037
Estonian Biobank,4,82,1,young_adult,1.551435797,0.695121951,2.231890093,1,adult,0.115846663
Estonian Biobank,4,82,2,adult aged,1.41948688,0.658536585,2.155517115,2,young_adult,0.110668837
Estonian Biobank,4,82,3,adolescent adult,1.346824149,0.524390244,2.56836233,3,adult aged,0.104979171
Estonian Biobank,4,82,4,adolescent,1.29934297,0.548780488,2.367691634,4,middle_aged,0.100640464
Estonian Biobank,4,82,5,adult,1.224113866,0.987804878,1.239226383,5,aged,0.097792728
Estonian Biobank,5,62,1,genetic_predisposition_to_disease genomewide_association_study,1.472466522,0.822580645,1.790057341,1,genetic_predisposition_to_disease genomewide_association_study,0.163347897
Estonian Biobank,5,62,2,genetic_predisposition_to_disease,1.024679479,0.838709677,1.221733225,2,genomewide_association_study,0.160067077
Estonian Biobank,5,62,3,genomewide_association_study humans,0.958012704,0.629032258,1.522994556,3,genetic_predisposition_to_disease,0.133575706
Estonian Biobank,5,62,4,genomewide_association_study,0.65714174,0.983870968,0.667914555,4,genomewide_association_study humans,0.124201971
