Year,UK Biobank,Million Veteran Program,FinnGen,All of Us,Estonian Biobank
2000,0,2,0,0,0
2001,0,1,0,0,0
2002,0,2,0,0,0
2003,0,10,0,0,0
2004,0,7,0,0,0
2005,0,7,0,1,0
2006,1,15,0,0,0
2007,0,26,0,0,0
2008,0,9,0,0,0
2009,0,33,0,0,0
2010,0,47,0,0,0
2011,0,41,0,0,0
2012,1,47,0,0,0
2013,1,63,0,0,0
2014,0,90,0,4,1
2015,2,80,0,4,2
2016,2,111,0,11,0
2017,1,110,0,2,0
2018,4,148,0,4,1
2019,9,149,0,9,3
2020,12,143,0,3,1
2021,35,152,3,21,2
2022,51,171,4,37,3
2023,53,196,8,61,6
2024,78,202,5,97,8
2025,51,133,6,98,5
