Biobank,PMID,Title,Abstract,Journal,Year,MeSH_Terms,is_preprint,cluster
Estonian Biobank,22160497,Giving and withholding of information following genomic screening: challenges identified in a study of primary care physicians in Estonia.,"The use of predictive genomic information to improve medical care remains a contentious topic. However, it is generally agreed that the potential of genomics to improve medicine relies on medical care providers' ability to effectively communicate and put in context the meaning of test results. As the amount of information available increasingly outstrips providers' ability to offer qualified judgments on what the information means, consumers inevitably will be faced with test results of uncertain significance, as well as difficult questions about what they do or do not wish to know. Results of this survey of 64 primary care doctors in Estonia suggests that it may be inherently difficult for physicians to withhold genetic information obtained by genome scans or sequencing, even when they believe that having that information is not in the best interests of their patient. The descriptive data suggest introducing genomic medicine through primary care physicians, as proposed by the Estonian Genome Center of the University of Tartu, will require further genetics education as well as a carefully developed set of guidelines for determining where, when and how to use test results.",Journal of genetic counseling,2012,"Deception; Estonia; Genetic Testing; Humans; Physicians, Primary Care",False,9
Estonian Biobank,24097068,Discovery and refinement of loci associated with lipid levels.,"Levels of low-density lipoprotein (LDL) cholesterol, high-density lipoprotein (HDL) cholesterol, triglycerides and total cholesterol are heritable, modifiable risk factors for coronary artery disease. To identify new loci and refine known loci influencing these lipids, we examined 188,577 individuals using genome-wide and custom genotyping arrays. We identify and annotate 157 loci associated with lipid levels at P < 5 × 10(-8), including 62 loci not previously associated with lipid levels in humans. Using dense genotyping in individuals of European, East Asian, South Asian and African ancestry, we narrow association signals in 12 loci. We find that loci associated with blood lipid levels are often associated with cardiovascular and metabolic traits, including coronary artery disease, type 2 diabetes, blood pressure, waist-hip ratio and body mass index. Our results demonstrate the value of using genetic data from individuals of diverse ancestry and provide insights into the biological mechanisms regulating blood lipids to guide future genetic, biological and therapeutic research.",Nature genetics,2013,"Asian People; Black People; Cholesterol, HDL; Cholesterol, LDL; Coronary Artery Disease; Genetic Predisposition to Disease; Genome-Wide Association Study; Genotype; Humans; Lipids; Triglycerides; White People",False,5
Estonian Biobank,24013639,Systematic identification of trans eQTLs as putative drivers of known disease associations.,"Identifying the downstream effects of disease-associated SNPs is challenging. To help overcome this problem, we performed expression quantitative trait locus (eQTL) meta-analysis in non-transformed peripheral blood samples from 5,311 individuals with replication in 2,775 individuals. We identified and replicated trans eQTLs for 233 SNPs (reflecting 103 independent loci) that were previously associated with complex traits at genome-wide significance. Some of these SNPs affect multiple genes in trans that are known to be altered in individuals with disease: rs4917014, previously associated with systemic lupus erythematosus (SLE), altered gene expression of C1QB and five type I interferon response genes, both hallmarks of SLE. DeepSAGE RNA sequencing showed that rs4917014 strongly alters the 3' UTR levels of IKZF1 in cis, and chromatin immunoprecipitation and sequencing analysis of the trans-regulated genes implicated IKZF1 as the causal gene. Variants associated with cholesterol metabolism and type 1 diabetes showed similar phenomena, indicating that large-scale eQTL mapping provides insight into the downstream effects of many trait-associated variants.",Nature genetics,2013,"Diabetes Mellitus, Type 1; Genetic Predisposition to Disease; Humans; Lupus Erythematosus, Systemic; Polymorphism, Single Nucleotide; Quantitative Trait Loci",False,7
Estonian Biobank,25079123,No evidence from genome-wide data of a Khazar origin for the Ashkenazi Jews.,"The origin and history of the Ashkenazi Jewish population have long been of great interest, and advances in high-throughput genetic analysis have recently provided a new approach for investigating these topics. We and others have argued on the basis of genome-wide data that the Ashkenazi Jewish population derives its ancestry from a combination of sources tracing to both Europe and the Middle East. It has been claimed, however, through a reanalysis of some of our data, that a large part of the ancestry of the Ashkenazi population originates with the Khazars, a Turkic-speaking group that lived to the north of the Caucasus region ~1,000 years ago. Because the Khazar population has left no obvious modern descendants that could enable a clear test for a contribution to Ashkenazi Jewish ancestry, the Khazar hypothesis has been difficult to examine using genetics. Furthermore, because only limited genetic data have been available from the Caucasus region, and because these data have been concentrated in populations that are genetically close to populations from the Middle East, the attribution of any signal of Ashkenazi-Caucasus genetic similarity to Khazar ancestry rather than shared ancestral Middle Eastern ancestry has been problematic. Here, through integration of genotypes from newly collected samples with data from several of our past studies, we have assembled the largest data set available to date for assessment of Ashkenazi Jewish genetic origins. This data set contains genome-wide single-nucleotide polymorphisms in 1,774 samples from 106 Jewish and non-Jewish populations that span the possible regions of potential Ashkenazi ancestry: Europe, the Middle East, and the region historically associated with the Khazar Khaganate. The data set includes 261 samples from 15 populations from the Caucasus region and the region directly to its north, samples that have not previously been included alongside Ashkenazi Jewish samples in genomic studies. Employing a variety of standard techniques for the analysis of population-genetic structure, we found that Ashkenazi Jews share the greatest genetic ancestry with other Jewish populations and, among non-Jewish populations, with groups from Europe and the Middle East. No particular similarity of Ashkenazi Jews to populations from the Caucasus is evident, particularly populations that most closely represent the Khazar region. Thus, analysis of Ashkenazi Jews together with a large sample from the region of the Khazar Khaganate corroborates the earlier results that Ashkenazi Jews derive their ancestry primarily from populations of the Middle East and Europe, that they possess considerable shared ancestry with other Jewish populations, and that there is no indication of a significant genetic contribution either from within or from north of the Caucasus region.",Human biology,2013,"Ancient Lands; Europe; Female; Genetics, Population; Genome-Wide Association Study; History, Ancient; History, Medieval; Humans; Jews; Male; Middle East; Polymorphism, Single Nucleotide",False,9
Estonian Biobank,23249956,Genetic characterization of northeastern Italian population isolates in the context of broader European genetic diversity.,"Population genetic studies on European populations have highlighted Italy as one of genetically most diverse regions. This is possibly due to the country's complex demographic history and large variability in terrain throughout the territory. This is the reason why Italy is enriched for population isolates, Sardinia being the best-known example. As the population isolates have a great potential in disease-causing genetic variants identification, we aimed to genetically characterize a region from northeastern Italy, which is known for isolated communities. Total of 1310 samples, collected from six geographically isolated villages, were genotyped at >145000 single-nucleotide polymorphism positions. Newly genotyped data were analyzed jointly with the available genome-wide data sets of individuals of European descent, including several population isolates. Despite the linguistic differences and geographical isolation the village populations still show the greatest genetic similarity to other Italian samples. The genetic isolation and small effective population size of the village populations is manifested by higher levels of genomic homozygosity and elevated linkage disequilibrium. These estimates become even more striking when the detected substructure is taken into account. The observed level of genetic isolation in Friuli-Venezia Giulia region is more extreme according to several measures of isolation compared with Sardinians, French Basques and northern Finns, thus proving the status of an isolate.",European journal of human genetics : EJHG,2013,"Cluster Analysis; Genetic Variation; Genetics, Population; Genome, Human; Homozygote; Humans; Italy; Linkage Disequilibrium; Models, Genetic; Polymorphism, Single Nucleotide; White People",False,9
Estonian Biobank,25288136,Genome-wide meta-analysis identifies six novel loci associated with habitual coffee consumption.,"Coffee, a major dietary source of caffeine, is among the most widely consumed beverages in the world and has received considerable attention regarding health risks and benefits. We conducted a genome-wide (GW) meta-analysis of predominately regular-type coffee consumption (cups per day) among up to 91,462 coffee consumers of European ancestry with top single-nucleotide polymorphisms (SNPs) followed-up in ~30 062 and 7964 coffee consumers of European and African-American ancestry, respectively. Studies from both stages were combined in a trans-ethnic meta-analysis. Confirmed loci were examined for putative functional and biological relevance. Eight loci, including six novel loci, met GW significance (log10Bayes factor (BF)>5.64) with per-allele effect sizes of 0.03-0.14 cups per day. Six are located in or near genes potentially involved in pharmacokinetics (ABCG2, AHR, POR and CYP1A2) and pharmacodynamics (BDNF and SLC6A4) of caffeine. Two map to GCKR and MLXIPL genes related to metabolic traits but lacking known roles in coffee consumption. Enhancer and promoter histone marks populate the regions of many confirmed loci and several potential regulatory SNPs are highly correlated with the lead SNP of each. SNP alleles near GCKR, MLXIPL, BDNF and CYP1A2 that were associated with higher coffee consumption have previously been associated with smoking initiation, higher adiposity and fasting insulin and glucose but lower blood pressure and favorable lipid, inflammatory and liver enzyme profiles (P<5 × 10(-8)).Our genetic findings among European and African-American adults reinforce the role of caffeine in mediating habitual coffee consumption and may point to molecular mechanisms underlying inter-individual variability in pharmacological and health effects of coffee.",Molecular psychiatry,2015,"Adaptor Proteins, Signal Transducing; Basic Helix-Loop-Helix Leucine Zipper Transcription Factors; Brain-Derived Neurotrophic Factor; Coffea; Cytochrome P-450 CYP1A2; Feeding Behavior; Genome-Wide Association Study; Humans; Phenotype; Polymorphism, Single Nucleotide",False,7
Estonian Biobank,24518929,"Cohort Profile: Estonian Biobank of the Estonian Genome Center, University of Tartu.","The Estonian Biobank cohort is a volunteer-based sample of the Estonian resident adult population (aged ≥18 years). The current number of participants-close to 52000--represents a large proportion, 5%, of the Estonian adult population, making it ideally suited to population-based studies. General practitioners (GPs) and medical personnel in the special recruitment offices have recruited participants throughout the country. At baseline, the GPs performed a standardized health examination of the participants, who also donated blood samples for DNA, white blood cells and plasma tests and filled out a 16-module questionnaire on health-related topics such as lifestyle, diet and clinical diagnoses described in WHO ICD-10. A significant part of the cohort has whole genome sequencing (100), genome-wide single nucleotide polymorphism (SNP) array data (20 000) and/or NMR metabolome data (11 000) available (http://www.geenivaramu.ee/for-scientists/data-release/). The data are continuously updated through periodical linking to national electronic databases and registries. A part of the cohort has been re-contacted for follow-up purposes and resampling, and targeted invitations are possible for specific purposes, for example people with a specific diagnosis. The Estonian Genome Center of the University of Tartu is actively collaborating with many universities, research institutes and consortia and encourages fellow scientists worldwide to co-initiate new academic or industrial joint projects with us.",International journal of epidemiology,2015,"Adolescent; Adult; Aged; Aged, 80 and over; Biological Specimen Banks; Cohort Studies; Databases, Factual; Estonia; Female; Genome, Human; Humans; International Classification of Diseases; Life Style; Male; Middle Aged; Public Health; Young Adult",False,4
Estonian Biobank,24390342,Genetics of rheumatoid arthritis contributes to biology and drug discovery.,"A major challenge in human genetics is to devise a systematic strategy to integrate disease-associated variants with diverse genomic and biological data sets to provide insight into disease pathogenesis and guide drug discovery for complex traits such as rheumatoid arthritis (RA). Here we performed a genome-wide association study meta-analysis in a total of >100,000 subjects of European and Asian ancestries (29,880 RA cases and 73,758 controls), by evaluating ∼10 million single-nucleotide polymorphisms. We discovered 42 novel RA risk loci at a genome-wide level of significance, bringing the total to 101 (refs 2 - 4). We devised an in silico pipeline using established bioinformatics methods based on functional annotation, cis-acting expression quantitative trait loci and pathway analyses--as well as novel methods based on genetic overlap with human primary immunodeficiency, haematological cancer somatic mutations and knockout mouse phenotypes--to identify 98 biological candidate genes at these 101 risk loci. We demonstrate that these genes are the targets of approved therapies for RA, and further suggest that drugs approved for other indications may be repurposed for the treatment of RA. Together, this comprehensive genetic study sheds light on fundamental genes, pathways and cell types that contribute to RA pathogenesis, and provides empirical evidence that the genetics of RA can provide important information for drug discovery.",Nature,2014,"Alleles; Animals; Arthritis, Rheumatoid; Asian People; Case-Control Studies; Computational Biology; Drug Discovery; Drug Repositioning; Female; Genetic Predisposition to Disease; Genome-Wide Association Study; Hematologic Neoplasms; Humans; Male; Mice; Mice, Knockout; Molecular Targeted Therapy; Polymorphism, Single Nucleotide; White People",False,7
Estonian Biobank,25303295,From pharmacogenetics to pharmacometabolomics: SAM modulates TPMT activity.,"In the present study, the influence of SAM on TPMT activity in vivo on human subjects was investigated. A total of 1017 donors from the Estonian Genome Center of the University of Tartu (Estonia) were genotyped for common TPMT variants, evaluated for TPMT activity, SAM levels, a set of 19 biochemical and ten hematological parameters and demographic data. After adjustment in multiple regression models and correction for multiple testing, from the 43 factors that were tested, only TPMT genotype (p = 1 × 10(-13)) and SAM levels (p = 1 × 10(-13)) were found to significantly influence TPMT activity. The influence of SAM on TPMT activity was more pronounced in TPMT-heterozygous than wild-type individuals. SAM represents a potential pharmacometabolomic marker and therapeutic agent in TPMT-heterozygous subjects.",Pharmacogenomics,2014,Adult; Estonia; Female; Genetic Variation; Genotype; Heterozygote; Humans; Male; Methyltransferases; Pharmacogenetics; S-Adenosylmethionine; White People,False,9
Estonian Biobank,24743968,"Occupational irritants and asthma: an Estonian cross-sectional study of 34,000 adults.","Occupational exposures make important contributions to asthma morbidity. The role of low/moderate level irritant exposures remains unclear. We aimed to determine which occupational exposures are associated with asthma in an eastern European country with low asthma prevalence. The Estonian Genome Center of University of Tartu collected data from 50 077 adults in 2002-2011. Asthma was assessed through a questionnaire regarding diagnosed diseases, current health status and medication. Exposures to 22 agents during the current and longest held jobs were estimated using an asthma-specific job-exposure matrix. Analyses included 34 015 subjects (aged 18-65 years, 67.0% females), of which 1209 (3.6%) reported asthma (608 with physician-confirmed diagnosis). After adjusting for age, sex and smoking habits, lifetime occupational exposure to known asthmagens (20.4%) was significantly associated with physician-diagnosed asthma (OR 1.28, 95% CI 1.03-1.59), especially high molecular weight agents (flour: OR 2.36, 95% CI 1.31-4.27; animals: OR 1.62, 95% CI 1.00-2.60). Exposure to low/moderate levels of irritants (17.4%) was associated with physician-diagnosed asthma (OR 1.88, 95% CI 1.48-2.37). More pronounced associations were observed in subjects reporting current treated asthma. Beyond confirming the effect of known asthmagens (which are well-known, mostly from observations in western countries), the results provide evidence for a role of low/moderate exposure to irritants. This finding, observed in a country with a low prevalence of asthma and atopy, provides new insight into the understanding of asthma heterogeneity.",The European respiratory journal,2014,"Adolescent; Adult; Aged; Asthma; Cohort Studies; Cross-Sectional Studies; Databases, Factual; Estonia; Female; Health Status; Humans; Irritants; Male; Middle Aged; Occupational Diseases; Occupational Exposure; Smoking; Surveys and Questionnaires; Young Adult",False,4
